dataset,predictor,fold_id,method,n_tasks,utility20,spearman
SantinhaPlatt2023,V0StrongBaseline,0,Ridge_M,55,0.1451264258994231,0.41118326118326126
SantinhaPlatt2023,V0StrongBaseline,0,Ridge_M_Qbasic,55,0.21193156152469075,0.40007215007215013
SantinhaPlatt2023,V0StrongBaseline,0,Ridge_M_Qbasic_Hraw,55,0.3433251254372281,0.38470418470418477
SantinhaPlatt2023,V0StrongBaseline,1,Ridge_M,53,0.07885761927134868,0.31390098371230446
SantinhaPlatt2023,V0StrongBaseline,1,Ridge_M_Qbasic,53,0.05480171738194486,0.3169650056442509
SantinhaPlatt2023,V0StrongBaseline,1,Ridge_M_Qbasic_Hraw,53,0.05480171738194486,0.3150298338977584
SantinhaPlatt2023,V0StrongBaseline,2,Ridge_M,55,0.35099172465920586,0.33903318903318913
SantinhaPlatt2023,V0StrongBaseline,2,Ridge_M_Qbasic,55,0.28996855900377644,0.3516594516594517
SantinhaPlatt2023,V0StrongBaseline,2,Ridge_M_Qbasic_Hraw,55,0.406942560498834,0.3524531024531026
SantinhaPlatt2023,V0StrongBaseline,3,Ridge_M,56,-0.17939041264751254,0.2388243335611757
SantinhaPlatt2023,V0StrongBaseline,3,Ridge_M_Qbasic,56,-0.20298667481593008,0.1499658236500342
SantinhaPlatt2023,V0StrongBaseline,3,Ridge_M_Qbasic_Hraw,56,-0.20298667481593008,0.1499658236500342
SantinhaPlatt2023,V0StrongBaseline,4,Ridge_M,54,0.34338972407324386,0.442271774347246
SantinhaPlatt2023,V0StrongBaseline,4,Ridge_M_Qbasic,54,0.383353778063306,0.43945111492281297
SantinhaPlatt2023,V0StrongBaseline,4,Ridge_M_Qbasic_Hraw,54,0.4271559798339977,0.4351820087669144
