source_id,source_label,source_status,record_id,dataset_name,dataset_family,fold_id,split,context,perturbation,predictor_name,true_error_rmse,score_name,score_type,score_value
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed1::single::RHOXF2+ctrl,norman,gears_supplement,1,test,GEARS_single_heldout,RHOXF2+ctrl,GEARS,0.0891274809837341,gears_prediction_magnitude_risk,risk,5.202997207641602
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed1::single::SAMD1+ctrl,norman,gears_supplement,1,test,GEARS_single_heldout,SAMD1+ctrl,GEARS,0.0654905214905738,gears_prediction_magnitude_risk,risk,4.022205829620361
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed2::single::BPGM+ctrl,norman,gears_supplement,2,test,GEARS_single_heldout,BPGM+ctrl,GEARS,0.0447168760001659,gears_prediction_magnitude_risk,risk,1.7446730136871338
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed2::single::CEBPE+ctrl,norman,gears_supplement,2,test,GEARS_single_heldout,CEBPE+ctrl,GEARS,0.0673763528466224,gears_prediction_magnitude_risk,risk,3.238741397857666
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed2::single::COL1A1+ctrl,norman,gears_supplement,2,test,GEARS_single_heldout,COL1A1+ctrl,GEARS,0.0702310130000114,gears_prediction_magnitude_risk,risk,1.909579873085022
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed2::single::FOXL2+ctrl,norman,gears_supplement,2,test,GEARS_single_heldout,FOXL2+ctrl,GEARS,0.0411100909113884,gears_prediction_magnitude_risk,risk,2.1578469276428223
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed2::single::HOXA13+ctrl,norman,gears_supplement,2,test,GEARS_single_heldout,HOXA13+ctrl,GEARS,0.0774887949228286,gears_prediction_magnitude_risk,risk,2.207099676132202
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed2::single::IER5L+ctrl,norman,gears_supplement,2,test,GEARS_single_heldout,IER5L+ctrl,GEARS,0.0463579557836055,gears_prediction_magnitude_risk,risk,1.9034725427627563
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed2::single::KIF18B+ctrl,norman,gears_supplement,2,test,GEARS_single_heldout,KIF18B+ctrl,GEARS,0.0300963781774044,gears_prediction_magnitude_risk,risk,1.618381142616272
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed2::single::PTPN12+ctrl,norman,gears_supplement,2,test,GEARS_single_heldout,PTPN12+ctrl,GEARS,0.0348319597542285,gears_prediction_magnitude_risk,risk,1.9274431467056277
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed2::single::RHOXF2+ctrl,norman,gears_supplement,2,test,GEARS_single_heldout,RHOXF2+ctrl,GEARS,0.0614761114120483,gears_prediction_magnitude_risk,risk,1.6226236820220947
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed2::single::SLC38A2+ctrl,norman,gears_supplement,2,test,GEARS_single_heldout,SLC38A2+ctrl,GEARS,0.0387614965438842,gears_prediction_magnitude_risk,risk,1.9512346982955933
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed3::single::AHR+ctrl,norman,gears_supplement,3,test,GEARS_single_heldout,AHR+ctrl,GEARS,0.0415237620472908,gears_prediction_magnitude_risk,risk,3.0632214546203613
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed3::single::ATL1+ctrl,norman,gears_supplement,3,test,GEARS_single_heldout,ATL1+ctrl,GEARS,0.051996923983097,gears_prediction_magnitude_risk,risk,2.883371591567993
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed3::single::CDKN1A+ctrl,norman,gears_supplement,3,test,GEARS_single_heldout,CDKN1A+ctrl,GEARS,0.0437543280422687,gears_prediction_magnitude_risk,risk,3.1893529891967773
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed3::single::CLDN6+ctrl,norman,gears_supplement,3,test,GEARS_single_heldout,CLDN6+ctrl,GEARS,0.0523627363145351,gears_prediction_magnitude_risk,risk,2.700002908706665
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed3::single::CNNM4+ctrl,norman,gears_supplement,3,test,GEARS_single_heldout,CNNM4+ctrl,GEARS,0.0414338745176792,gears_prediction_magnitude_risk,risk,2.643848419189453
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed3::single::CSRNP1+ctrl,norman,gears_supplement,3,test,GEARS_single_heldout,CSRNP1+ctrl,GEARS,0.0668360739946365,gears_prediction_magnitude_risk,risk,3.822564601898194
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed3::single::HOXB9+ctrl,norman,gears_supplement,3,test,GEARS_single_heldout,HOXB9+ctrl,GEARS,0.0427171699702739,gears_prediction_magnitude_risk,risk,3.483503818511963
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed3::single::MAP2K3+ctrl,norman,gears_supplement,3,test,GEARS_single_heldout,MAP2K3+ctrl,GEARS,0.0402420759201049,gears_prediction_magnitude_risk,risk,1.2442140579223633
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed3::single::PTPN12+ctrl,norman,gears_supplement,3,test,GEARS_single_heldout,PTPN12+ctrl,GEARS,0.0406532660126686,gears_prediction_magnitude_risk,risk,2.8707096576690674
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed3::single::PTPN9+ctrl,norman,gears_supplement,3,test,GEARS_single_heldout,PTPN9+ctrl,GEARS,0.035488836467266,gears_prediction_magnitude_risk,risk,2.8140087127685547
