stratum,predictor,endpoint,direction,n,mean,median,std
primary_ge30,general_baseline,energy_distance_pca_k=50,lower_better,263,2.826422588747304,2.4285963068340513,1.00458485722203
primary_ge30,general_baseline,mse,lower_better,263,0.00216935811245245,0.0016564547437933552,0.0015733646461659145
primary_ge30,general_baseline,pearson_pert,higher_better,263,-0.0023961516027052755,-0.03271883544821785,0.24661256925780095
primary_ge30,general_baseline,rank,lower_better,263,0.39259280759295273,0.33969465648854963,0.2882619199150584
sensitivity_10_29,batch_matched_control,de_auprc,higher_better,9,0.06630456509969458,0.05025156218990679,0.036924584899826904
sensitivity_10_29,batch_matched_control,energy_distance_pca_k=50,lower_better,9,3.5399521502096643,3.4279800431392147,0.8926007581686166
sensitivity_10_29,batch_matched_control,mse,lower_better,9,0.0045421789042366205,0.004113543689056468,0.0014348128927441155
sensitivity_10_29,batch_matched_control,pearson_pert,higher_better,9,-0.08096038365030384,-0.10077224983744745,0.07138738232485986
sensitivity_10_29,batch_matched_control,rank,lower_better,9,0.4264042640426404,0.35793357933579334,0.29405398585342307
sensitivity_10_29,exphormer,de_auprc,higher_better,9,0.15745491282348814,0.13071654650842707,0.10999439402477863
sensitivity_10_29,exphormer,energy_distance_pca_k=50,lower_better,9,2.270962168914186,2.1313188642165963,0.542819990192889
sensitivity_10_29,exphormer,mse,lower_better,9,0.0024804340220077456,0.002461830474078409,0.0007805611013477938
sensitivity_10_29,exphormer,pearson_pert,higher_better,9,0.6276512133870787,0.6538832975882795,0.14009695809765968
sensitivity_10_29,exphormer,rank,lower_better,9,0.02378023780237802,0.014760147601476014,0.0219170106779895
sensitivity_10_29,exphormer_mg,de_auprc,higher_better,9,0.1492360475724461,0.10197532436851292,0.1026882958778768
sensitivity_10_29,exphormer_mg,energy_distance_pca_k=50,lower_better,9,2.2647222770046525,2.1240337327572756,0.5777917730809207
sensitivity_10_29,exphormer_mg,mse,lower_better,9,0.0025132763192723512,0.0025396387854180746,0.0007791831682228209
sensitivity_10_29,exphormer_mg,pearson_pert,higher_better,9,0.6014522803425388,0.6707566103840885,0.17877365437871906
sensitivity_10_29,exphormer_mg,rank,lower_better,9,0.029520295202952032,0.014760147601476014,0.027116122613835923
sensitivity_10_29,family_centroid,de_auprc,higher_better,9,0.16371308186727065,0.15768262888014672,0.10411202447083025
sensitivity_10_29,family_centroid,energy_distance_pca_k=50,lower_better,9,2.1808583555307717,2.0252600115955532,0.5776549851336936
sensitivity_10_29,family_centroid,mse,lower_better,9,0.0023896875661088626,0.0024511866965737173,0.0008246108690068113
sensitivity_10_29,family_centroid,pearson_pert,higher_better,9,0.6663147860286158,0.6685018251338797,0.0740012768510349
sensitivity_10_29,family_centroid,rank,lower_better,9,0.017630176301763015,0.01845018450184502,0.011489263033376019
sensitivity_10_29,gat,de_auprc,higher_better,9,0.15137006192165398,0.14771200652678695,0.09072501561804812
sensitivity_10_29,gat,energy_distance_pca_k=50,lower_better,9,2.1100450774895316,1.9577670459797458,0.6902488873446909
sensitivity_10_29,gat,mse,lower_better,9,0.00235623807935923,0.0022917194736625365,0.0010074288862742644
sensitivity_10_29,gat,pearson_pert,higher_better,9,0.6549830242428919,0.6306240636451677,0.06663616404865906
sensitivity_10_29,gat,rank,lower_better,9,0.01886018860188602,0.01107011070110701,0.022479295058421972
sensitivity_10_29,general_baseline,de_auprc,higher_better,9,0.0592269724994918,0.048389745855775684,0.03425713980485015
sensitivity_10_29,general_baseline,energy_distance_pca_k=50,lower_better,9,3.2100171716777535,3.0879656212632556,0.7376234232121535
sensitivity_10_29,general_baseline,mse,lower_better,9,0.0039021243125522986,0.003581653609282817,0.0012524284531892547
sensitivity_10_29,general_baseline,pearson_pert,higher_better,9,0.03399546784129135,-0.013726254797525761,0.11402573802017343
sensitivity_10_29,general_baseline,rank,lower_better,9,0.35547355473554737,0.25830258302583026,0.31120708902973315
