dataset,fold,group,n_source_rows,n_test_tasks,source_target_task_overlap,spearman,utility_20,magnitude_utility_20,magnitude_spearman
Frangieh,3,A+C,1012,127,0,0.8858341907565852,0.9632111656063347,0.9275213996487983,0.8082217469382003
Frangieh,3,A+B+C,1012,127,0,0.8782868885953237,0.9632111656063347,0.9275213996487983,0.8082217469382003
Frangieh,4,A,1014,126,0,0.9112587797625524,0.9781313120986526,0.9723246392525629,0.8621905589322681
Frangieh,4,A+B,1014,126,0,0.9105360023469478,0.9781313120986526,0.9723246392525629,0.8621905589322681
Frangieh,4,A+C,1014,126,0,0.9146966757375085,0.9932533834296063,0.9723246392525629,0.8621905589322681
Frangieh,4,A+B+C,1014,126,0,0.914986516805438,0.9932533834296063,0.9723246392525629,0.8621905589322681
LaraAstiasoHuntly2023_exvivo,0,A,518,64,0,0.94530315520369,0.9847832159736528,0.08856385942476924,0.2711282352153499
LaraAstiasoHuntly2023_exvivo,0,A+B,518,64,0,0.9528631324994332,0.9847832159736528,0.08856385942476924,0.2711282352153499
LaraAstiasoHuntly2023_exvivo,0,A+C,518,64,0,0.9341201970937004,0.9125525967094805,0.08856385942476924,0.2711282352153499
LaraAstiasoHuntly2023_exvivo,0,A+B+C,518,64,0,0.9414382181043488,0.9125525967094805,0.08856385942476924,0.2711282352153499
LaraAstiasoHuntly2023_exvivo,1,A,518,64,0,0.8852458794835097,0.5423340749012684,0.40730931679147775,0.44745561293114633
LaraAstiasoHuntly2023_exvivo,1,A+B,518,64,0,0.8991942139591355,0.6744452367015431,0.40730931679147775,0.44745561293114633
LaraAstiasoHuntly2023_exvivo,1,A+C,518,64,0,0.9229541941957207,0.7645213047984107,0.40730931679147775,0.44745561293114633
LaraAstiasoHuntly2023_exvivo,1,A+B+C,518,64,0,0.9550118682671737,0.7645213047984107,0.40730931679147775,0.44745561293114633
LaraAstiasoHuntly2023_exvivo,2,A,514,66,0,0.9193444369760165,0.9936326291184943,0.5187908854708175,0.7156823102580506
LaraAstiasoHuntly2023_exvivo,2,A+B,514,66,0,0.9433605873938501,0.9936326291184943,0.5187908854708175,0.7156823102580506
LaraAstiasoHuntly2023_exvivo,2,A+C,514,66,0,0.9437113654411902,0.9936326291184943,0.5187908854708175,0.7156823102580506
LaraAstiasoHuntly2023_exvivo,2,A+B+C,514,66,0,0.955115417209738,0.9936326291184943,0.5187908854708175,0.7156823102580506
LaraAstiasoHuntly2023_exvivo,3,A,516,65,0,0.9218675076348423,1.0,-0.006375972309450717,0.3621436566473236
LaraAstiasoHuntly2023_exvivo,3,A+B,516,65,0,0.9309855413839258,1.0,-0.006375972309450717,0.3621436566473236
LaraAstiasoHuntly2023_exvivo,3,A+C,516,65,0,0.9230635661018805,1.0,-0.006375972309450717,0.3621436566473236
LaraAstiasoHuntly2023_exvivo,3,A+B+C,516,65,0,0.9369986294534242,1.0,-0.006375972309450717,0.3621436566473236
LaraAstiasoHuntly2023_exvivo,4,A,518,64,0,0.9379210899813534,0.9832526988470134,0.07104233228897783,0.5283910613062359
LaraAstiasoHuntly2023_exvivo,4,A+B,518,64,0,0.9410858498255346,0.9940289824407655,0.07104233228897783,0.5283910613062359
LaraAstiasoHuntly2023_exvivo,4,A+C,518,64,0,0.9384830198382128,0.9942257240920709,0.07104233228897783,0.5283910613062359
LaraAstiasoHuntly2023_exvivo,4,A+B+C,518,64,0,0.9374078964470328,0.9940289824407655,0.07104233228897783,0.5283910613062359
LaraAstiasoHuntly2023_invivo,0,A,602,75,0,0.7726565494624446,0.8255910571793468,0.6247314430293444,0.5483677281633484
LaraAstiasoHuntly2023_invivo,0,A+B,602,75,0,0.7982349944825142,0.8663670279050683,0.6247314430293444,0.5483677281633484
LaraAstiasoHuntly2023_invivo,0,A+C,602,75,0,0.7932808708017339,0.860779371914989,0.6247314430293444,0.5483677281633484
LaraAstiasoHuntly2023_invivo,0,A+B+C,602,75,0,0.792891520269982,0.8513154284913388,0.6247314430293444,0.5483677281633484
LaraAstiasoHuntly2023_invivo,1,A,606,73,0,0.9293677592800756,0.9383845961362475,0.4020400246343412,0.6719468527198597
LaraAstiasoHuntly2023_invivo,1,A+B,606,73,0,0.9367327155713014,0.9360639661961359,0.4020400246343412,0.6719468527198597
LaraAstiasoHuntly2023_invivo,1,A+C,606,73,0,0.938558948172189,0.9118050202780297,0.4020400246343412,0.6719468527198597
LaraAstiasoHuntly2023_invivo,1,A+B+C,606,73,0,0.9400326691426671,0.9360639661961359,0.4020400246343412,0.6719468527198597
LaraAstiasoHuntly2023_invivo,2,A,598,77,0,0.8984486130947009,0.6382244078643091,0.30934847004471516,0.526930865659064
LaraAstiasoHuntly2023_invivo,2,A+B,598,77,0,0.8880620759203738,0.66705913416056,0.30934847004471516,0.526930865659064
LaraAstiasoHuntly2023_invivo,2,A+C,598,77,0,0.8850974383489749,0.6603988168548669,0.30934847004471516,0.526930865659064
LaraAstiasoHuntly2023_invivo,2,A+B+C,598,77,0,0.8901114461856514,0.639420576852353,0.30934847004471516,0.526930865659064
LaraAstiasoHuntly2023_invivo,3,A,600,76,0,0.8446862158789259,0.7268528659384534,0.14812515427675294,0.38881340227812333
LaraAstiasoHuntly2023_invivo,3,A+B,600,76,0,0.8248446611639559,0.8026353261999674,0.14812515427675294,0.38881340227812333
LaraAstiasoHuntly2023_invivo,3,A+C,600,76,0,0.8374438916955828,0.7594296072965416,0.14812515427675294,0.38881340227812333
LaraAstiasoHuntly2023_invivo,3,A+B+C,600,76,0,0.8328957696052375,0.6827988351769531,0.14812515427675294,0.38881340227812333
LaraAstiasoHuntly2023_invivo,4,A,604,74,0,0.8635548294633472,0.8160688719668262,0.3171974520840176,0.48801223891254286
LaraAstiasoHuntly2023_invivo,4,A+B,604,74,0,0.885723268817944,0.895228083230944,0.3171974520840176,0.48801223891254286
LaraAstiasoHuntly2023_invivo,4,A+C,604,74,0,0.854750456577519,0.7808885259788804,0.3171974520840176,0.48801223891254286
LaraAstiasoHuntly2023_invivo,4,A+B+C,604,74,0,0.8820235925221794,0.895228083230944,0.3171974520840176,0.48801223891254286
McFarlandTsherniak2020,0,A,1860,233,0,0.5173953852850623,0.6147510526575877,0.10067057095138703,0.03837079088195569
McFarlandTsherniak2020,0,A+B,1860,233,0,0.541670710123939,0.6178335930598887,0.10067057095138703,0.03837079088195569
McFarlandTsherniak2020,0,A+C,1860,233,0,0.5557776569567763,0.5488503170947631,0.10067057095138703,0.03837079088195569
McFarlandTsherniak2020,0,A+B+C,1860,233,0,0.5552996299233977,0.5139324413298971,0.10067057095138703,0.03837079088195569
McFarlandTsherniak2020,1,A,1860,233,0,0.45326786605250236,0.6617478455497975,0.20677102000213016,0.046012632745166336
McFarlandTsherniak2020,1,A+B,1860,233,0,0.4927654548956085,0.6632555898662973,0.20677102000213016,0.046012632745166336
McFarlandTsherniak2020,1,A+C,1860,233,0,0.5040159112263652,0.7038765344274559,0.20677102000213016,0.046012632745166336
McFarlandTsherniak2020,1,A+B+C,1860,233,0,0.4968189986838081,0.6768146851873476,0.20677102000213016,0.046012632745166336
McFarlandTsherniak2020,2,A,1862,232,0,0.4571916520343405,0.6990954796246401,0.10520823589429151,0.022718884727889434
McFarlandTsherniak2020,2,A+B,1862,232,0,0.515908636493077,0.71184541532838,0.10520823589429151,0.022718884727889434
McFarlandTsherniak2020,2,A+C,1862,232,0,0.47649526715474905,0.6466591040841833,0.10520823589429151,0.022718884727889434
McFarlandTsherniak2020,2,A+B+C,1862,232,0,0.5052506053490117,0.615376301859064,0.10520823589429151,0.022718884727889434
McFarlandTsherniak2020,3,A,1862,232,0,0.4898349509674075,0.5817417849511475,0.10440165434308542,0.10902864133173612
McFarlandTsherniak2020,3,A+B,1862,232,0,0.5107424491158506,0.5679707399339466,0.10440165434308542,0.10902864133173612
McFarlandTsherniak2020,3,A+C,1862,232,0,0.5133171361025644,0.5137658544583131,0.10440165434308542,0.10902864133173612
McFarlandTsherniak2020,3,A+B+C,1862,232,0,0.5122975826811073,0.5144659997605737,0.10440165434308542,0.10902864133173612
McFarlandTsherniak2020,4,A,1860,233,0,0.5240129705674589,0.5739591380184556,0.23140152154536248,0.09783913423221048
McFarlandTsherniak2020,4,A+B,1860,233,0,0.5466301288532491,0.4869108309473115,0.23140152154536248,0.09783913423221048
McFarlandTsherniak2020,4,A+C,1860,233,0,0.5760885465876123,0.549866328874736,0.23140152154536248,0.09783913423221048
McFarlandTsherniak2020,4,A+B+C,1860,233,0,0.5652162522770987,0.5068892655473297,0.23140152154536248,0.09783913423221048
SantinhaPlatt2023,0,A,436,55,0,0.7678349177821578,0.9333811451116495,0.19135464533778085,0.3698088122028092
SantinhaPlatt2023,0,A+B,436,55,0,0.7594516594516596,0.8780614348313603,0.19135464533778085,0.3698088122028092
SantinhaPlatt2023,0,A+C,436,55,0,0.7742424242424244,0.6808402356513296,0.19135464533778085,0.3698088122028092
SantinhaPlatt2023,0,A+B+C,436,55,0,0.7595238095238097,0.6808402356513296,0.19135464533778085,0.3698088122028092
SantinhaPlatt2023,1,A,440,53,0,0.7431612475555966,0.5869328206740506,0.07666483799477762,0.32737415265650105
SantinhaPlatt2023,1,A+B,440,53,0,0.7567632953777962,0.5869328206740506,0.07666483799477762,0.32737415265650105
SantinhaPlatt2023,1,A+C,440,53,0,0.7433928045043465,0.5559443268977485,0.07666483799477762,0.32737415265650105
SantinhaPlatt2023,1,A+B+C,440,53,0,0.7567785519333217,0.5559443268977485,0.07666483799477762,0.32737415265650105
SantinhaPlatt2023,2,A,436,55,0,0.7146593554437392,0.6208354162454784,0.23785339644709486,0.32860665603969175
SantinhaPlatt2023,2,A+B,436,55,0,0.7114846950056246,0.6208354162454784,0.23785339644709486,0.32860665603969175
SantinhaPlatt2023,2,A+C,436,55,0,0.7188441351121629,0.6098518442255066,0.23785339644709486,0.32860665603969175
SantinhaPlatt2023,2,A+B+C,436,55,0,0.7357997079066384,0.5574925409146153,0.23785339644709486,0.32860665603969175
SantinhaPlatt2023,3,A,434,56,0,0.6948170680622819,0.6107682411262667,-0.1434704307521423,0.19455537017558286
SantinhaPlatt2023,3,A+B,434,56,0,0.7245292051123179,0.598068386001922,-0.1434704307521423,0.19455537017558286
SantinhaPlatt2023,3,A+C,434,56,0,0.6735248381851152,0.5696393141515382,-0.1434704307521423,0.19455537017558286
SantinhaPlatt2023,3,A+B+C,434,56,0,0.6910246786259017,0.5500459588219051,-0.1434704307521423,0.19455537017558286
SantinhaPlatt2023,4,A,438,54,0,0.804032934944128,0.5659532210846203,0.3838514133516217,0.3312149638295518
SantinhaPlatt2023,4,A+B,438,54,0,0.78352519687937,0.5659532210846203,0.3838514133516217,0.3312149638295518
SantinhaPlatt2023,4,A+C,438,54,0,0.7591293746462006,0.5154167781510602,0.3838514133516217,0.3312149638295518
SantinhaPlatt2023,4,A+B+C,438,54,0,0.7611877721471242,0.5223363702273404,0.3838514133516217,0.3312149638295518
SrivatsanTrapnell2020_sciplex3,0,A,902,113,0,0.7726857632693838,0.8954429323022439,0.9147829539674833,0.5423066932102415
SrivatsanTrapnell2020_sciplex3,0,A+B,902,113,0,0.7309833008116511,0.9049274517461608,0.9147829539674833,0.5423066932102415
SrivatsanTrapnell2020_sciplex3,0,A+C,902,113,0,0.757173549114277,0.8954429323022439,0.9147829539674833,0.5423066932102415
SrivatsanTrapnell2020_sciplex3,0,A+B+C,902,113,0,0.7087058346636212,0.9049274517461608,0.9147829539674833,0.5423066932102415
SrivatsanTrapnell2020_sciplex3,1,A,904,112,0,0.764684906622325,0.856788191072275,0.8735559949436004,0.6612678993370329
SrivatsanTrapnell2020_sciplex3,1,A+B,904,112,0,0.7753564394826318,0.8961319249494089,0.8735559949436004,0.6612678993370329
SrivatsanTrapnell2020_sciplex3,1,A+C,904,112,0,0.7891551359621278,0.8876519993120074,0.8735559949436004,0.6612678993370329
SrivatsanTrapnell2020_sciplex3,1,A+B+C,904,112,0,0.778756416259824,0.8846348542465599,0.8735559949436004,0.6612678993370329
SrivatsanTrapnell2020_sciplex3,2,A,902,113,0,0.6538884553360723,0.8930858701446427,0.865864732765106,0.6177986087447946
SrivatsanTrapnell2020_sciplex3,2,A+B,902,113,0,0.60338683240086,0.8593769315983736,0.865864732765106,0.6177986087447946
SrivatsanTrapnell2020_sciplex3,2,A+C,902,113,0,0.6834025276684164,0.9000039560078603,0.865864732765106,0.6177986087447946
SrivatsanTrapnell2020_sciplex3,2,A+B+C,902,113,0,0.6081561505582552,0.8587864216265155,0.865864732765106,0.6177986087447946
SrivatsanTrapnell2020_sciplex3,3,A,902,113,0,0.7693713844317233,0.7901025603242605,0.7118035833315934,0.6140262963094988
SrivatsanTrapnell2020_sciplex3,3,A+B,902,113,0,0.7310951874651599,0.7340901133949715,0.7118035833315934,0.6140262963094988
SrivatsanTrapnell2020_sciplex3,3,A+C,902,113,0,0.7452923057109293,0.7889151206814761,0.7118035833315934,0.6140262963094988
SrivatsanTrapnell2020_sciplex3,3,A+B+C,902,113,0,0.7287710571862431,0.7340901133949715,0.7118035833315934,0.6140262963094988
SrivatsanTrapnell2020_sciplex3,4,A,902,113,0,0.5904885229845227,0.7940586119760963,0.5945653423135226,0.5574343855940838
SrivatsanTrapnell2020_sciplex3,4,A+B,902,113,0,0.5916734648766863,0.6216162513238525,0.5945653423135226,0.5574343855940838
SrivatsanTrapnell2020_sciplex3,4,A+C,902,113,0,0.6055462603829597,0.6196928222892402,0.5945653423135226,0.5574343855940838
SrivatsanTrapnell2020_sciplex3,4,A+B+C,902,113,0,0.5823185686279669,0.6172551226815394,0.5945653423135226,0.5574343855940838
