model,heldout_dataset,fold_id,endpoint,n_tasks,spearman
ridge_alpha10,Shifrut,Shifrut_context_holdout_1_D1_nostim,direction_error_rank_target,43,0.183081579352214
ridge_alpha10,Shifrut,Shifrut_context_holdout_2_D1_stim,error_centered_pearson_mean,43,0.8743581999395953
ridge_alpha10,Shifrut,Shifrut_context_holdout_2_D1_stim,error_centered_cosine_mean,43,0.871488976140139
ridge_alpha10,Shifrut,Shifrut_context_holdout_2_D1_stim,direction_error_rank_target,43,0.8730554396512287
ridge_alpha10,Shifrut,Shifrut_context_holdout_3_D2_nostim,error_centered_pearson_mean,43,0.19903352461491997
ridge_alpha10,Shifrut,Shifrut_context_holdout_3_D2_nostim,error_centered_cosine_mean,43,0.20613107822410148
ridge_alpha10,Shifrut,Shifrut_context_holdout_3_D2_nostim,direction_error_rank_target,43,0.210943702849717
ridge_alpha10,Shifrut,Shifrut_context_holdout_4_D2_stim,error_centered_pearson_mean,43,-0.313953488372093
ridge_alpha10,Shifrut,Shifrut_context_holdout_4_D2_stim,error_centered_cosine_mean,43,-0.28012684989429176
ridge_alpha10,Shifrut,Shifrut_context_holdout_4_D2_stim,direction_error_rank_target,43,-0.2912276828458678
ridge_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,error_centered_pearson_mean,183,0.6711090050363039
ridge_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,error_centered_cosine_mean,183,0.33144439309799256
ridge_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,direction_error_rank_target,183,0.5540593067353989
ridge_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,error_centered_pearson_mean,183,0.6859398619911806
ridge_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,error_centered_cosine_mean,183,0.420012453690287
ridge_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,direction_error_rank_target,183,0.575451331481645
ridge_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,error_centered_pearson_mean,183,-0.3103808166174525
ridge_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,error_centered_cosine_mean,183,-0.20663922677465094
ridge_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,direction_error_rank_target,183,-0.2755442373916883
ridge_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,error_centered_pearson_mean,183,0.014693788036624817
ridge_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,error_centered_cosine_mean,183,0.14169793143421086
ridge_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,direction_error_rank_target,183,0.08927856350646213
ridge_positive_alpha10,Frangieh,frangieh_context_holdout_1_Co-culture,error_centered_pearson_mean,279,0.5155726110355955
ridge_positive_alpha10,Frangieh,frangieh_context_holdout_1_Co-culture,error_centered_cosine_mean,279,0.512549591663075
ridge_positive_alpha10,Frangieh,frangieh_context_holdout_1_Co-culture,direction_error_rank_target,279,0.5141845093584885
ridge_positive_alpha10,Frangieh,frangieh_context_holdout_2_Control,error_centered_pearson_mean,279,0.40364298423012746
ridge_positive_alpha10,Frangieh,frangieh_context_holdout_2_Control,error_centered_cosine_mean,279,0.4005315563217629
ridge_positive_alpha10,Frangieh,frangieh_context_holdout_2_Control,direction_error_rank_target,279,0.40212253873020076
ridge_positive_alpha10,Frangieh,frangieh_context_holdout_3_IFNγ,error_centered_pearson_mean,279,0.3985705444860701
ridge_positive_alpha10,Frangieh,frangieh_context_holdout_3_IFNγ,error_centered_cosine_mean,279,0.38560543270452763
ridge_positive_alpha10,Frangieh,frangieh_context_holdout_3_IFNγ,direction_error_rank_target,279,0.392356406707035
ridge_positive_alpha10,Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,error_centered_pearson_mean,69,0.19565217391304351
ridge_positive_alpha10,Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,error_centered_cosine_mean,69,0.23240774570697847
ridge_positive_alpha10,Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,direction_error_rank_target,69,0.21071960642561324
ridge_positive_alpha10,Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,error_centered_pearson_mean,69,0.5322616002922909
ridge_positive_alpha10,Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,error_centered_cosine_mean,69,0.5414687614176106
ridge_positive_alpha10,Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,direction_error_rank_target,69,0.5351688117183971
ridge_positive_alpha10,Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),error_centered_pearson_mean,69,0.5249543295579102
ridge_positive_alpha10,Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),error_centered_cosine_mean,69,0.51516258677384
ridge_positive_alpha10,Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),direction_error_rank_target,69,0.5181788316295167
ridge_positive_alpha10,Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,error_centered_pearson_mean,69,0.4738034344172452
ridge_positive_alpha10,Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,error_centered_cosine_mean,69,0.457215929850201
ridge_positive_alpha10,Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,direction_error_rank_target,69,0.46745108452385215
ridge_positive_alpha10,Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,error_centered_pearson_mean,69,0.43412495432955794
ridge_positive_alpha10,Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,error_centered_cosine_mean,69,0.4099013518450859
ridge_positive_alpha10,Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,direction_error_rank_target,69,0.4250114204268049
ridge_positive_alpha10,Liang,Liang_context_holdout_1_DM2_1,error_centered_pearson_mean,68,0.06199183112570141
ridge_positive_alpha10,Liang,Liang_context_holdout_1_DM2_1,error_centered_cosine_mean,68,0.05649501851357024
ridge_positive_alpha10,Liang,Liang_context_holdout_1_DM2_1,direction_error_rank_target,68,0.056938347178746636
ridge_positive_alpha10,Liang,Liang_context_holdout_2_DM2_2,error_centered_pearson_mean,68,-0.0185135702561362
ridge_positive_alpha10,Liang,Liang_context_holdout_2_DM2_2,error_centered_cosine_mean,68,-0.020384013436653046
ridge_positive_alpha10,Liang,Liang_context_holdout_2_DM2_2,direction_error_rank_target,68,-0.021206134747315256
ridge_positive_alpha10,Liang,Liang_context_holdout_3_DM2_3,error_centered_pearson_mean,68,0.0685956407222201
ridge_positive_alpha10,Liang,Liang_context_holdout_3_DM2_3,error_centered_cosine_mean,68,0.06531282207886398
ridge_positive_alpha10,Liang,Liang_context_holdout_3_DM2_3,direction_error_rank_target,68,0.06858571844304326
ridge_positive_alpha10,Liang,Liang_context_holdout_4_DM2_4,error_centered_pearson_mean,68,0.0137420315303279
ridge_positive_alpha10,Liang,Liang_context_holdout_4_DM2_4,error_centered_cosine_mean,68,0.032370118715883495
ridge_positive_alpha10,Liang,Liang_context_holdout_4_DM2_4,direction_error_rank_target,68,0.023441601515024387
ridge_positive_alpha10,Liang,Liang_context_holdout_5_DM2_5,error_centered_pearson_mean,68,-0.14723059892354085
ridge_positive_alpha10,Liang,Liang_context_holdout_5_DM2_5,error_centered_cosine_mean,68,-0.13948162003282819
ridge_positive_alpha10,Liang,Liang_context_holdout_5_DM2_5,direction_error_rank_target,68,-0.1424331216661198
ridge_positive_alpha10,Liang,Liang_context_holdout_6_DM2_6,error_centered_pearson_mean,68,-0.17845554834523034
ridge_positive_alpha10,Liang,Liang_context_holdout_6_DM2_6,error_centered_cosine_mean,68,-0.17898996068252088
ridge_positive_alpha10,Liang,Liang_context_holdout_6_DM2_6,direction_error_rank_target,68,-0.17728574207046555
ridge_positive_alpha10,Liang,Liang_context_holdout_7_EM2_1,error_centered_pearson_mean,68,0.5154406993167155
ridge_positive_alpha10,Liang,Liang_context_holdout_7_EM2_1,error_centered_cosine_mean,68,0.509256785128068
ridge_positive_alpha10,Liang,Liang_context_holdout_7_EM2_1,direction_error_rank_target,68,0.5146352880802106
ridge_positive_alpha10,Liang,Liang_context_holdout_8_EM2_2,error_centered_pearson_mean,68,0.34454326831316556
ridge_positive_alpha10,Liang,Liang_context_holdout_8_EM2_2,error_centered_cosine_mean,68,0.34320723746993925
ridge_positive_alpha10,Liang,Liang_context_holdout_8_EM2_2,direction_error_rank_target,68,0.3433005354059335
ridge_positive_alpha10,Liang,Liang_context_holdout_9_EM2_3,error_centered_pearson_mean,68,0.2465549490399664
ridge_positive_alpha10,Liang,Liang_context_holdout_9_EM2_3,error_centered_cosine_mean,68,0.2483490476008703
ridge_positive_alpha10,Liang,Liang_context_holdout_9_EM2_3,direction_error_rank_target,68,0.24590805500195942
ridge_positive_alpha10,Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,error_centered_pearson_mean,51,0.39981900452488683
ridge_positive_alpha10,Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,error_centered_cosine_mean,51,0.3727601809954751
ridge_positive_alpha10,Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,direction_error_rank_target,51,0.38623815637110054
