dataset,analysis,effect,endpoint,n_folds,n_independent_perturbation_clusters,fold_macro_spearman,ci95_low,ci95_high,p_gt_zero
Nadig_two_cellline,directional_minus_comparator,directional_minus_risk_model_disagreement,error_centered_cosine_mean,2,96,0.6330215883896888,0.5234374001373359,0.7268463593157338,1.0
Nadig_two_cellline,directional_minus_comparator,directional_minus_risk_model_disagreement,direction_error_rank_target,2,96,0.6277775471704037,0.5168187461971405,0.7237694013712858,1.0
Nadig_two_cellline,directional_minus_comparator,directional_minus_safeconf_calibrated_pair_risk,error_centered_pearson_mean,2,96,1.110991159493068,0.9713698467846884,1.2203325393155209,1.0
Nadig_two_cellline,directional_minus_comparator,directional_minus_safeconf_calibrated_pair_risk,error_centered_cosine_mean,2,96,1.116021524405153,0.9767254314160625,1.2243360109314638,1.0
Nadig_two_cellline,directional_minus_comparator,directional_minus_safeconf_calibrated_pair_risk,direction_error_rank_target,2,96,1.11272397685462,0.973944733888477,1.2219563791661812,1.0
Replogle_two_cellline,score_association,directional_risk_frozen,error_centered_pearson_mean,2,128,0.19371760224131646,0.07240968343508968,0.31057701137441396,0.998
Replogle_two_cellline,score_association,directional_risk_frozen,error_centered_cosine_mean,2,128,0.18705924915839212,0.06457517944535113,0.3047018846245638,0.9966666666666667
Replogle_two_cellline,score_association,directional_risk_frozen,direction_error_rank_target,2,128,0.19051784903018945,0.06815095632626995,0.30838951448227064,0.998
Replogle_two_cellline,score_association,baseline_predicted_magnitude,error_centered_pearson_mean,2,128,0.2042610116514187,0.09229172317470251,0.3125227475389295,0.9996666666666667
Replogle_two_cellline,score_association,baseline_predicted_magnitude,error_centered_cosine_mean,2,128,0.2114426341988372,0.10012384443570967,0.3213654388342139,0.9996666666666667
Replogle_two_cellline,score_association,baseline_predicted_magnitude,direction_error_rank_target,2,128,0.20806654090626642,0.09655123159767502,0.31720223695071814,0.9996666666666667
Replogle_two_cellline,score_association,risk_model_disagreement,error_centered_pearson_mean,2,128,-0.029976767075627186,-0.14328800692219143,0.08574055670501118,0.29733333333333334
Replogle_two_cellline,score_association,risk_model_disagreement,error_centered_cosine_mean,2,128,-0.03762474821461273,-0.14940658549810476,0.07926564425356097,0.25033333333333335
Replogle_two_cellline,score_association,risk_model_disagreement,direction_error_rank_target,2,128,-0.03408475436462324,-0.14690062039674442,0.08116317661021755,0.27666666666666667
Replogle_two_cellline,score_association,safeconf_calibrated_pair_risk,error_centered_pearson_mean,2,128,0.16031227841391543,0.05614182372357951,0.28108476389052384,0.9966666666666667
Replogle_two_cellline,score_association,safeconf_calibrated_pair_risk,error_centered_cosine_mean,2,128,0.1697429413981088,0.060004164808133253,0.2865110440793987,0.9976666666666667
Replogle_two_cellline,score_association,safeconf_calibrated_pair_risk,direction_error_rank_target,2,128,0.16432615586226074,0.05609371528439481,0.28156012379007184,0.997
Replogle_two_cellline,directional_minus_comparator,directional_minus_baseline_predicted_magnitude,error_centered_pearson_mean,2,128,-0.010543409410102234,-0.15495919624309953,0.14088831983479572,0.44366666666666665
Replogle_two_cellline,directional_minus_comparator,directional_minus_baseline_predicted_magnitude,error_centered_cosine_mean,2,128,-0.02438338504044507,-0.16990127101485994,0.12561463667222883,0.376
Replogle_two_cellline,directional_minus_comparator,directional_minus_baseline_predicted_magnitude,direction_error_rank_target,2,128,-0.017548691876076966,-0.1635000934488348,0.1334289354254841,0.4086666666666667
Replogle_two_cellline,directional_minus_comparator,directional_minus_risk_model_disagreement,error_centered_pearson_mean,2,128,0.22369436931694364,0.08052109412853176,0.3655388008388625,0.9993333333333333
Replogle_two_cellline,directional_minus_comparator,directional_minus_risk_model_disagreement,error_centered_cosine_mean,2,128,0.22468399737300485,0.07612160956383979,0.3638385247365923,0.9996666666666667
Replogle_two_cellline,directional_minus_comparator,directional_minus_risk_model_disagreement,direction_error_rank_target,2,128,0.2246026033948127,0.07912097354628418,0.3647055307226709,0.9993333333333333
Replogle_two_cellline,directional_minus_comparator,directional_minus_safeconf_calibrated_pair_risk,error_centered_pearson_mean,2,128,0.03340532382740102,-0.11902439323553628,0.16508420822076558,0.6623333333333333
Replogle_two_cellline,directional_minus_comparator,directional_minus_safeconf_calibrated_pair_risk,error_centered_cosine_mean,2,128,0.01731630776028331,-0.13531918032470622,0.15194220956191867,0.5833333333333334
Replogle_two_cellline,directional_minus_comparator,directional_minus_safeconf_calibrated_pair_risk,direction_error_rank_target,2,128,0.026191693167928715,-0.12503312979833103,0.15999650920587238,0.6233333333333333
