panel,panel_label,task_id,n_seeds,native_logvar_mean,seed_disagreement,predicted_magnitude,family_rms_error,centroid_rmse,truth_max_abs_diff_across_seeds,family_squared_identity_residual,gene_order_hash
P2,Norman_P2,COL1A1+ctrl,3,0.19642364978790283,0.021399252929935466,0.040535179565990336,0.06856894056981473,0.06514423677431054,0.0,8.131516293641283e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,COL2A1+ctrl,3,0.0996666327118873,0.016354708247658813,0.043700532789031465,0.06760212982200103,0.06559398962256102,0.0,8.131516293641283e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,CSRNP1+ctrl,3,0.1427258302768071,0.020329806843537534,0.03200119025411766,0.044272983706059595,0.03932932798741256,0.0,2.168404344971009e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,DLX2+ctrl,3,0.312232772509257,0.01334417391900146,0.06584588342609983,0.06348272122828932,0.0620643933102398,0.0,2.1955093992831465e-18,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,HK2+ctrl,3,0.17320951322714484,0.012694648150345263,0.030762229166650796,0.03274090143622716,0.030179670892766165,0.0,1.0842021724855044e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,HOXA13+ctrl,3,0.16134291638930634,0.017198700010994467,0.05025933119041607,0.07133161481057894,0.0692271911131502,0.0,8.673617379884035e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,NCL+ctrl,3,0.1628157372275988,0.020555516400720574,0.0385166780364576,0.0440333512430546,0.038941067874339624,0.0,3.2526065174565133e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,RREB1+ctrl,3,0.1492841765284538,0.010631665081187923,0.029323548802366,0.03891907499526042,0.037438777972687014,0.0,6.776263578034403e-20,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,SAMD1+ctrl,3,0.1743631263573964,0.015587240628448788,0.06323367831114886,0.04517992930610104,0.04240594229226752,0.0,2.439454888092385e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,SGK1+ctrl,3,0.11088445037603373,0.024781221597229838,0.04921324540772767,0.04869603421404314,0.041918907480088856,0.0,4.336808689942018e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,SLC38A2+ctrl,3,0.0957242784400781,0.012834357203927043,0.029922643694408432,0.03659136157410238,0.03426670420406232,0.0,2.710505431213761e-20,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,SLC4A1+ctrl,3,0.1758231818675995,0.0162257195314494,0.031015158438075664,0.0574573889883407,0.05511875883076683,0.0,4.87890977618477e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,SLC6A9+ctrl,3,0.16523619989554084,0.01866787058655638,0.033913245454740566,0.04036295692753023,0.03578657429396175,0.0,2.710505431213761e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,TBX3+ctrl,3,0.08183310429255163,0.02900813979646222,0.05499849452608103,0.05747090337222912,0.04961282656701794,0.0,4.336808689942018e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,TP73+ctrl,3,0.2220800419648488,0.014187299265179955,0.039136100516953994,0.10482284628404921,0.10385831523113416,0.0,4.607859233063394e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,ZC3HAV1+ctrl,3,0.055972206095854404,0.01583207946374969,0.033556118503271434,0.040386140920263706,0.03715354139627761,0.0,3.2526065174565133e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
