panel,system,arm,score_name,outcome_name,normalized_aurc,coverage,n_retained,selective_error,normalized_selective_error
P1,GEARS-scGPT pair,posthoc_pair,risk_scgpt_predicted_magnitude,task_mean_rmse,0.950661891597066,0.8,20,0.10223682988321296,0.9470405143479398
P1,GEARS-scGPT pair,posthoc_pair,risk_scgpt_predicted_magnitude,task_mean_rmse,0.950661891597066,0.85,21,0.10443127102179946,0.9673680681948972
P1,GEARS-scGPT pair,posthoc_pair,risk_scgpt_predicted_magnitude,task_mean_rmse,0.950661891597066,0.9,22,0.10433989520842836,0.9665216354818252
P1,GEARS-scGPT pair,posthoc_pair,risk_scgpt_predicted_magnitude,task_mean_rmse,0.950661891597066,0.95,23,0.10560308892565483,0.9782228553753782
P1,GEARS-scGPT pair,posthoc_pair,risk_scgpt_predicted_magnitude,task_mean_rmse,0.950661891597066,1.0,25,0.10795401921490705,0.9999999999999999
P1,PRESCRIBE,paper_effect_pearson_primary,aleatoric_confidence,one_minus_pearson_effect_accuracy,0.9699310659581849,0.5,12,0.204171926555061,0.8736141370539106
P1,PRESCRIBE,paper_effect_pearson_primary,aleatoric_confidence,one_minus_pearson_effect_accuracy,0.9699310659581849,0.55,14,0.19749811506682005,0.8450581246650685
P1,PRESCRIBE,paper_effect_pearson_primary,aleatoric_confidence,one_minus_pearson_effect_accuracy,0.9699310659581849,0.6,15,0.1968365675293585,0.8422274843767046
P1,PRESCRIBE,paper_effect_pearson_primary,aleatoric_confidence,one_minus_pearson_effect_accuracy,0.9699310659581849,0.65,16,0.22315287212234283,0.9548301135204712
P1,PRESCRIBE,paper_effect_pearson_primary,aleatoric_confidence,one_minus_pearson_effect_accuracy,0.9699310659581849,0.7,17,0.24959298963721707,1.0679625153942012
P1,PRESCRIBE,paper_effect_pearson_primary,aleatoric_confidence,one_minus_pearson_effect_accuracy,0.9699310659581849,0.75,19,0.23371421032859527,1.0000201380202474
P1,PRESCRIBE,paper_effect_pearson_primary,aleatoric_confidence,one_minus_pearson_effect_accuracy,0.9699310659581849,0.8,20,0.23174415503684762,0.9915906336183066
