panel,system,arm,score_name,outcome_name,budget,n_selected,high_error_recall,selected_mean_error,overall_mean_error,error_lift,remaining_mean_error,remaining_error_reduction,oracle_mean_error,oracle_normalized_utility,utility_ci95_lower,utility_ci95_upper,utility_bootstrap_valid
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_scgpt_disagreement,task_mean_rmse,0.2,5,0.6,0.13246088642378726,0.10795401921490706,1.2270120870636014,0.1015048436336228,0.05974002291147405,0.15504703701907765,0.5203927960358881,0.13979962573275415,1.0,5000
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_scgpt_disagreement,task_mean_rmse,0.3,8,0.75,0.13702771999701055,0.10795401921490706,1.2693155937457563,0.09341716882385531,0.13465779687287824,0.1422224575904204,0.8484104371350117,,,0
P1,GEARS-scGPT pair,posthoc_pair,risk_scgpt_predicted_magnitude,task_mean_rmse,0.1,3,0.3333333333333333,0.13261325656666034,0.10795401921490706,1.22842352263572,0.10443127102179944,0.03263193180510294,0.17058831179716813,0.393701857802049,,,0
P1,GEARS-scGPT pair,posthoc_pair,risk_scgpt_predicted_magnitude,task_mean_rmse,0.2,5,0.6,0.12854919077081445,0.10795401921490706,1.1907772559621703,0.10253423722651037,0.05020454104267657,0.15504703701907765,0.4373296194682062,-0.009031887524520934,0.941033081957578,5000
P1,GEARS-scGPT pair,posthoc_pair,risk_scgpt_predicted_magnitude,task_mean_rmse,0.3,8,0.5,0.12439871847542333,0.10795401921490706,1.1523305883385346,0.09973166958464892,0.0761652941692674,0.1422224575904204,0.47987886346950953,,,0
P1,PRESCRIBE,paper_effect_pearson_primary,aleatoric_confidence,one_minus_pearson_effect_accuracy,0.1,3,0.0,0.16962940366100945,0.2337095038818741,0.7258130321766751,0.24286380391342624,-0.039169566831903826,0.6213185288539221,-0.16532148658170612,,,0
P1,PRESCRIBE,paper_effect_pearson_primary,aleatoric_confidence,one_minus_pearson_effect_accuracy,0.2,5,0.2,0.23369161938433364,0.2337095038818741,0.99992347552306,0.23371421032859527,-2.0138020247391636e-05,0.5660195673817822,-5.3818705795691374e-05,-0.38833465848072835,0.4975736574131845,5000
P1,PRESCRIBE,paper_effect_pearson_primary,aleatoric_confidence,one_minus_pearson_effect_accuracy,0.3,8,0.375,0.2548227674009366,0.2337095038818741,1.0903397729590578,0.22315287212234283,0.045169886479528826,0.46056646196973644,0.09306861776258725,,,0
P1,PRESCRIBE,paper_effect_pearson_primary,combined_confidence,one_minus_pearson_effect_accuracy,0.1,3,0.0,0.16962940366100945,0.2337095038818741,0.7258130321766751,0.24286380391342624,-0.039169566831903826,0.6213185288539221,-0.16532148658170612,,,0
P1,PRESCRIBE,paper_effect_pearson_primary,combined_confidence,one_minus_pearson_effect_accuracy,0.2,5,0.2,0.21539973437799267,0.2337095038818741,0.9216558625141069,0.23852786427763234,-0.020616878285761288,0.5660195673817822,-0.05509845025769578,-0.4106400165470695,0.4090725028652264,5000
