target,history_mode,fraction,seed,k_sources,scope,method,budget,spearman,n_tasks,coverage,utility,capture,remaining_relative_error
K562,fraction,0.25,11,3,primary,history_risk,0.1,0.4475298356345293,566,1.0,0.3671243091579593,0.12924002718307104,0.968271403957528
K562,fraction,0.25,11,3,primary,history_risk,0.2,0.4475298356345293,566,1.0,0.40328539335385405,0.2479103695209491,0.9417759532104929
K562,fraction,0.25,11,3,primary,history_risk,0.3,0.4475298356345293,566,1.0,0.4332320215298324,0.3599319054395617,0.9148448018212325
K562,fraction,0.25,11,3,primary,m_plus_d,0.1,0.9082345831777897,566,1.0,0.8945595607747561,0.17023288698100375,0.9226879881507895
K562,fraction,0.25,11,3,primary,m_plus_d,0.2,0.9082345831777897,566,1.0,0.9176881784190825,0.30721863318473336,0.8675094106580552
K562,fraction,0.25,11,3,primary,m_plus_d,0.3,0.9082345831777897,566,1.0,0.9288693703822125,0.4280925038807287,0.8174233404128978
K562,fraction,0.25,11,3,primary,m_plus_history,0.1,0.910753443330208,566,1.0,0.9459286550014318,0.17422535064573966,0.9182484313055232
K562,fraction,0.25,11,3,primary,m_plus_history,0.2,0.910753443330208,566,1.0,0.9371889994516354,0.309466987721368,0.8646939932515614
K562,fraction,0.25,11,3,primary,m_plus_history,0.3,0.910753443330208,566,1.0,0.9359139537738086,0.4290612828092168,0.8160386715403619
K562,fraction,0.25,11,3,all,magnitude,0.1,0.900131032822169,580,1.0,0.9609857583039885,0.17872579205105382,0.9125268977210513
K562,fraction,0.25,11,3,all,magnitude,0.2,0.900131032822169,580,1.0,0.9330814158108366,0.311050208148966,0.8611872398137925
K562,fraction,0.25,11,3,all,magnitude,0.3,0.900131032822169,580,1.0,0.9314668231235753,0.4314812090480798,0.8121697013598861
K562,fraction,0.25,11,3,all,disagreement,0.1,0.5355092797746026,580,1.0,0.4508587715970891,0.13693521323332467,0.9589608741851948
K562,fraction,0.25,11,3,all,disagreement,0.2,0.5355092797746026,580,1.0,0.4826523495050408,0.25744262287074454,0.9281967214115693
