source_fraction,repeat_seed,source_n_tasks_used,n_target_tasks,spearman_vs_error,top20_error_enrichment,top20_k,mean_error_combined_rmse,mean_source_support,shared_perturbation_tasks,pair_group,source_dataset,target_dataset,directional_pair,n_common_genes,source_n_tasks_full,target_n_tasks_full
0.75,1,18,30,0.8567296996662959,1.629658995494892,6,0.03591109394925093,1.8,30,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.75,2,18,30,0.7953281423804226,1.6561767481346659,6,0.03744330534152071,1.8,30,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.75,3,18,30,0.7944382647385985,1.5532784813884122,6,0.03732784742850856,1.8,30,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.75,4,18,30,0.7530589543937708,1.6133263856456375,6,0.0363392975295181,1.8,27,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.75,5,18,30,0.8202447163515018,1.652659487244707,6,0.03723044302912306,1.8,30,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.75,6,18,30,0.8327030033370411,1.6378790896257993,6,0.03554886168587577,1.8,30,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.75,7,18,30,0.8255839822024471,1.5310641530610787,6,0.03590583351023973,1.8,30,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
1.0,0,24,30,0.8331479421579533,1.5927397324754264,6,0.03451545375079381,2.4,30,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.25,0,3,8,0.9523809523809524,1.2533813807621375,2,0.06458813747722647,3.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
0.25,1,3,8,-0.1666666666666667,0.6095916338146558,2,0.08745014928957083,3.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
