setting,predictor,predictor_family,n_tasks,mean_effect_rmse,mean_effect_pearson,mean_systema_inspired_transport_pearson_delta_all,mean_systema_inspired_transport_pearson_delta_abs_effect_top20_proxy,mean_systema_inspired_transport_pearson_delta_source_top20,mean_systema_source_train_reference_pearson_delta_all,mean_systema_context_stratified_centroid_accuracy,mean_systema_context_stratified_nearest_hit,mean_scperteval_mse,mean_scperteval_pearson,mean_scperteval_pearson_ctrl,mean_scperteval_pearson_pert,mean_scperteval_rank,mean_scperteval_transpose_rank,n_gene_centroids_effect,mean_systema_gene_centroid_accuracy_effect,mean_systema_gene_nearest_hit_effect,n_gene_centroids_post,mean_systema_gene_centroid_accuracy_post,mean_systema_gene_nearest_hit_post
E190_K562,target_control_plus_source_mean_effect,simple_baseline,692,0.2563336290776367,0.10714946944114388,,,,0.8541695554610894,0.5,0.06936416184971098,0.03104179364037361,0.127667771748143,0.127667771748143,0.08241052445417539,0.5407030527289547,0.5,47,0.5,0.02127659574468085,47,0.5226641998149861,0.02127659574468085
E190_K562,zero_effect,simple_baseline,692,0.2582832894744899,,0.09790396559529604,-0.05062450026614371,-0.09777508446453076,0.8517357483960406,0.5,0.06936416184971098,0.03152740306166107,,,0.08930295817565087,0.5407030527289547,0.5,47,0.5,0.02127659574468085,47,0.5222016651248844,0.02127659574468085
E192_RPE1,GEARS_seed3407,model_member,175,0.30790722238606655,0.03763127103304752,0.07130102954665701,0.203429241840974,0.2960627015937678,0.8818653226835389,0.5091463414634146,0.2621951219512195,0.09148164061974137,0.113430095433999,0.113430095433999,0.3047726946436257,0.1952380952380952,0.4738095238095238,21,0.5261904761904762,0.09523809523809523,21,0.5571428571428572,0.09523809523809523
E192_RPE1,GEARS_seed3408,model_member,175,0.30918822566958537,0.038749752762033456,0.07391860151724833,0.20176205395991084,0.2991817848581426,0.8812606682289666,0.5223577235772358,0.27439024390243905,0.09166800413070221,0.11362332867748262,0.11362332867748262,0.3078597380381926,0.20238095238095238,0.4738095238095238,21,0.5261904761904762,0.09523809523809523,21,0.5595238095238095,0.09523809523809523
E192_RPE1,GEARS_seed3409,model_member,175,0.30873923704946976,0.03537598664868343,0.06629668351586165,0.18820091331099156,0.2934593282585998,0.8813429148897717,0.5190040650406503,0.2682926829268293,0.09206649396141159,0.1056250095379471,0.1056250095379471,0.303121367667345,0.1761904761904762,0.47619047619047616,21,0.5238095238095238,0.09523809523809523,21,0.5547619047619048,0.09523809523809523
E192_RPE1,family_centroid,ensemble,175,0.2993101849874826,0.03931135725529609,0.15618321538873253,0.24464519011740707,0.38369385841762865,0.8863260312730735,0.5025406504065041,0.25609756097560976,0.08758670992177757,0.10971529423620219,0.10971529423620219,0.29396197180139855,0.16666666666666666,0.4880952380952381,21,0.5119047619047619,0.09523809523809523,21,0.5261904761904762,0.09523809523809523
E192_RPE1,matching_source_all_folds_mean,simple_baseline,175,0.3084775184208287,0.04191920416691652,0.07324593189524525,0.20525742456139426,0.31431425810311353,0.8816775015222927,0.5251016260162601,0.2804878048780488,0.09250563284961154,0.11079119178748074,0.11079119178748074,0.30468112773146244,0.18571428571428572,0.4738095238095238,21,0.5261904761904762,0.09523809523809523,21,0.5571428571428572,0.09523809523809523
E192_RPE1,matching_source_train_mean,simple_baseline,175,0.30827728123667747,0.043249927592300244,0.07479621208438289,0.20279692373207958,0.3134481216913294,0.881786786859719,0.5184959349593495,0.2682926829268293,0.09135674808676132,0.12179702022170583,0.12179702022170583,0.3077515903225557,0.18095238095238095,0.4738095238095238,21,0.5261904761904762,0.09523809523809523,21,0.5571428571428572,0.09523809523809523
E192_RPE1,scGPT_seed3407,model_member,175,0.2976977918376945,-0.021632627594925544,0.1829190500057801,0.13103750586889348,0.22003881960557042,0.8867383974443747,0.5,0.25609756097560976,0.0888611544189151,0.04540490860905244,0.04540490860905244,0.25525869361357917,0.8023809523809524,0.5,21,0.5,0.047619047619047616,21,0.5166666666666666,0.047619047619047616
E192_RPE1,scGPT_seed3408,model_member,175,0.2980836886395222,0.020976540610664583,0.18418214009175224,0.19746638966403904,0.21266903878445917,0.8866014141980193,0.5,0.25609756097560976,0.09020359444192673,-0.04658486511446821,-0.04658486511446821,0.25496685180669076,0.22380952380952382,0.5,21,0.5,0.047619047619047616,21,0.5142857142857143,0.047619047619047616
E192_RPE1,scGPT_seed3409,model_member,175,0.29740894059064327,0.022294032422542905,0.18449399613055836,0.19063220326206118,0.2136246683660505,0.8866329482411949,0.5,0.25609756097560976,0.08832364582341305,-0.04388123737373793,-0.04388123737373793,0.2550867361859345,0.24761904761904763,0.5,21,0.5,0.047619047619047616,21,0.5190476190476191,0.09523809523809523
E192_RPE1,source_absolute_noncontrol_mean,simple_baseline,175,0.6574690572088947,0.09452235590932137,0.15013475319251815,0.47518764230557825,0.21078083317893506,,0.5,0.25609756097560976,0.3984064437102215,0.12844616728086491,0.12844616728086491,0.02649953623487767,0.28095238095238095,0.47619047619047616,21,0.5238095238095238,0.047619047619047616,21,0.5,0.047619047619047616
E192_RPE1,target_control_plus_source_mean_effect,simple_baseline,175,0.3025942404591322,-0.0015658122702945985,,,,0.8848555115801563,0.5,0.25609756097560976,0.09166592701012866,0.009863175462942173,0.009863175462942173,0.2398590249580282,0.49523809523809526,0.5,21,0.5,0.047619047619047616,21,0.5214285714285714,0.047619047619047616
E192_RPE1,zero_effect,simple_baseline,175,0.29788932060072326,,0.18321042239269186,0.1360874283103365,0.21953021432133207,0.8867354127519934,0.5,0.25609756097560976,0.08939785601499796,,,0.25527638566710964,0.49523809523809526,0.5,21,0.5,0.047619047619047616,21,0.5166666666666666,0.047619047619047616
