repeat,outcome,model_spec,n_train_targets,n_calibration_targets,n_evaluation_targets,target_simultaneous_coverage,mean_upper,median_upper,mean_interval_width,calibration_quantile,mean_absolute_base_error
1,pair_mean_rmse,magnitude_plus_pair_lower,600,200,200,0.91000000000000003,0.25040966158598232,0.24897740748069336,0.23485186581831005,0.12739245316764364,0.039121248654043338
2,ensemble_rmse,state_stratum_constant,600,200,200,0.88,0.2330013083628423,0.23363020257845524,0.2330013083628423,0.10970724582417911,0.040553721470742161
2,ensemble_rmse,magnitude,600,200,200,0.87,0.22585403184160749,0.2245059702862624,0.22585403184160749,0.10242071717455609,0.040345514983609949
2,ensemble_rmse,magnitude_plus_pair_lower,600,200,200,0.87,0.22610090612702849,0.22469756669482277,0.22610090612702849,0.10270094538148705,0.040262707305651242
2,pair_mean_rmse,state_stratum_constant,600,200,200,0.88,0.23334686378346314,0.23402593501491403,0.21748347330081161,0.10884554494681985,0.040390004339191328
2,pair_mean_rmse,magnitude,600,200,200,0.87,0.22688080059255886,0.22523913740030604,0.21101741010990724,0.10221938401057172,0.040078270507477261
2,pair_mean_rmse,magnitude_plus_pair_lower,600,200,200,0.87,0.22717651685563936,0.22547286744834957,0.21131312637298774,0.10255505298485179,0.039976483046010383
3,ensemble_rmse,state_stratum_constant,600,200,200,0.93999999999999995,0.26267117457087757,0.26335653908237622,0.26267117457087757,0.1380455427149305,0.038555597874991791
3,ensemble_rmse,magnitude,600,200,200,0.93999999999999995,0.26565918088346197,0.26471005696924044,0.26565918088346197,0.14082496487335949,0.038172469424722522
3,ensemble_rmse,magnitude_plus_pair_lower,600,200,200,0.93999999999999995,0.26556313156895478,0.2646566252450776,0.26556313156895478,0.14073154189223092,0.038181358073196045
3,pair_mean_rmse,state_stratum_constant,600,200,200,0.93999999999999995,0.26290339627475029,0.26363561403334912,0.24689362863716233,0.13707623080669126,0.03840077614968429
3,pair_mean_rmse,magnitude,600,200,200,0.94499999999999995,0.26648518272753147,0.2652116611489268,0.25047541508994342,0.14040798301608004,0.037909542613909983
3,pair_mean_rmse,magnitude_plus_pair_lower,600,200,200,0.94499999999999995,0.2665796372137535,0.26530964701110482,0.25056986957616545,0.14049985477725924,0.03790099312855582
4,ensemble_rmse,state_stratum_constant,600,200,200,0.89500000000000002,0.23746292347836662,0.23790733964700531,0.23746292347836662,0.11523516676734964,0.041048476522539894
4,ensemble_rmse,magnitude,600,200,200,0.89000000000000001,0.23793049676456401,0.23700804739191056,0.23793049676456401,0.11555842011974699,0.040728287727465742
4,ensemble_rmse,magnitude_plus_pair_lower,600,200,200,0.89500000000000002,0.23892983106775073,0.23793338284733698,0.23892983106775073,0.11650762180237213,0.040625843975425721
4,pair_mean_rmse,state_stratum_constant,600,200,200,0.89500000000000002,0.23819272892602233,0.23867692715371441,0.2222078617155224,0.11475342323993395,0.040823374637328151
4,pair_mean_rmse,magnitude,600,200,200,0.89500000000000002,0.23875478353357232,0.23764426552218587,0.22276991632307239,0.11514199555893552,0.040434566759705921
4,pair_mean_rmse,magnitude_plus_pair_lower,600,200,200,0.89500000000000002,0.239935136574425,0.23864018425203051,0.22395026936392518,0.11626313499035139,0.04030202272846356
5,ensemble_rmse,state_stratum_constant,600,200,200,0.91000000000000003,0.25227467979065443,0.25437953149806031,0.25227467979065443,0.12889309489543369,0.039206175017823072
5,ensemble_rmse,magnitude,600,200,200,0.90000000000000002,0.2469879380725814,0.24476119753681513,0.2469879380725814,0.12367725449024883,0.038981581319951032
5,ensemble_rmse,magnitude_plus_pair_lower,600,200,200,0.90000000000000002,0.24621143073988416,0.24409092644743102,0.24621143073988416,0.12287666807609349,0.038977744684253378
5,pair_mean_rmse,state_stratum_constant,600,200,200,0.91000000000000003,0.2529646505033899,0.2551091216402222,0.23705905680920231,0.12837103578531137,0.039032180854429568
5,pair_mean_rmse,magnitude,600,200,200,0.90500000000000003,0.24792955225632232,0.24550807683631695,0.2320239585621347,0.12341421702218626,0.03870614800759898
5,pair_mean_rmse,magnitude_plus_pair_lower,600,200,200,0.90000000000000002,0.24685786278361491,0.24438300324933443,0.23095226908942729,0.12230929502606989,0.038700030789060189
6,ensemble_rmse,state_stratum_constant,600,200,200,0.93999999999999995,0.25034937247572181,0.25047380597534441,0.25034937247572181,0.12606884713962793,0.036542775023419953
6,ensemble_rmse,magnitude,600,200,200,0.93999999999999995,0.24786314478376559,0.24697300412520254,0.24786314478376559,0.12352732473355302,0.036304308244245055
6,ensemble_rmse,magnitude_plus_pair_lower,600,200,200,0.93999999999999995,0.24748699295663432,0.24655653683363468,0.24748699295663432,0.12314083421870516,0.036335029934417125
6,pair_mean_rmse,state_stratum_constant,600,200,200,0.93999999999999995,0.25036250141717675,0.25071174993529571,0.23450896729517923,0.12487564567363571,0.036332512390684739
6,pair_mean_rmse,magnitude,600,200,200,0.93999999999999995,0.24848678728648566,0.24722595378904316,0.23263325316448805,0.12293109921384066,0.036023129666725356
6,pair_mean_rmse,magnitude_plus_pair_lower,600,200,200,0.93999999999999995,0.24897197107562724,0.24766102461306716,0.23311843695362958,0.12340350646379011,0.036059353374703194
7,ensemble_rmse,state_stratum_constant,600,200,200,0.85999999999999999,0.24330316225475154,0.24296176619424142,0.24330316225475154,0.12157130206012537,0.038314172133035049
7,ensemble_rmse,magnitude,600,200,200,0.87,0.24522226167564176,0.24391298744758047,0.24522226167564176,0.12307824394227217,0.038470441066415652
7,ensemble_rmse,magnitude_plus_pair_lower,600,200,200,0.87,0.2447773698311414,0.2435723763603444,0.2447773698311414,0.12261954328564666,0.03852750554425232
7,pair_mean_rmse,state_stratum_constant,600,200,200,0.85999999999999999,0.24347644801143625,0.24317375333686533,0.22726959045868445,0.12052338058521722,0.038016681635857349
7,pair_mean_rmse,magnitude,600,200,200,0.87,0.24581122112599416,0.24415979166924917,0.22960436357324226,0.12235672353417477,0.038180031435540954
7,pair_mean_rmse,magnitude_plus_pair_lower,600,200,200,0.87,0.24552537650544792,0.24400999147376726,0.22931851895269612,0.12206200670185192,0.038217762311713435
8,ensemble_rmse,state_stratum_constant,600,200,200,0.89500000000000002,0.25703590637592572,0.25780281938283789,0.25703590637592572,0.13510705991371083,0.040342695814700749
8,ensemble_rmse,magnitude,600,200,200,0.89000000000000001,0.25972156836527716,0.25767605135885263,0.25972156836527716,0.13745955508479868,0.040121888351010188
8,ensemble_rmse,magnitude_plus_pair_lower,600,200,200,0.89000000000000001,0.26020658968914717,0.25827461235805638,0.26020658968914717,0.13768291859365184,0.040325974753549328
8,pair_mean_rmse,state_stratum_constant,600,200,200,0.89500000000000002,0.25747597007841116,0.25830899822303627,0.24152645910142867,0.13431362266402605,0.04020977759181503
8,pair_mean_rmse,magnitude,600,200,200,0.89000000000000001,0.26045521770163743,0.25792840337014544,0.24450570672465488,0.13692328302892087,0.03985429959606894
8,pair_mean_rmse,magnitude_plus_pair_lower,600,200,200,0.89000000000000001,0.26087431332568134,0.25865297185484759,0.24492480234869882,0.13711628623212957,0.040035151480681146
9,ensemble_rmse,state_stratum_constant,600,200,200,0.89500000000000002,0.23084494853420837,0.23004501705858088,0.23084494853420837,0.10710196905228042,0.038216860068098088
9,ensemble_rmse,magnitude,600,200,200,0.89500000000000002,0.23175130711668931,0.23076157162641148,0.23175130711668931,0.10789569679585322,0.037937399517589461
9,ensemble_rmse,magnitude_plus_pair_lower,600,200,200,0.89500000000000002,0.231294806680096,0.23008362170844901,0.231294806680096,0.10727927667859923,0.037883970927663373
9,pair_mean_rmse,state_stratum_constant,600,200,200,0.90000000000000002,0.23307711196465519,0.23233117436571132,0.21711128339349714,0.1081477767853446,0.038043416511922411
9,pair_mean_rmse,magnitude,600,200,200,0.89500000000000002,0.23245577619755844,0.2311187047258135,0.21648994762640039,0.10739759603584052,0.037654186650505433
9,pair_mean_rmse,magnitude_plus_pair_lower,600,200,200,0.89500000000000002,0.2321251222966591,0.23052607793639668,0.21615929372550099,0.10688091198757567,0.037590655358924974
10,ensemble_rmse,state_stratum_constant,600,200,200,0.89500000000000002,0.25693017914251642,0.2598137568846926,0.25693017914251642,0.1342526023570193,0.041209474808780587
10,ensemble_rmse,magnitude,600,200,200,0.89500000000000002,0.25877683277498448,0.25711052681536517,0.25877683277498448,0.13628331274735711,0.040874378270373823
10,ensemble_rmse,magnitude_plus_pair_lower,600,200,200,0.89500000000000002,0.25879400187429286,0.25776446831034128,0.25879400187429286,0.13627518851757114,0.041058998527423875
10,pair_mean_rmse,state_stratum_constant,600,200,200,0.89500000000000002,0.25716903697591303,0.26009750588665703,0.24140364158169716,0.13326815212144688,0.041047971049064727
10,pair_mean_rmse,magnitude,600,200,200,0.89500000000000002,0.25926797708184929,0.25721825952746824,0.24350258168763342,0.13557629448603575,0.040599518059638837
10,pair_mean_rmse,magnitude_plus_pair_lower,600,200,200,0.89500000000000002,0.25928255253893817,0.25784005415689121,0.2435171571447223,0.13556939753934688,0.040747347184830647
11,ensemble_rmse,state_stratum_constant,600,200,200,0.90500000000000003,0.24478353033709183,0.24518350316521431,0.24478353033709183,0.12008739748752392,0.037488146684210598
11,ensemble_rmse,magnitude,600,200,200,0.90000000000000002,0.23941537708867655,0.23854520092213757,0.23941537708867655,0.11506492487382766,0.037303365768034148
11,ensemble_rmse,magnitude_plus_pair_lower,600,200,200,0.90000000000000002,0.2394222688269205,0.23854928911510603,0.2394222688269205,0.11507124373035628,0.037303452334170567
11,pair_mean_rmse,state_stratum_constant,600,200,200,0.90500000000000003,0.24498757042137215,0.24561470780973929,0.22946517876806297,0.11907880573814003,0.03726874692524839
11,pair_mean_rmse,magnitude,600,200,200,0.90000000000000002,0.24016701040069749,0.23906328957708567,0.22464461874738825,0.11467209237502944,0.037035341679402596
11,pair_mean_rmse,magnitude_plus_pair_lower,600,200,200,0.90000000000000002,0.24036659601373359,0.23920915390927222,0.22484420436042438,0.11485508726098068,0.03703784864568526
12,ensemble_rmse,state_stratum_constant,600,200,200,0.86499999999999999,0.24408693776422369,0.24505689924159771,0.24408693776422369,0.12147793183531848,0.04431131442391318
12,ensemble_rmse,magnitude,600,200,200,0.87,0.24531940714914321,0.2439347662274032,0.24531940714914321,0.12355957781808988,0.043720543005831169
12,ensemble_rmse,magnitude_plus_pair_lower,600,200,200,0.875,0.24554784940224636,0.24417496969120667,0.24554784940224636,0.12377166167668403,0.043809775144359096
12,pair_mean_rmse,state_stratum_constant,600,200,200,0.86499999999999999,0.24441438107918334,0.24542119053205311,0.22908140989497941,0.12058460778224699,0.044097485055280904
12,pair_mean_rmse,magnitude,600,200,200,0.87,0.24610808458030206,0.24450919671602692,0.23077511339609807,0.12323214450107475,0.04340796931812
12,pair_mean_rmse,magnitude_plus_pair_lower,600,200,200,0.875,0.24617427505105197,0.24463544276315877,0.23084130386684801,0.12327895005570277,0.043509856840776788
13,ensemble_rmse,state_stratum_constant,600,200,200,0.91500000000000004,0.25535138614714781,0.25576683741086892,0.25535138614714781,0.1319857056551533,0.04176533439607899
13,ensemble_rmse,magnitude,600,200,200,0.92000000000000004,0.25850219894495974,0.25728266366511215,0.25850219894495974,0.13592201595565434,0.04127727366199891
13,ensemble_rmse,magnitude_plus_pair_lower,600,200,200,0.92000000000000004,0.25853875000277593,0.25731043513772345,0.25853875000277593,0.13596621697707073,0.041286773590617658
13,pair_mean_rmse,state_stratum_constant,600,200,200,0.91500000000000004,0.25546662736160913,0.25592452863569881,0.23996207308897988,0.13082831846907858,0.04159376975268337
13,pair_mean_rmse,magnitude,600,200,200,0.92000000000000004,0.25915963712739026,0.2577435519644396,0.24365508285476095,0.13544199541967056,0.040996063188259296
13,pair_mean_rmse,magnitude_plus_pair_lower,600,200,200,0.92000000000000004,0.25913915836785745,0.25774930493283654,0.24363460409522819,0.13541723055258401,0.040989907890970866
14,ensemble_rmse,state_stratum_constant,600,200,200,0.91000000000000003,0.25341825238768645,0.25342451112020592,0.25341825238768645,0.12908795544135526,0.038853466569706965
14,ensemble_rmse,magnitude,600,200,200,0.91500000000000004,0.25611262850204036,0.25500031066276663,0.25611262850204036,0.1318437530524651,0.038397735702740222
14,ensemble_rmse,magnitude_plus_pair_lower,600,200,200,0.91500000000000004,0.25594783883526268,0.25486566745139683,0.25594783883526268,0.13161915445053146,0.038400629145947336
14,pair_mean_rmse,state_stratum_constant,600,200,200,0.91000000000000003,0.25373349208309898,0.25380054525390722,0.23771497417942589,0.12817485989133323,0.038667799790402468
14,pair_mean_rmse,magnitude,600,200,200,0.91500000000000004,0.25698895566942803,0.25552210505238221,0.240970437765755,0.13150453562831244,0.038080347548426152
14,pair_mean_rmse,magnitude_plus_pair_lower,600,200,200,0.91500000000000004,0.25672404242085972,0.25527524747913577,0.24070552451718669,0.13114347448640007,0.038083733267308399
15,ensemble_rmse,state_stratum_constant,600,200,200,0.90000000000000002,0.2576287418923181,0.25655079627703492,0.2576287418923181,0.13545943359417004,0.03885129201324998
15,ensemble_rmse,magnitude,600,200,200,0.90000000000000002,0.25896199763984329,0.25821437534217506,0.25896199763984329,0.13646976001716965,0.038691879104741415
15,ensemble_rmse,magnitude_plus_pair_lower,600,200,200,0.90000000000000002,0.25918214893234254,0.25814262047056957,0.25918214893234254,0.13661028706466888,0.038948206025408216
15,pair_mean_rmse,state_stratum_constant,600,200,200,0.90000000000000002,0.25805932520722213,0.25719919212809711,0.24172553865848603,0.13465686019145776,0.038631870987831531
15,pair_mean_rmse,magnitude,600,200,200,0.90000000000000002,0.25976541523178809,0.25868588689392918,0.24343162868305199,0.13594971629579838,0.038370850959528073
15,pair_mean_rmse,magnitude_plus_pair_lower,600,200,200,0.89500000000000002,0.25927936015488923,0.25783812445035481,0.24294557360615301,0.13537754221921522,0.038641618114958282
16,ensemble_rmse,state_stratum_constant,600,200,200,0.96499999999999997,0.29374177641678789,0.29275689793272047,0.29374177641678789,0.17282865599965869,0.037986544796614653
16,ensemble_rmse,magnitude,600,200,200,0.95999999999999996,0.28266075859139345,0.28047809044281835,0.28266075859139345,0.16145419417359008,0.037817019440126248
16,ensemble_rmse,magnitude_plus_pair_lower,600,200,200,0.95999999999999996,0.2826724851289501,0.28050266795212153,0.2826724851289501,0.16146818517554171,0.037820838906250431
16,pair_mean_rmse,state_stratum_constant,600,200,200,0.96499999999999997,0.2940439345548112,0.29310224647228039,0.27810829390928743,0.17193871693541679,0.037791692116333535
16,pair_mean_rmse,magnitude,600,200,200,0.95999999999999996,0.28336485694879854,0.28085530678932896,0.26742921630327471,0.16093194607048716,0.037534202802747295
16,pair_mean_rmse,magnitude_plus_pair_lower,600,200,200,0.95999999999999996,0.28333245789318406,0.28087320724598341,0.26739681724766023,0.16089329056385165,0.037523483069698514
17,ensemble_rmse,state_stratum_constant,600,200,200,0.88,0.23152915033664195,0.23166282503132421,0.23152915033664195,0.10716630043774875,0.038167177780959474
17,ensemble_rmse,magnitude,600,200,200,0.875,0.22612493142100495,0.22449069306426578,0.22612493142100495,0.10279505315346875,0.03801591831378847
17,ensemble_rmse,magnitude_plus_pair_lower,600,200,200,0.875,0.22620308238906622,0.22459246415963233,0.22620308238906622,0.10293080009999697,0.038016263665869715
17,pair_mean_rmse,state_stratum_constant,600,200,200,0.88,0.23242000434242635,0.23261425130913105,0.21736067890039792,0.10683324790803619,0.038000344080200692
17,pair_mean_rmse,magnitude,600,200,200,0.875,0.22702949717354207,0.2251761861084568,0.21197017173151361,0.10260364810648963,0.037781563651148639
17,pair_mean_rmse,magnitude_plus_pair_lower,600,200,200,0.875,0.22713431656945915,0.22538396218647519,0.21207499112743067,0.10278571767370875,0.037777915389424807
18,ensemble_rmse,state_stratum_constant,600,200,200,0.86499999999999999,0.2287327092201511,0.23076695435478228,0.2287327092201511,0.10522923930861462,0.037802215884137971
18,ensemble_rmse,magnitude,600,200,200,0.86499999999999999,0.23234439132706966,0.23075998883560572,0.23234439132706966,0.10919529297670046,0.037781659877510421
18,ensemble_rmse,magnitude_plus_pair_lower,600,200,200,0.87,0.23212622224619447,0.23057168508341797,0.23212622224619447,0.10894410301794312,0.037794406068849526
18,pair_mean_rmse,state_stratum_constant,600,200,200,0.86499999999999999,0.22893199873387762,0.23102003898143872,0.21313160039715429,0.10417507345580571,0.037592117269880182
18,pair_mean_rmse,magnitude,600,200,200,0.86499999999999999,0.23307531771372841,0.23130431200695395,0.21727491937700505,0.1087249272224505,0.037519015452361776
18,pair_mean_rmse,magnitude_plus_pair_lower,600,200,200,0.87,0.23275705265757532,0.23080819585709977,0.21695665432085187,0.10835849130949565,0.037533342184269826
19,ensemble_rmse,state_stratum_constant,600,200,200,0.90000000000000002,0.24610669665998672,0.24686687201308166,0.24610669665998672,0.12394512910019041,0.040437058333858605
19,ensemble_rmse,magnitude,600,200,200,0.90000000000000002,0.24978598465643576,0.24833869354948612,0.24978598465643576,0.12761676276777667,0.039977780601365351
19,ensemble_rmse,magnitude_plus_pair_lower,600,200,200,0.90000000000000002,0.25057688911241294,0.24939703335121344,0.25057688911241294,0.12845656537467387,0.040005178523350816
19,pair_mean_rmse,state_stratum_constant,600,200,200,0.90000000000000002,0.24712978375597766,0.2479410227496418,0.23115870725196089,0.12372351995967573,0.040258237876467436
19,pair_mean_rmse,magnitude,600,200,200,0.90000000000000002,0.25106760070025413,0.24922876404886096,0.23509652419623731,0.1276522123269328,0.039656676136509743
19,pair_mean_rmse,magnitude_plus_pair_lower,600,200,200,0.90000000000000002,0.25171534810274021,0.25011015272050119,0.2357442715987233,0.12834000710809454,0.039675824364872554
