cohort,scope,score,comparator,n_gene_clusters,macro_spearman,delta,delta_ci95_low,delta_ci95_high
E237_disjoint_128,all_predeclared_test_tasks,source_plus_magnitude_plus_novelty,magnitude,128,0.73447716781113,0.3489941154731987,0.2657732115069482,0.4207177508231045
E237_disjoint_128,all_predeclared_test_tasks,source_plus_magnitude_plus_novelty,source_plus_magnitude_plus_novelty,128,0.73447716781113,0.0,0.0,0.0
E237_disjoint_128,heldout_cell_line_only,directional_risk_frozen,magnitude,128,0.5665518123055195,-0.018395728974362813,-0.08083232049744046,0.04894733060972618
E237_disjoint_128,heldout_cell_line_only,directional_risk_frozen,source_plus_magnitude_plus_novelty,128,0.5665518123055195,0.07709112550692138,0.03419522551301859,0.12073274626539293
E237_disjoint_128,heldout_cell_line_only,magnitude,magnitude,128,0.5849475412798824,0.0,0.0,0.0
E237_disjoint_128,heldout_cell_line_only,magnitude,source_plus_magnitude_plus_novelty,128,0.5849475412798824,0.09548685448128419,0.015047915689677125,0.16753124448433743
E237_disjoint_128,heldout_cell_line_only,novelty,magnitude,128,0.08722031614998302,-0.4977272251298993,-0.6460870896291173,-0.3359237359996875
E237_disjoint_128,heldout_cell_line_only,novelty,source_plus_magnitude_plus_novelty,128,0.08722031614998302,-0.4022403706486152,-0.5014297174251835,-0.30270202753659553
E237_disjoint_128,heldout_cell_line_only,disagreement,magnitude,128,0.5515201388873436,-0.03342740239253872,-0.0848913823505354,0.025329799860580995
E237_disjoint_128,heldout_cell_line_only,disagreement,source_plus_magnitude_plus_novelty,128,0.5515201388873436,0.06205945208874547,-0.02978229942054153,0.14757091082938154
E237_disjoint_128,heldout_cell_line_only,magnitude_plus_novelty,magnitude,128,0.4895859793267455,-0.09536156195313683,-0.1676636122886296,-0.014977206621951334
E237_disjoint_128,heldout_cell_line_only,magnitude_plus_novelty,source_plus_magnitude_plus_novelty,128,0.4895859793267455,0.00012529252814735825,-0.0007297194069063068,0.001115243182087883
E237_disjoint_128,heldout_cell_line_only,source_seen,magnitude,128,,,,
E237_disjoint_128,heldout_cell_line_only,source_seen,source_plus_magnitude_plus_novelty,128,,,,
E237_disjoint_128,heldout_cell_line_only,source_plus_magnitude_plus_novelty,magnitude,128,0.48946068679859817,-0.09548685448128419,-0.16753124448433743,-0.015047915689677175
E237_disjoint_128,heldout_cell_line_only,source_plus_magnitude_plus_novelty,source_plus_magnitude_plus_novelty,128,0.48946068679859817,0.0,0.0,0.0
