cohort,scope,fold_id,score,n_tasks,spearman
E237_disjoint_128,all_predeclared_test_tasks,E237_cellline_holdout_1_HepG2,source_seen,166,0.7275751803911324
E237_disjoint_128,all_predeclared_test_tasks,E237_cellline_holdout_2_Jurkat,source_seen,166,0.7277309999635434
E237_disjoint_128,all_predeclared_test_tasks,E237_cellline_holdout_1_HepG2,source_plus_magnitude_plus_novelty,166,0.7494385649176242
E237_disjoint_128,all_predeclared_test_tasks,E237_cellline_holdout_2_Jurkat,source_plus_magnitude_plus_novelty,166,0.7195157707046359
E237_disjoint_128,heldout_cell_line_only,E237_cellline_holdout_1_HepG2,directional_risk_frozen,128,0.5806410540040245
E237_disjoint_128,heldout_cell_line_only,E237_cellline_holdout_2_Jurkat,directional_risk_frozen,128,0.5524625706070145
E237_disjoint_128,heldout_cell_line_only,E237_cellline_holdout_1_HepG2,magnitude,128,0.6174819455873367
E237_disjoint_128,heldout_cell_line_only,E237_cellline_holdout_2_Jurkat,magnitude,128,0.5524131369724281
E237_disjoint_128,heldout_cell_line_only,E237_cellline_holdout_1_HepG2,novelty,128,0.09252825993093415
E237_disjoint_128,heldout_cell_line_only,E237_cellline_holdout_2_Jurkat,novelty,128,0.08191237236903189
E237_disjoint_128,heldout_cell_line_only,E237_cellline_holdout_1_HepG2,disagreement,128,0.5750060090601755
E237_disjoint_128,heldout_cell_line_only,E237_cellline_holdout_2_Jurkat,disagreement,128,0.5280342687145116
E237_disjoint_128,heldout_cell_line_only,E237_cellline_holdout_1_HepG2,magnitude_plus_novelty,128,0.5203160611897685
E237_disjoint_128,heldout_cell_line_only,E237_cellline_holdout_2_Jurkat,magnitude_plus_novelty,128,0.45885589746372263
E237_disjoint_128,heldout_cell_line_only,E237_cellline_holdout_1_HepG2,source_seen,128,
E237_disjoint_128,heldout_cell_line_only,E237_cellline_holdout_2_Jurkat,source_seen,128,
E237_disjoint_128,heldout_cell_line_only,E237_cellline_holdout_1_HepG2,source_plus_magnitude_plus_novelty,128,0.520471258332031
E237_disjoint_128,heldout_cell_line_only,E237_cellline_holdout_2_Jurkat,source_plus_magnitude_plus_novelty,128,0.4584501152651653
