raw_gene,scgpt_token
FTH1,FTH1
HSP90AB1,HSP90AB1
RPL17,RPL17
HSP90AA1,HSP90AA1
RPL18,RPL18
RPS15,RPS15
RPL13A,RPL13A
RPS5,RPS5
RPSA,RPSA
RPLP0,RPLP0
MT-ND2,MT-ND2
RACK1,RACK1
RPL32,RPL32
RPL28,RPL28
RPS16,RPS16
RPL26,RPL26
RPS15A,RPS15A
NPM1,NPM1
RPL9,RPL9
YBX1,YBX1
FTL,FTL
RPS13,RPS13
RPL7,RPL7
RPL30,RPL30
MIF,MIF
RPL23A,RPL23A
RPL14,RPL14
TUBA1B,TUBA1B
HSPD1,HSPD1
RPL21,RPL21
RPL37A,RPL37A
RPL10A,RPL10A
RPL12,RPL12
NACA,NACA
ACTG1,ACTG1
HMGB1,HMGB1
RPL37,RPL37
EEF1B2,EEF1B2
RPL34,RPL34
RPLP2,RPLP2
RPS27,RPS27
TUBB,TUBB
RPS21,RPS21
RPL35,RPL35
RPL39,RPL39
NME2,NME2
RPS11,RPS11
RPL4,RPL4
PFN1,PFN1
RPS25,RPS25
CHCHD2,CHCHD2
EEF1G,EEF1G
PRDX1,PRDX1
MT-ND5,MT-ND5
ENO1,ENO1
RPL23,RPL23
RPL36,RPL36
UBA52,UBA52
RPL22,RPL22
HNRNPA2B1,HNRNPA2B1
HINT1,HINT1
PPIA,PPIA
BTF3,BTF3
CFL1,CFL1
RPL35A,RPL35A
RPL27,RPL27
RPS28,RPS28
RPL27A,RPL27A
EIF4A1,EIF4A1
RPS29,RPS29
STMN1,STMN1
CALR,CALR
GNAS,GNAS
SERF2,SERF2
EIF1,EIF1
RPS26,RPS26
LDHA,LDHA
SNHG29,SNHG29
PSMA7,PSMA7
RPS20,RPS20
TMSB10,TMSB10
EIF5A,EIF5A
SET,SET
RPS17,RPS17
EEF2,EEF2
SNRPB,SNRPB
HNRNPU,HNRNPU
B2M,B2M
COX4I1,COX4I1
SUMO2,SUMO2
SLC25A3,SLC25A3
OAZ1,OAZ1
DYNLL1,DYNLL1
UQCRH,UQCRH
ATP5MC3,ATP5MC3
ANP32B,ANP32B
SRP14,SRP14
C1QBP,C1QBP
RANBP1,RANBP1
SERBP1,SERBP1
NAP1L1,NAP1L1
CDK6,CDK6
RPL38,RPL38
MYL6,MYL6
PEBP1,PEBP1
SLC25A5,SLC25A5
SUB1,SUB1
XRCC5,XRCC5
HNRNPA3,HNRNPA3
HMGN1,HMGN1
PKM,PKM
HMGN2,HMGN2
PSMA6,PSMA6
DDX5,DDX5
TXN,TXN
CCT3,CCT3
HNRNPD,HNRNPD
PTGES3,PTGES3
HNRNPC,HNRNPC
APRT,APRT
ATP5F1B,ATP5F1B
ATP5MC2,ATP5MC2
PSMB1,PSMB1
ATP5F1E,ATP5F1E
CCT5,CCT5
RPS10,RPS10
MZT2B,MZT2B
PPP1R14B,PPP1R14B
GPX4,GPX4
PARK7,PARK7
UBC,UBC
PFDN5,PFDN5
SRSF3,SRSF3
CCT6A,CCT6A
MT-ND6,MT-ND6
TPI1,TPI1
ERH,ERH
SIVA1,SIVA1
HNRNPR,HNRNPR
PA2G4,PA2G4
UBB,UBB
SFPQ,SFPQ
MARCKSL1,MARCKSL1
COX6A1,COX6A1
TCP1,TCP1
TKT,TKT
NDUFS5,NDUFS5
SOD1,SOD1
COX7C,COX7C
NDUFA13,NDUFA13
YWHAB,YWHAB
CCT2,CCT2
HNRNPK,HNRNPK
UBE2S,UBE2S
PGK1,PGK1
NDUFA4,NDUFA4
TYMS,TYMS
NME1,NME1
EIF3E,EIF3E
PRELID1,PRELID1
SOX4,SOX4
EEF1D,EEF1D
SNRPD1,SNRPD1
CLIC1,CLIC1
NUDC,NUDC
YWHAE,YWHAE
COX5A,COX5A
ARPC3,ARPC3
SLC25A6,SLC25A6
CCT8,CCT8
SRSF9,SRSF9
EIF4G2,EIF4G2
JPT1,JPT1
NUCB2,NUCB2
SKP1,SKP1
GUK1,GUK1
ATP5MG,ATP5MG
XRCC6,XRCC6
CCT7,CCT7
FUS,FUS
POMP,POMP
PSMB2,PSMB2
ZFAS1,ZFAS1
GADD45GIP1,GADD45GIP1
SNRPF,SNRPF
HMGB2,HMGB2
PPA1,PPA1
FABP5,FABP5
PRKDC,PRKDC
RPL36AL,RPL36AL
NDUFAB1,NDUFAB1
RPL31,RPL31
NUCKS1,NUCKS1
PSMA4,PSMA4
SRM,SRM
PHB,PHB
PSMB3,PSMB3
NASP,NASP
SNRPE,SNRPE
FKBP1A,FKBP1A
TMA7,TMA7
TPM3,TPM3
ATP5F1D,ATP5F1D
NDUFS6,NDUFS6
CD99,CD99
PRRC2C,PRRC2C
NDUFB10,NDUFB10
MAP4K4,MAP4K4
COX6C,COX6C
PSMD8,PSMD8
ETFB,ETFB
CYBA,CYBA
YWHAQ,YWHAQ
SRRM2,SRRM2
CCT4,CCT4
DBI,DBI
GTF3A,GTF3A
HNRNPAB,HNRNPAB
ADA,ADA
NDUFV2,NDUFV2
PRMT1,PRMT1
COX7A2,COX7A2
ATP5PF,ATP5PF
CALM2,CALM2
HSPA5,HSPA5
BANF1,BANF1
PSMA2,PSMA2
AURKAIP1,AURKAIP1
ATP5MC1,ATP5MC1
GNG5,GNG5
COX8A,COX8A
HMGA1,HMGA1
TOMM6,TOMM6
ODC1,ODC1
SNU13,SNU13
TPM4,TPM4
HNRNPM,HNRNPM
RTRAF,RTRAF
CSDE1,CSDE1
SRSF7,SRSF7
ATP5F1C,ATP5F1C
PCBP2,PCBP2
SNRPG,SNRPG
MYL12B,MYL12B
SPTBN1,SPTBN1
SEC61B,SEC61B
PSMA3,PSMA3
TUBB4B,TUBB4B
HNRNPF,HNRNPF
MRPL20,MRPL20
PRDX2,PRDX2
SSBP1,SSBP1
FDPS,FDPS
EIF3F,EIF3F
SRP9,SRP9
PRDX5,PRDX5
VDAC2,VDAC2
ATP5F1A,ATP5F1A
TXNL4A,TXNL4A
DEK,DEK
MRPL51,MRPL51
GSTO1,GSTO1
ARPC5,ARPC5
PPIB,PPIB
HNRNPDL,HNRNPDL
ALYREF,ALYREF
CBX3,CBX3
EIF3H,EIF3H
PPM1G,PPM1G
CANX,CANX
RAC1,RAC1
PSMB6,PSMB6
RPS4Y1,RPS4Y1
SSR4,SSR4
PGAM1,PGAM1
SAP18,SAP18
CACYBP,CACYBP
RSL1D1,RSL1D1
PNN,PNN
PRPF40A,PRPF40A
NDUFC2,NDUFC2
SRSF2,SRSF2
MZT2A,MZT2A
PDIA6,PDIA6
MTDH,MTDH
COX5B,COX5B
SNRPD2,SNRPD2
EDF1,EDF1
NOP56,NOP56
HSPA9,HSPA9
PAICS,PAICS
NDUFA11,NDUFA11
ELOB,ELOB
RBM8A,RBM8A
EIF3K,EIF3K
RBM3,RBM3
SF3B1,SF3B1
ATP5PO,ATP5PO
CCNI,CCNI
NEDD8,NEDD8
LSM4,LSM4
TUFM,TUFM
ACP1,ACP1
TMBIM6,TMBIM6
PSMA5,PSMA5
KPNB1,KPNB1
TOMM5,TOMM5
TRMT112,TRMT112
SSB,SSB
KTN1,KTN1
PSMB7,PSMB7
SPCS1,SPCS1
UQCRB,UQCRB
EIF3M,EIF3M
KHDRBS1,KHDRBS1
DUT,DUT
VDAC1,VDAC1
UQCR10,UQCR10
PTP4A2,PTP4A2
CAPZB,CAPZB
SNHG5,SNHG5
UBE2I,UBE2I
COPE,COPE
CENPF,CENPF
TRIR,TRIR
DANCR,DANCR
BPTF,BPTF
AP2S1,AP2S1
ANKRD11,ANKRD11
MYL12A,MYL12A
NDUFB11,NDUFB11
SEM1,SEM1
PPP1CA,PPP1CA
EIF5,EIF5
PSMA1,PSMA1
EIF3G,EIF3G
MICOS10,MICOS10
CARHSP1,CARHSP1
PSMB5,PSMB5
SEPTIN7,SEPTIN7
ANP32A,ANP32A
BCLAF1,BCLAF1
ARL6IP4,ARL6IP4
MAZ,MAZ
BZW1,BZW1
COX6B1,COX6B1
YBX3,YBX3
