dataset,fold_id,setting,train_fraction,rule,n_tasks,spearman,utility_20,capture_20,remaining_error_80,outer_heldout_study
Cui_direct41,Cui_direct_context_holdout_4_T_cell_CD8,perturbation_unseen_column,0.25,magnitude,45,0.2704874835309618,-0.15253696848112752,0.19064043755879753,0.1116024588990009,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_4_T_cell_CD8,perturbation_unseen_column,0.5,magnitude,45,0.0753623188405797,-0.22147978103290794,0.1858246113659561,0.11059826757451025,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_4_T_cell_CD8,perturbation_unseen_column,0.75,magnitude,45,0.08840579710144926,0.10101056139025516,0.20599239560345825,0.10599541086111741,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_4_T_cell_CD8,perturbation_unseen_column,1.0,magnitude,45,0.11765480895915678,-0.0030913081178052097,0.19981740314394594,0.10610383082388962,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_4_T_cell_CD8,random_missing_pair,0.25,magnitude,16,0.7999999999999999,1.0,0.3270102298581956,0.10833602372977184,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_4_T_cell_CD8,random_missing_pair,0.5,magnitude,16,0.5529411764705882,0.7168110806590577,0.29176067305515097,0.11489570879686156,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_4_T_cell_CD8,random_missing_pair,0.75,magnitude,16,0.5970588235294118,0.4388004101933193,0.2758808240804994,0.11263924056858476,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_4_T_cell_CD8,random_missing_pair,1.0,magnitude,16,0.6058823529411764,0.4600863650658647,0.27747515250524074,0.10994042459777671,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_5_T_cell_gd,context_and_perturbation_unseen,0.25,magnitude,9,0.7833333333333333,-0.010082459364803556,0.2220520223977261,0.10696950690654258,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_5_T_cell_gd,context_and_perturbation_unseen,0.5,magnitude,9,0.19999999999999998,-0.25618689641973325,0.2191997016992875,0.10873021653529635,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_5_T_cell_gd,context_and_perturbation_unseen,0.75,magnitude,9,0.2333333333333333,0.05823529439766014,0.2228174711386747,0.10820670269346996,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_5_T_cell_gd,context_and_perturbation_unseen,1.0,magnitude,9,0.26666666666666666,0.12004105168754126,0.22361712187001728,0.10838220285993913,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_5_T_cell_gd,context_unseen_row,0.25,magnitude,32,0.19281524926686217,0.3429430968822075,0.2468300102639811,0.1270884611400547,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_5_T_cell_gd,context_unseen_row,0.5,magnitude,32,0.8511730205278591,0.7890170196051104,0.27773011498538974,0.11974173632498285,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_5_T_cell_gd,context_unseen_row,0.75,magnitude,32,0.8907624633431085,0.6857148347327644,0.2655566480029519,0.11529433562280705,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_5_T_cell_gd,context_unseen_row,1.0,magnitude,32,0.8247800586510263,0.8309775921194704,0.2750964003642118,0.11012389694189906,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_5_T_cell_gd,perturbation_unseen_column,0.25,magnitude,45,0.15665349143610013,0.2242951725799,0.20859172231514123,0.09535937655607125,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_5_T_cell_gd,perturbation_unseen_column,0.5,magnitude,45,0.3637681159420289,0.4650380344458976,0.21720937778708513,0.09493181505690501,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_5_T_cell_gd,perturbation_unseen_column,0.75,magnitude,45,0.2142292490118577,0.0866941357723262,0.20320346776558046,0.09607876127603976,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_5_T_cell_gd,perturbation_unseen_column,1.0,magnitude,45,0.2748353096179183,0.1833866168738599,0.20632242576473822,0.09557695079020638,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_5_T_cell_gd,random_missing_pair,0.25,magnitude,16,0.17941176470588235,-0.043268227147226786,0.24724837348807466,0.11805884537362558,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_5_T_cell_gd,random_missing_pair,0.5,magnitude,16,0.3382352941176471,0.7755119362731254,0.2845820042586039,0.11339318415961956,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_5_T_cell_gd,random_missing_pair,0.75,magnitude,16,0.5676470588235295,0.9281201659008448,0.29555619293262037,0.10836000039748699,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_5_T_cell_gd,random_missing_pair,1.0,magnitude,16,0.44705882352941173,0.9327769556921921,0.2896331277573353,0.10285715085709894,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_6_Treg,context_and_perturbation_unseen,0.25,magnitude,9,0.6333333333333333,0.6390157309529843,0.23229425930331996,0.11154354974568294,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_6_Treg,context_and_perturbation_unseen,0.5,magnitude,9,0.13333333333333333,-0.26572159144710167,0.21928629740891586,0.11376428234041217,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_6_Treg,context_and_perturbation_unseen,0.75,magnitude,9,0.13333333333333333,-0.26388181794791776,0.21996107501825085,0.11406859087919959,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_6_Treg,context_and_perturbation_unseen,1.0,magnitude,9,0.33333333333333337,-0.005440048349980911,0.22217815198231702,0.1139740624148567,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_6_Treg,context_unseen_row,0.25,magnitude,32,0.6092375366568915,0.40415723212787413,0.23948586613207576,0.11910394219566552,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_6_Treg,context_unseen_row,0.5,magnitude,32,0.5707478005865102,0.677264654462475,0.2510163939461294,0.1156230517182614,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_6_Treg,context_unseen_row,0.75,magnitude,32,0.6304985337243401,0.4298518336398118,0.23501737814434778,0.11601285405943994,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_6_Treg,context_unseen_row,1.0,magnitude,32,0.5047653958944281,0.7320333880656984,0.2439734466638367,0.11182269333675547,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_6_Treg,perturbation_unseen_column,0.25,magnitude,45,0.3552042160737813,0.6277147373823794,0.23394963645153902,0.09822290764768708,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_6_Treg,perturbation_unseen_column,0.5,magnitude,45,0.18682476943346504,-0.08314554497018953,0.19563009349337834,0.1020926466947465,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_6_Treg,perturbation_unseen_column,0.75,magnitude,45,0.23610013175230563,-0.01692435230747296,0.19911814717992374,0.10102578464289859,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_6_Treg,perturbation_unseen_column,1.0,magnitude,45,0.15678524374176547,0.042518307076023915,0.20221875092372985,0.10007310934981452,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_6_Treg,random_missing_pair,0.25,magnitude,16,0.5205882352941177,0.5742187396034724,0.2978210117614069,0.10900766673999063,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_6_Treg,random_missing_pair,0.5,magnitude,16,0.788235294117647,0.8026591458851327,0.31018524691521265,0.10938176373730346,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_6_Treg,random_missing_pair,0.75,magnitude,16,0.6294117647058822,0.8804276241660081,0.30473392574177827,0.10741332321814112,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_6_Treg,random_missing_pair,1.0,magnitude,16,0.5735294117647058,0.9804410827183467,0.3114089104798767,0.10367845456051172,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,context_and_perturbation_unseen,0.25,fixed_80m_20s,9,-0.11666666666666665,0.5115982548411083,0.23439511253103615,0.12074079296427641,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,context_and_perturbation_unseen,0.5,fixed_80m_20s,9,0.3849406080276326,0.7339030841736449,0.241594945493433,0.1162902007488689,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,context_and_perturbation_unseen,0.75,fixed_80m_20s,9,0.31666666666666665,0.741534828192584,0.24144473159983398,0.11571225023188138,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,context_and_perturbation_unseen,1.0,fixed_80m_20s,9,0.54393781569122,0.7557053998251395,0.24241597426357836,0.1152826085341003,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,context_unseen_row,0.25,fixed_80m_20s,32,0.8151406871372081,0.9686189516332694,0.27027154816062715,0.12571115147609382,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,context_unseen_row,0.5,fixed_80m_20s,32,0.7559343813253534,0.8454547620600862,0.266456436959131,0.12264938472861264,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,context_unseen_row,0.75,fixed_80m_20s,32,0.7882676576080382,0.7043982986012022,0.26237671557829545,0.11980258936143545,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,context_unseen_row,1.0,fixed_80m_20s,32,0.8004765866265321,0.7194850023264225,0.26082496296526636,0.11810054641187745,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,perturbation_unseen_column,0.25,fixed_80m_20s,45,0.15745437810044047,0.0003311173933650072,0.2000061883991351,0.10168877263637224,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,perturbation_unseen_column,0.5,fixed_80m_20s,45,-0.1436289378657226,-0.3137235749878623,0.19216355103609614,0.09756608778856692,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,perturbation_unseen_column,0.75,fixed_80m_20s,45,-0.11107085219635988,-0.24434105885847385,0.19435663815819737,0.09601944734350903,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,perturbation_unseen_column,1.0,fixed_80m_20s,45,-0.003492126311881132,-0.011093379898371898,0.19976766536474228,0.09515361406117996,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,random_missing_pair,0.25,fixed_80m_20s,16,0.5470588235294118,0.7098261393609858,0.2793132031143618,0.10818385731965269,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,random_missing_pair,0.5,fixed_80m_20s,16,0.7617647058823529,0.8034748337896683,0.2816601241654889,0.10916375397448473,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,random_missing_pair,0.75,fixed_80m_20s,16,0.8294117647058824,0.77685062317298,0.28549366875012816,0.10579158022041608,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,random_missing_pair,1.0,fixed_80m_20s,16,0.8058823529411765,0.9291080778260646,0.2861843325996889,0.10218624918348813,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_2_MigDC,context_and_perturbation_unseen,0.25,fixed_80m_20s,9,-0.3,-0.35245483129957933,0.19025259230075975,0.12556513482361323,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_2_MigDC,context_and_perturbation_unseen,0.5,fixed_80m_20s,9,-0.06666666666666667,-0.14901156465968063,0.20911573965591906,0.12112251984087775,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_2_MigDC,context_and_perturbation_unseen,0.75,fixed_80m_20s,9,0.09999999999999999,-0.16000696009164794,0.20842393313104476,0.12151709630208322,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_2_MigDC,context_and_perturbation_unseen,1.0,fixed_80m_20s,9,0.08333333333333334,-0.1716535386615249,0.20709110194278785,0.1213709286037765,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_2_MigDC,context_unseen_row,0.25,fixed_80m_20s,32,0.6777859237536656,0.5847791893167466,0.24758954698645844,0.11245934151716722,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_2_MigDC,context_unseen_row,0.5,fixed_80m_20s,32,0.6122261963207275,0.6564027301795714,0.2516436797871119,0.11049368366816864,Cui_direct41
