dataset,fold_id,train_fraction,setting,score,budget,n_tasks,spearman,review_utility
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_unseen_row,safeconf_m,0.20000000000000001,32,0.75527040682444591,0.84545476206008618
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_unseen_row,safeconf_m,0.29999999999999999,32,0.75527040682444591,0.92796049702288841
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,perturbation_unseen_column,magnitude,0.050000000000000003,45,-0.16021080368906454,-0.20067814715176055
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,perturbation_unseen_column,magnitude,0.10000000000000001,45,-0.16021080368906454,0.041643142165843784
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,perturbation_unseen_column,magnitude,0.20000000000000001,45,-0.16021080368906454,-0.24856490613513632
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,perturbation_unseen_column,magnitude,0.29999999999999999,45,-0.16021080368906454,-0.31055587211130747
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,perturbation_unseen_column,safeconf,0.050000000000000003,45,0.14519104084321474,0.3069333997479079
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,perturbation_unseen_column,safeconf,0.10000000000000001,45,0.14519104084321474,0.21966356607001761
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,perturbation_unseen_column,safeconf,0.20000000000000001,45,0.14519104084321474,0.10713025497351555
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,perturbation_unseen_column,safeconf,0.29999999999999999,45,0.14519104084321474,0.091347970201509546
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,perturbation_unseen_column,disagreement,0.050000000000000003,45,0.14295125164690381,0.36807770360686742
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,perturbation_unseen_column,disagreement,0.10000000000000001,45,0.14295125164690381,0.48693843529145314
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,perturbation_unseen_column,disagreement,0.20000000000000001,45,0.14295125164690381,0.25977228750111703
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,perturbation_unseen_column,disagreement,0.29999999999999999,45,0.14295125164690381,-0.052740159283674655
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,perturbation_unseen_column,safeconf_m,0.050000000000000003,45,-0.14362893786572259,-0.20067814715176055
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,perturbation_unseen_column,safeconf_m,0.10000000000000001,45,-0.14362893786572259,-0.11519421346401174
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,perturbation_unseen_column,safeconf_m,0.20000000000000001,45,-0.14362893786572259,-0.31636224228895637
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,perturbation_unseen_column,safeconf_m,0.29999999999999999,45,-0.14362893786572259,-0.36756020025714398
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,random_missing_pair,magnitude,0.050000000000000003,16,0.7617647058823529,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,random_missing_pair,magnitude,0.10000000000000001,16,0.7617647058823529,0.80036567484209764
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,random_missing_pair,magnitude,0.20000000000000001,16,0.7617647058823529,0.80347483378966833
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,random_missing_pair,magnitude,0.29999999999999999,16,0.7617647058823529,0.97650459760585784
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,random_missing_pair,safeconf,0.050000000000000003,16,0.85588235294117643,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,random_missing_pair,safeconf,0.10000000000000001,16,0.85588235294117643,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,random_missing_pair,safeconf,0.20000000000000001,16,0.85588235294117643,0.96109760378340769
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,random_missing_pair,safeconf,0.29999999999999999,16,0.85588235294117643,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,random_missing_pair,disagreement,0.050000000000000003,16,0.67647058823529416,0.7272903890056831
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,random_missing_pair,disagreement,0.10000000000000001,16,0.67647058823529416,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,random_missing_pair,disagreement,0.20000000000000001,16,0.67647058823529416,0.96109760378340769
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,random_missing_pair,disagreement,0.29999999999999999,16,0.67647058823529416,0.94136477974010058
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,random_missing_pair,safeconf_m,0.050000000000000003,16,0.7617647058823529,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,random_missing_pair,safeconf_m,0.10000000000000001,16,0.7617647058823529,0.80036567484209764
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,random_missing_pair,safeconf_m,0.20000000000000001,16,0.7617647058823529,0.80347483378966833
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,random_missing_pair,safeconf_m,0.29999999999999999,16,0.7617647058823529,0.97650459760585784
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_and_perturbation_unseen,magnitude,0.050000000000000003,9,0.38333333333333336,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_and_perturbation_unseen,magnitude,0.10000000000000001,9,0.38333333333333336,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_and_perturbation_unseen,magnitude,0.20000000000000001,9,0.38333333333333336,0.74153482819258398
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_and_perturbation_unseen,magnitude,0.29999999999999999,9,0.38333333333333336,0.3503579107660334
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_and_perturbation_unseen,safeconf,0.050000000000000003,9,-0.21666666666666667,-0.094172210737520981
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_and_perturbation_unseen,safeconf,0.10000000000000001,9,-0.21666666666666667,-0.094172210737520981
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_and_perturbation_unseen,safeconf,0.20000000000000001,9,-0.21666666666666667,-0.038345131310356939
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_and_perturbation_unseen,safeconf,0.29999999999999999,9,-0.21666666666666667,-0.4046416799142547
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_and_perturbation_unseen,disagreement,0.050000000000000003,9,-0.43333333333333335,-0.094172210737520981
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_and_perturbation_unseen,disagreement,0.10000000000000001,9,-0.43333333333333335,-0.094172210737520981
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_and_perturbation_unseen,disagreement,0.20000000000000001,9,-0.43333333333333335,-0.26572501774983776
