fold_id,task_key,model_disagreement_rmse,model_disagreement_cosine
0,ACH-000139||Pralsetinib@0.05uM,0.16353627147689156,0.29851020739234135
1,ACH-000496||Regorafenib@0.5uM,0.12571260389267944,0.2468759890882849
1,ACH-000521||Adagrasib@0.05uM,0.03613950605029337,0.030244164179485278
1,ACH-000521||Malotilate@0.05uM,0.1994695031430714,0.237042624265566
1,ACH-000555||Afatinib@5.0uM,0.17026174292502874,0.09358070451842015
1,ACH-000580||Pyridoxine@5.0uM,0.2734394972307464,0.05959105237755957
1,ACH-000580||Retinoic acid@5.0uM,0.14129440926905512,0.1957029830643764
1,ACH-000580||S-Adenosyl-L-methionine (disulfate tosylate)@5.0uM,0.19328310475811208,0.03753559553896402
1,ACH-000580||Triamcinolone@5.0uM,0.19264891562379116,0.07409803053570074
1,ACH-000580||Tucidinostat@5.0uM,0.18226687454924312,0.08192707678449818
1,ACH-000681||Adagrasib@0.05uM,0.03613950605029337,0.030244164179485278
1,ACH-000681||Binimetinib@0.05uM,0.21584673754974498,0.2504785025833275
1,ACH-000750||Idarubicin (hydrochloride)@5.0uM,0.4627599580310032,0.0331222083400764
1,ACH-000750||Mitoxantrone (dihydrochloride)@5.0uM,0.3560271767985309,0.10193155171501267
1,ACH-000750||Raltitrexed@5.0uM,0.20859699354243116,0.06943360989673109
1,ACH-000750||Riluzole hydrochloride@5.0uM,0.11797493139000204,0.09109818318619134
1,ACH-000750||Tofacitinib (citrate)@5.0uM,0.19698957862267794,0.07091196591766746
1,ACH-000750||Vinblastine (sulfate)@5.0uM,0.15844979901274658,0.054088503043079994
1,ACH-000790||Adagrasib@0.05uM,0.03613950605029337,0.030244164179485278
1,ACH-000790||Elagolix sodium@5.0uM,0.19935183367118367,0.09103348619711227
1,ACH-000853||Triclosan@5.0uM,0.09117774916883625,0.1300974924649202
1,ACH-000853||Tucidinostat@5.0uM,0.18226687454924312,0.08192707678449818
1,ACH-000890||Adagrasib@0.05uM,0.03613950605029337,0.030244164179485278
1,ACH-000916||Afatinib@0.5uM,0.25249773742011306,0.5592591623034346
1,ACH-000932||Raltitrexed@5.0uM,0.20859699354243116,0.06943360989673109
1,ACH-000932||S-Adenosyl-L-methionine (disulfate tosylate)@5.0uM,0.19328310475811208,0.03753559553896402
1,ACH-000932||Selinexor @5.0uM,0.3536210247947586,0.125830033622105
