dataset,geometry,check,target_family_id,value,threshold,pass
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3409__GEARS_seed3407,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3409__GEARS_seed3408,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3409__GEARS_seed3409,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3408__GEARS_seed3407__GEARS_seed3408,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3408__GEARS_seed3407__GEARS_seed3409,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3408__GEARS_seed3408__GEARS_seed3409,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3409__GEARS_seed3407__GEARS_seed3408,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3409__GEARS_seed3407__GEARS_seed3409,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3409__GEARS_seed3408__GEARS_seed3409,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3408__scGPT_seed3409__GEARS_seed3407__GEARS_seed3408,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3408__scGPT_seed3409__GEARS_seed3407__GEARS_seed3409,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3408__scGPT_seed3409__GEARS_seed3408__GEARS_seed3409,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B1_duplicate_all_flat,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B1_duplicate_all_governed,0.0,1e-12,True
E190_K562,absolute_rmse,governed_architecture_weight_half_each,B1_duplicate_all_governed,5.551115123125783e-17,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_scGPT_seed3407,2.220446049250313e-16,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_scGPT_seed3407,1.1102230246251565e-16,1e-12,True
E190_K562,absolute_rmse,governed_architecture_weight_half_each,B2_duplicate_one_governed_scGPT_seed3407,5.551115123125783e-17,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B2_leave_one_out_scGPT_seed3407,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_GEARS_seed3407,2.220446049250313e-16,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_GEARS_seed3407,1.1102230246251565e-16,1e-12,True
E190_K562,absolute_rmse,governed_architecture_weight_half_each,B2_duplicate_one_governed_GEARS_seed3407,5.551115123125783e-17,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B2_leave_one_out_GEARS_seed3407,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_scGPT_seed3408,2.220446049250313e-16,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_scGPT_seed3408,1.1102230246251565e-16,1e-12,True
E190_K562,absolute_rmse,governed_architecture_weight_half_each,B2_duplicate_one_governed_scGPT_seed3408,5.551115123125783e-17,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B2_leave_one_out_scGPT_seed3408,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_GEARS_seed3408,2.220446049250313e-16,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_GEARS_seed3408,0.0,1e-12,True
E190_K562,absolute_rmse,governed_architecture_weight_half_each,B2_duplicate_one_governed_GEARS_seed3408,5.551115123125783e-17,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B2_leave_one_out_GEARS_seed3408,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_scGPT_seed3409,2.220446049250313e-16,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_scGPT_seed3409,0.0,1e-12,True
