task_id,technical_group,perturbation,n_exact_cells_merged,true_effect_key
E177::G1::RIPK1,1,RIPK1,27,E177::G1::RIPK1
E177::G1::RTN4,1,RTN4,15,E177::G1::RTN4
E177::G1::SCARB1,1,SCARB1,6,E177::G1::SCARB1
E177::G1::SIGMAR1,1,SIGMAR1,22,E177::G1::SIGMAR1
E177::G1::SIRT1,1,SIRT1,15,E177::G1::SIRT1
E177::G1::SLC35B2,1,SLC35B2,8,E177::G1::SLC35B2
E177::G1::STAT2,1,STAT2,21,E177::G1::STAT2
E177::G1::TBCB,1,TBCB,25,E177::G1::TBCB
E177::G1::TLE3,1,TLE3,16,E177::G1::TLE3
E177::G1::TMEM41B,1,TMEM41B,11,E177::G1::TMEM41B
E177::G1::TMEM97,1,TMEM97,23,E177::G1::TMEM97
E177::G1::TRMT1,1,TRMT1,35,E177::G1::TRMT1
E177::G1::TYK2,1,TYK2,13,E177::G1::TYK2
E177::G1::TYRO3,1,TYRO3,22,E177::G1::TYRO3
E177::G1::USO1,1,USO1,13,E177::G1::USO1
E177::G1::VPS33A,1,VPS33A,8,E177::G1::VPS33A
E177::G1::XBP1,1,XBP1,24,E177::G1::XBP1
E177::G1::ZCRB1,1,ZCRB1,16,E177::G1::ZCRB1
E177::G2::ANPEP,2,ANPEP,26,E177::G2::ANPEP
E177::G2::ATF6,2,ATF6,13,E177::G2::ATF6
E177::G2::ATG9A,2,ATG9A,9,E177::G2::ATG9A
E177::G2::BAG6,2,BAG6,7,E177::G2::BAG6
E177::G2::BCKDK,2,BCKDK,15,E177::G2::BCKDK
E177::G2::BRD4,2,BRD4,10,E177::G2::BRD4
E177::G2::CASP9,2,CASP9,19,E177::G2::CASP9
E177::G2::CCZ1B,2,CCZ1B,21,E177::G2::CCZ1B
E177::G2::CHD7,2,CHD7,32,E177::G2::CHD7
E177::G2::CHEK2,2,CHEK2,30,E177::G2::CHEK2
E177::G2::DDX1,2,DDX1,7,E177::G2::DDX1
E177::G2::EIF2AK2,2,EIF2AK2,10,E177::G2::EIF2AK2
E177::G2::EIF2AK3,2,EIF2AK3,18,E177::G2::EIF2AK3
E177::G2::EMC4,2,EMC4,17,E177::G2::EMC4
E177::G2::FURIN,2,FURIN,26,E177::G2::FURIN
E177::G2::IFITM1,2,IFITM1,13,E177::G2::IFITM1
E177::G2::IFITM3,2,IFITM3,13,E177::G2::IFITM3
E177::G2::IFNAR1,2,IFNAR1,8,E177::G2::IFNAR1
E177::G2::IRF3,2,IRF3,18,E177::G2::IRF3
E177::G2::JAK1,2,JAK1,23,E177::G2::JAK1
E177::G2::MARK3,2,MARK3,7,E177::G2::MARK3
E177::G2::MFSD12,2,MFSD12,49,E177::G2::MFSD12
E177::G2::MOV10,2,MOV10,9,E177::G2::MOV10
E177::G2::MYD88,2,MYD88,14,E177::G2::MYD88
E177::G2::NAE1,2,NAE1,9,E177::G2::NAE1
E177::G2::NBAS,2,NBAS,6,E177::G2::NBAS
E177::G2::NDFIP2,2,NDFIP2,13,E177::G2::NDFIP2
E177::G2::NLRX1,2,NLRX1,9,E177::G2::NLRX1
E177::G2::PPIA,2,PPIA,21,E177::G2::PPIA
E177::G2::PPIG,2,PPIG,3,E177::G2::PPIG
E177::G2::RB1CC1,2,RB1CC1,19,E177::G2::RB1CC1
E177::G2::RELA,2,RELA,15,E177::G2::RELA
E177::G2::RIPK1,2,RIPK1,22,E177::G2::RIPK1
E177::G2::RTN4,2,RTN4,24,E177::G2::RTN4
E177::G2::SCARB1,2,SCARB1,7,E177::G2::SCARB1
E177::G2::SIGMAR1,2,SIGMAR1,26,E177::G2::SIGMAR1
E177::G2::SIRT1,2,SIRT1,18,E177::G2::SIRT1
E177::G2::SLC35B2,2,SLC35B2,9,E177::G2::SLC35B2
E177::G2::STAT2,2,STAT2,13,E177::G2::STAT2
E177::G2::TBCB,2,TBCB,16,E177::G2::TBCB
E177::G2::TLE3,2,TLE3,19,E177::G2::TLE3
E177::G2::TMEM41B,2,TMEM41B,20,E177::G2::TMEM41B
E177::G2::TMEM97,2,TMEM97,21,E177::G2::TMEM97
E177::G2::TRMT1,2,TRMT1,21,E177::G2::TRMT1
E177::G2::TYK2,2,TYK2,13,E177::G2::TYK2
E177::G2::TYRO3,2,TYRO3,8,E177::G2::TYRO3
E177::G2::USO1,2,USO1,13,E177::G2::USO1
E177::G2::VPS33A,2,VPS33A,6,E177::G2::VPS33A
E177::G2::XBP1,2,XBP1,8,E177::G2::XBP1
E177::G2::ZCRB1,2,ZCRB1,19,E177::G2::ZCRB1
E177::G3::ANPEP,3,ANPEP,25,E177::G3::ANPEP
E177::G3::ATF6,3,ATF6,15,E177::G3::ATF6
E177::G3::ATG9A,3,ATG9A,11,E177::G3::ATG9A
E177::G3::BAG6,3,BAG6,10,E177::G3::BAG6
E177::G3::BCKDK,3,BCKDK,13,E177::G3::BCKDK
E177::G3::BRD4,3,BRD4,13,E177::G3::BRD4
E177::G3::CASP9,3,CASP9,19,E177::G3::CASP9
E177::G3::CCZ1B,3,CCZ1B,19,E177::G3::CCZ1B
E177::G3::CHD7,3,CHD7,27,E177::G3::CHD7
E177::G3::CHEK2,3,CHEK2,14,E177::G3::CHEK2
E177::G3::DDX1,3,DDX1,13,E177::G3::DDX1
E177::G3::EIF2AK2,3,EIF2AK2,18,E177::G3::EIF2AK2
E177::G3::EIF2AK3,3,EIF2AK3,22,E177::G3::EIF2AK3
E177::G3::EMC4,3,EMC4,16,E177::G3::EMC4
E177::G3::FURIN,3,FURIN,13,E177::G3::FURIN
E177::G3::IFITM1,3,IFITM1,12,E177::G3::IFITM1
E177::G3::IFITM3,3,IFITM3,15,E177::G3::IFITM3
E177::G3::IFNAR1,3,IFNAR1,6,E177::G3::IFNAR1
E177::G3::IRF3,3,IRF3,13,E177::G3::IRF3
E177::G3::JAK1,3,JAK1,27,E177::G3::JAK1
E177::G3::MARK3,3,MARK3,15,E177::G3::MARK3
E177::G3::MFSD12,3,MFSD12,46,E177::G3::MFSD12
E177::G3::MOV10,3,MOV10,10,E177::G3::MOV10
E177::G3::MYD88,3,MYD88,12,E177::G3::MYD88
E177::G3::NAE1,3,NAE1,4,E177::G3::NAE1
E177::G3::NBAS,3,NBAS,3,E177::G3::NBAS
E177::G3::NDFIP2,3,NDFIP2,14,E177::G3::NDFIP2
E177::G3::NLRX1,3,NLRX1,15,E177::G3::NLRX1
E177::G3::PPIA,3,PPIA,15,E177::G3::PPIA
E177::G3::PPIG,3,PPIG,6,E177::G3::PPIG
E177::G3::RB1CC1,3,RB1CC1,10,E177::G3::RB1CC1
E177::G3::RELA,3,RELA,19,E177::G3::RELA
E177::G3::RIPK1,3,RIPK1,19,E177::G3::RIPK1
E177::G3::RTN4,3,RTN4,29,E177::G3::RTN4
E177::G3::SCARB1,3,SCARB1,5,E177::G3::SCARB1
E177::G3::SIGMAR1,3,SIGMAR1,17,E177::G3::SIGMAR1
E177::G3::SIRT1,3,SIRT1,23,E177::G3::SIRT1
E177::G3::SLC35B2,3,SLC35B2,10,E177::G3::SLC35B2
E177::G3::STAT2,3,STAT2,19,E177::G3::STAT2
E177::G3::TBCB,3,TBCB,12,E177::G3::TBCB
E177::G3::TLE3,3,TLE3,14,E177::G3::TLE3
E177::G3::TMEM41B,3,TMEM41B,13,E177::G3::TMEM41B
E177::G3::TMEM97,3,TMEM97,21,E177::G3::TMEM97
E177::G3::TRMT1,3,TRMT1,17,E177::G3::TRMT1
E177::G3::TYK2,3,TYK2,13,E177::G3::TYK2
E177::G3::TYRO3,3,TYRO3,13,E177::G3::TYRO3
E177::G3::USO1,3,USO1,14,E177::G3::USO1
E177::G3::VPS33A,3,VPS33A,8,E177::G3::VPS33A
E177::G3::XBP1,3,XBP1,21,E177::G3::XBP1
E177::G3::ZCRB1,3,ZCRB1,18,E177::G3::ZCRB1
E177::G4::ANPEP,4,ANPEP,28,E177::G4::ANPEP
E177::G4::ATF6,4,ATF6,24,E177::G4::ATF6
E177::G4::ATG9A,4,ATG9A,9,E177::G4::ATG9A
E177::G4::BAG6,4,BAG6,12,E177::G4::BAG6
E177::G4::BCKDK,4,BCKDK,22,E177::G4::BCKDK
E177::G4::BRD4,4,BRD4,13,E177::G4::BRD4
E177::G4::CASP9,4,CASP9,12,E177::G4::CASP9
E177::G4::CCZ1B,4,CCZ1B,17,E177::G4::CCZ1B
E177::G4::CHD7,4,CHD7,29,E177::G4::CHD7
E177::G4::CHEK2,4,CHEK2,19,E177::G4::CHEK2
E177::G4::DDX1,4,DDX1,8,E177::G4::DDX1
E177::G4::EIF2AK2,4,EIF2AK2,16,E177::G4::EIF2AK2
E177::G4::EIF2AK3,4,EIF2AK3,22,E177::G4::EIF2AK3
E177::G4::EMC4,4,EMC4,20,E177::G4::EMC4
E177::G4::FURIN,4,FURIN,12,E177::G4::FURIN
E177::G4::IFITM1,4,IFITM1,20,E177::G4::IFITM1
E177::G4::IFITM3,4,IFITM3,14,E177::G4::IFITM3
E177::G4::IFNAR1,4,IFNAR1,13,E177::G4::IFNAR1
E177::G4::IRF3,4,IRF3,8,E177::G4::IRF3
E177::G4::JAK1,4,JAK1,20,E177::G4::JAK1
E177::G4::MARK3,4,MARK3,10,E177::G4::MARK3
E177::G4::MFSD12,4,MFSD12,51,E177::G4::MFSD12
E177::G4::MOV10,4,MOV10,9,E177::G4::MOV10
E177::G4::MYD88,4,MYD88,11,E177::G4::MYD88
E177::G4::NAE1,4,NAE1,9,E177::G4::NAE1
E177::G4::NBAS,4,NBAS,3,E177::G4::NBAS
E177::G4::NDFIP2,4,NDFIP2,22,E177::G4::NDFIP2
E177::G4::NLRX1,4,NLRX1,16,E177::G4::NLRX1
E177::G4::PPIA,4,PPIA,20,E177::G4::PPIA
E177::G4::PPIG,4,PPIG,6,E177::G4::PPIG
E177::G4::RB1CC1,4,RB1CC1,15,E177::G4::RB1CC1
E177::G4::RELA,4,RELA,8,E177::G4::RELA
E177::G4::RIPK1,4,RIPK1,31,E177::G4::RIPK1
E177::G4::RTN4,4,RTN4,20,E177::G4::RTN4
E177::G4::SCARB1,4,SCARB1,6,E177::G4::SCARB1
E177::G4::SIGMAR1,4,SIGMAR1,30,E177::G4::SIGMAR1
E177::G4::SIRT1,4,SIRT1,13,E177::G4::SIRT1
E177::G4::SLC35B2,4,SLC35B2,12,E177::G4::SLC35B2
E177::G4::STAT2,4,STAT2,15,E177::G4::STAT2
E177::G4::TBCB,4,TBCB,11,E177::G4::TBCB
E177::G4::TLE3,4,TLE3,22,E177::G4::TLE3
E177::G4::TMEM41B,4,TMEM41B,10,E177::G4::TMEM41B
E177::G4::TMEM97,4,TMEM97,15,E177::G4::TMEM97
E177::G4::TRMT1,4,TRMT1,25,E177::G4::TRMT1
E177::G4::TYK2,4,TYK2,13,E177::G4::TYK2
E177::G4::TYRO3,4,TYRO3,15,E177::G4::TYRO3
E177::G4::USO1,4,USO1,10,E177::G4::USO1
E177::G4::VPS33A,4,VPS33A,7,E177::G4::VPS33A
E177::G4::XBP1,4,XBP1,21,E177::G4::XBP1
E177::G4::ZCRB1,4,ZCRB1,13,E177::G4::ZCRB1
E177::G5::ANPEP,5,ANPEP,19,E177::G5::ANPEP
E177::G5::ATF6,5,ATF6,13,E177::G5::ATF6
E177::G5::ATG9A,5,ATG9A,14,E177::G5::ATG9A
E177::G5::BAG6,5,BAG6,12,E177::G5::BAG6
E177::G5::BCKDK,5,BCKDK,20,E177::G5::BCKDK
E177::G5::BRD4,5,BRD4,12,E177::G5::BRD4
E177::G5::CASP9,5,CASP9,19,E177::G5::CASP9
E177::G5::CCZ1B,5,CCZ1B,13,E177::G5::CCZ1B
E177::G5::CHD7,5,CHD7,22,E177::G5::CHD7
E177::G5::CHEK2,5,CHEK2,24,E177::G5::CHEK2
E177::G5::DDX1,5,DDX1,12,E177::G5::DDX1
E177::G5::EIF2AK2,5,EIF2AK2,12,E177::G5::EIF2AK2
E177::G5::EIF2AK3,5,EIF2AK3,18,E177::G5::EIF2AK3
E177::G5::EMC4,5,EMC4,9,E177::G5::EMC4
E177::G5::FURIN,5,FURIN,11,E177::G5::FURIN
E177::G5::IFITM1,5,IFITM1,19,E177::G5::IFITM1
E177::G5::IFITM3,5,IFITM3,21,E177::G5::IFITM3
E177::G5::IFNAR1,5,IFNAR1,14,E177::G5::IFNAR1
E177::G5::IRF3,5,IRF3,5,E177::G5::IRF3
E177::G5::JAK1,5,JAK1,22,E177::G5::JAK1
E177::G5::MARK3,5,MARK3,11,E177::G5::MARK3
E177::G5::MFSD12,5,MFSD12,43,E177::G5::MFSD12
E177::G5::MOV10,5,MOV10,3,E177::G5::MOV10
E177::G5::MYD88,5,MYD88,12,E177::G5::MYD88
E177::G5::NAE1,5,NAE1,3,E177::G5::NAE1
E177::G5::NBAS,5,NBAS,4,E177::G5::NBAS
E177::G5::NDFIP2,5,NDFIP2,18,E177::G5::NDFIP2
E177::G5::NLRX1,5,NLRX1,15,E177::G5::NLRX1
E177::G5::PPIA,5,PPIA,16,E177::G5::PPIA
E177::G5::PPIG,5,PPIG,7,E177::G5::PPIG
E177::G5::RB1CC1,5,RB1CC1,14,E177::G5::RB1CC1
E177::G5::RELA,5,RELA,14,E177::G5::RELA
E177::G5::RIPK1,5,RIPK1,30,E177::G5::RIPK1
E177::G5::RTN4,5,RTN4,15,E177::G5::RTN4
E177::G5::SCARB1,5,SCARB1,5,E177::G5::SCARB1
E177::G5::SIGMAR1,5,SIGMAR1,16,E177::G5::SIGMAR1
E177::G5::SIRT1,5,SIRT1,21,E177::G5::SIRT1
E177::G5::SLC35B2,5,SLC35B2,5,E177::G5::SLC35B2
E177::G5::STAT2,5,STAT2,15,E177::G5::STAT2
E177::G5::TBCB,5,TBCB,14,E177::G5::TBCB
E177::G5::TLE3,5,TLE3,21,E177::G5::TLE3
E177::G5::TMEM41B,5,TMEM41B,10,E177::G5::TMEM41B
E177::G5::TMEM97,5,TMEM97,18,E177::G5::TMEM97
E177::G5::TRMT1,5,TRMT1,21,E177::G5::TRMT1
E177::G5::TYK2,5,TYK2,16,E177::G5::TYK2
E177::G5::TYRO3,5,TYRO3,11,E177::G5::TYRO3
E177::G5::USO1,5,USO1,12,E177::G5::USO1
E177::G5::VPS33A,5,VPS33A,10,E177::G5::VPS33A
E177::G5::XBP1,5,XBP1,17,E177::G5::XBP1
E177::G5::ZCRB1,5,ZCRB1,14,E177::G5::ZCRB1
E177::G6::ANPEP,6,ANPEP,30,E177::G6::ANPEP
E177::G6::ATF6,6,ATF6,16,E177::G6::ATF6
E177::G6::ATG9A,6,ATG9A,6,E177::G6::ATG9A
E177::G6::BAG6,6,BAG6,11,E177::G6::BAG6
E177::G6::BCKDK,6,BCKDK,25,E177::G6::BCKDK
E177::G6::BRD4,6,BRD4,4,E177::G6::BRD4
E177::G6::CASP9,6,CASP9,11,E177::G6::CASP9
E177::G6::CCZ1B,6,CCZ1B,18,E177::G6::CCZ1B
E177::G6::CHD7,6,CHD7,26,E177::G6::CHD7
E177::G6::CHEK2,6,CHEK2,23,E177::G6::CHEK2
E177::G6::DDX1,6,DDX1,11,E177::G6::DDX1
E177::G6::EIF2AK2,6,EIF2AK2,14,E177::G6::EIF2AK2
E177::G6::EIF2AK3,6,EIF2AK3,11,E177::G6::EIF2AK3
E177::G6::EMC4,6,EMC4,18,E177::G6::EMC4
E177::G6::FURIN,6,FURIN,17,E177::G6::FURIN
E177::G6::IFITM1,6,IFITM1,18,E177::G6::IFITM1
E177::G6::IFITM3,6,IFITM3,9,E177::G6::IFITM3
E177::G6::IFNAR1,6,IFNAR1,11,E177::G6::IFNAR1
E177::G6::IRF3,6,IRF3,9,E177::G6::IRF3
E177::G6::JAK1,6,JAK1,23,E177::G6::JAK1
E177::G6::MARK3,6,MARK3,16,E177::G6::MARK3
E177::G6::MFSD12,6,MFSD12,76,E177::G6::MFSD12
E177::G6::MOV10,6,MOV10,9,E177::G6::MOV10
E177::G6::MYD88,6,MYD88,12,E177::G6::MYD88
E177::G6::NAE1,6,NAE1,7,E177::G6::NAE1
E177::G6::NBAS,6,NBAS,4,E177::G6::NBAS
E177::G6::NDFIP2,6,NDFIP2,17,E177::G6::NDFIP2
E177::G6::NLRX1,6,NLRX1,19,E177::G6::NLRX1
E177::G6::PPIA,6,PPIA,11,E177::G6::PPIA
E177::G6::PPIG,6,PPIG,4,E177::G6::PPIG
E177::G6::RB1CC1,6,RB1CC1,10,E177::G6::RB1CC1
E177::G6::RELA,6,RELA,23,E177::G6::RELA
E177::G6::RIPK1,6,RIPK1,17,E177::G6::RIPK1
E177::G6::RTN4,6,RTN4,22,E177::G6::RTN4
E177::G6::SCARB1,6,SCARB1,7,E177::G6::SCARB1
E177::G6::SIGMAR1,6,SIGMAR1,35,E177::G6::SIGMAR1
E177::G6::SIRT1,6,SIRT1,18,E177::G6::SIRT1
E177::G6::SLC35B2,6,SLC35B2,10,E177::G6::SLC35B2
E177::G6::STAT2,6,STAT2,18,E177::G6::STAT2
E177::G6::TBCB,6,TBCB,22,E177::G6::TBCB
E177::G6::TLE3,6,TLE3,20,E177::G6::TLE3
E177::G6::TMEM41B,6,TMEM41B,10,E177::G6::TMEM41B
E177::G6::TMEM97,6,TMEM97,22,E177::G6::TMEM97
E177::G6::TRMT1,6,TRMT1,34,E177::G6::TRMT1
E177::G6::TYK2,6,TYK2,16,E177::G6::TYK2
E177::G6::TYRO3,6,TYRO3,9,E177::G6::TYRO3
E177::G6::USO1,6,USO1,12,E177::G6::USO1
E177::G6::VPS33A,6,VPS33A,11,E177::G6::VPS33A
E177::G6::XBP1,6,XBP1,19,E177::G6::XBP1
E177::G6::ZCRB1,6,ZCRB1,12,E177::G6::ZCRB1
E177::G7::ANPEP,7,ANPEP,11,E177::G7::ANPEP
E177::G7::ATF6,7,ATF6,12,E177::G7::ATF6
E177::G7::ATG9A,7,ATG9A,15,E177::G7::ATG9A
E177::G7::BAG6,7,BAG6,7,E177::G7::BAG6
E177::G7::BCKDK,7,BCKDK,11,E177::G7::BCKDK
E177::G7::BRD4,7,BRD4,11,E177::G7::BRD4
E177::G7::CASP9,7,CASP9,14,E177::G7::CASP9
E177::G7::CCZ1B,7,CCZ1B,19,E177::G7::CCZ1B
E177::G7::CHD7,7,CHD7,22,E177::G7::CHD7
E177::G7::CHEK2,7,CHEK2,20,E177::G7::CHEK2
E177::G7::DDX1,7,DDX1,8,E177::G7::DDX1
E177::G7::EIF2AK2,7,EIF2AK2,18,E177::G7::EIF2AK2
E177::G7::EIF2AK3,7,EIF2AK3,24,E177::G7::EIF2AK3
E177::G7::EMC4,7,EMC4,10,E177::G7::EMC4
E177::G7::FURIN,7,FURIN,11,E177::G7::FURIN
E177::G7::IFITM1,7,IFITM1,15,E177::G7::IFITM1
E177::G7::IFITM3,7,IFITM3,13,E177::G7::IFITM3
E177::G7::IFNAR1,7,IFNAR1,8,E177::G7::IFNAR1
E177::G7::IRF3,7,IRF3,4,E177::G7::IRF3
E177::G7::JAK1,7,JAK1,13,E177::G7::JAK1
E177::G7::MARK3,7,MARK3,17,E177::G7::MARK3
E177::G7::MFSD12,7,MFSD12,59,E177::G7::MFSD12
E177::G7::MOV10,7,MOV10,8,E177::G7::MOV10
E177::G7::MYD88,7,MYD88,15,E177::G7::MYD88
E177::G7::NAE1,7,NAE1,9,E177::G7::NAE1
E177::G7::NBAS,7,NBAS,13,E177::G7::NBAS
E177::G7::NDFIP2,7,NDFIP2,15,E177::G7::NDFIP2
E177::G7::NLRX1,7,NLRX1,6,E177::G7::NLRX1
E177::G7::PPIA,7,PPIA,16,E177::G7::PPIA
E177::G7::PPIG,7,PPIG,10,E177::G7::PPIG
E177::G7::RB1CC1,7,RB1CC1,12,E177::G7::RB1CC1
E177::G7::RELA,7,RELA,9,E177::G7::RELA
E177::G7::RIPK1,7,RIPK1,17,E177::G7::RIPK1
E177::G7::RTN4,7,RTN4,23,E177::G7::RTN4
E177::G7::SCARB1,7,SCARB1,5,E177::G7::SCARB1
E177::G7::SIGMAR1,7,SIGMAR1,21,E177::G7::SIGMAR1
E177::G7::SIRT1,7,SIRT1,16,E177::G7::SIRT1
E177::G7::SLC35B2,7,SLC35B2,14,E177::G7::SLC35B2
E177::G7::STAT2,7,STAT2,13,E177::G7::STAT2
E177::G7::TBCB,7,TBCB,16,E177::G7::TBCB
E177::G7::TLE3,7,TLE3,12,E177::G7::TLE3
E177::G7::TMEM41B,7,TMEM41B,11,E177::G7::TMEM41B
E177::G7::TMEM97,7,TMEM97,15,E177::G7::TMEM97
E177::G7::TRMT1,7,TRMT1,15,E177::G7::TRMT1
E177::G7::TYK2,7,TYK2,12,E177::G7::TYK2
E177::G7::TYRO3,7,TYRO3,16,E177::G7::TYRO3
E177::G7::USO1,7,USO1,4,E177::G7::USO1
E177::G7::VPS33A,7,VPS33A,5,E177::G7::VPS33A
E177::G7::XBP1,7,XBP1,16,E177::G7::XBP1
E177::G7::ZCRB1,7,ZCRB1,16,E177::G7::ZCRB1
E177::G8::ANPEP,8,ANPEP,29,E177::G8::ANPEP
E177::G8::ATF6,8,ATF6,12,E177::G8::ATF6
E177::G8::ATG9A,8,ATG9A,12,E177::G8::ATG9A
E177::G8::BAG6,8,BAG6,8,E177::G8::BAG6
E177::G8::BCKDK,8,BCKDK,15,E177::G8::BCKDK
E177::G8::BRD4,8,BRD4,7,E177::G8::BRD4
E177::G8::CASP9,8,CASP9,12,E177::G8::CASP9
E177::G8::CCZ1B,8,CCZ1B,25,E177::G8::CCZ1B
E177::G8::CHD7,8,CHD7,23,E177::G8::CHD7
E177::G8::CHEK2,8,CHEK2,18,E177::G8::CHEK2
E177::G8::DDX1,8,DDX1,8,E177::G8::DDX1
E177::G8::EIF2AK2,8,EIF2AK2,10,E177::G8::EIF2AK2
E177::G8::EIF2AK3,8,EIF2AK3,21,E177::G8::EIF2AK3
E177::G8::EMC4,8,EMC4,15,E177::G8::EMC4
E177::G8::FURIN,8,FURIN,25,E177::G8::FURIN
E177::G8::IFITM1,8,IFITM1,13,E177::G8::IFITM1
E177::G8::IFITM3,8,IFITM3,5,E177::G8::IFITM3
E177::G8::IFNAR1,8,IFNAR1,13,E177::G8::IFNAR1
E177::G8::IRF3,8,IRF3,10,E177::G8::IRF3
E177::G8::JAK1,8,JAK1,21,E177::G8::JAK1
E177::G8::MARK3,8,MARK3,9,E177::G8::MARK3
E177::G8::MFSD12,8,MFSD12,47,E177::G8::MFSD12
E177::G8::MOV10,8,MOV10,10,E177::G8::MOV10
E177::G8::MYD88,8,MYD88,8,E177::G8::MYD88
E177::G8::NAE1,8,NAE1,7,E177::G8::NAE1
E177::G8::NBAS,8,NBAS,4,E177::G8::NBAS
E177::G8::NDFIP2,8,NDFIP2,12,E177::G8::NDFIP2
E177::G8::NLRX1,8,NLRX1,10,E177::G8::NLRX1
E177::G8::PPIA,8,PPIA,15,E177::G8::PPIA
E177::G8::PPIG,8,PPIG,6,E177::G8::PPIG
E177::G8::RB1CC1,8,RB1CC1,18,E177::G8::RB1CC1
E177::G8::RELA,8,RELA,9,E177::G8::RELA
E177::G8::RIPK1,8,RIPK1,17,E177::G8::RIPK1
E177::G8::RTN4,8,RTN4,19,E177::G8::RTN4
E177::G8::SCARB1,8,SCARB1,5,E177::G8::SCARB1
E177::G8::SIGMAR1,8,SIGMAR1,23,E177::G8::SIGMAR1
E177::G8::SIRT1,8,SIRT1,16,E177::G8::SIRT1
E177::G8::SLC35B2,8,SLC35B2,15,E177::G8::SLC35B2
E177::G8::STAT2,8,STAT2,24,E177::G8::STAT2
E177::G8::TBCB,8,TBCB,19,E177::G8::TBCB
E177::G8::TLE3,8,TLE3,13,E177::G8::TLE3
E177::G8::TMEM41B,8,TMEM41B,14,E177::G8::TMEM41B
E177::G8::TMEM97,8,TMEM97,19,E177::G8::TMEM97
E177::G8::TRMT1,8,TRMT1,15,E177::G8::TRMT1
E177::G8::TYK2,8,TYK2,15,E177::G8::TYK2
E177::G8::TYRO3,8,TYRO3,19,E177::G8::TYRO3
E177::G8::USO1,8,USO1,3,E177::G8::USO1
E177::G8::VPS33A,8,VPS33A,7,E177::G8::VPS33A
E177::G8::XBP1,8,XBP1,14,E177::G8::XBP1
E177::G8::ZCRB1,8,ZCRB1,13,E177::G8::ZCRB1
