estimand,analysis,effect,removed_dataset,k,pooled_z,se_mkh,ci95_low_z,ci95_high_z,tau2_reml,Q,I2_percent,prediction_low_z,prediction_high_z,pooled_rho_equivalent,prediction_low_rho_equivalent,prediction_high_rho_equivalent
e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_magnitude,Shifrut,6,0.09006201659900687,0.061591342292962946,-0.06826356913174239,0.24838760232975612,0.01810085908171335,25.26911079733205,80.21299585845377,-0.3207613568460045,0.5008853900440182,0.08981930136941307,-0.31019518191583323,0.4628131852884394
e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_magnitude,Tian_CRISPRi,6,0.07544056061646481,0.06711934117755944,-0.09709519863444602,0.24797631986737564,0.02139366846036491,26.818577721136837,81.35620743206195,-0.37137455753553655,0.5222556787684662,0.0752977679378049,-0.35519343853058427,0.47943907427405497
e140_fold_macro_perturbation_cluster,score_association,baseline_predicted_magnitude,Frangieh,6,0.13769551019563908,0.07437362001238154,-0.053487966458706404,0.32887898684998457,0.027049837528587972,33.884442655101566,85.24396564260086,-0.3634606982021449,0.638851718593423,0.13683182175507558,-0.34825866197201116,0.564117194103421
e140_fold_macro_perturbation_cluster,score_association,baseline_predicted_magnitude,Lara_exvivo,6,0.13826668757390184,0.0707296335337475,-0.04354962362916265,0.32008299877696633,0.025503506071711195,34.133435482204725,85.3516063374086,-0.34666778304239376,0.6232011581901975,0.137392261147081,-0.3334170576042755,0.5533529273318614
e140_fold_macro_perturbation_cluster,score_association,baseline_predicted_magnitude,Liang,6,0.1497547717446285,0.0715308957890886,-0.034121249657596775,0.3336307931468538,0.02547055018482919,33.687247440777405,85.1575881680744,-0.3358233257067925,0.6353328691960495,0.14864523253164322,-0.3237435477795181,0.5617133800927205
e140_fold_macro_perturbation_cluster,score_association,baseline_predicted_magnitude,Nadig_two_cellline,6,0.08562707018410076,0.04277725549800982,-0.024335365777456958,0.19558950614565848,0.00599295666952606,11.55730462824133,56.73731755947625,-0.159940831772377,0.3311949721405785,0.08541840970075089,-0.1585908247542148,0.3195941035207108
e140_fold_macro_perturbation_cluster,score_association,baseline_predicted_magnitude,Santinha,6,0.17876096864535326,0.05734223626856475,0.031358057678614826,0.3261638796120917,0.014292638737217644,21.40682508902281,76.64296326425377,-0.1893748262564878,0.5468967635471943,0.17688086574698475,-0.18714299792528982,0.4981907883708782
e140_fold_macro_perturbation_cluster,score_association,baseline_predicted_magnitude,Shifrut,6,0.12855977987145228,0.0708313236353498,-0.053517934059655076,0.31063749380255967,0.025077099366528896,33.28401302528143,84.97777297406365,-0.3530888373863587,0.6102083971292633,0.1278561688432637,-0.33911203244497795,0.5442737783139521
e140_fold_macro_perturbation_cluster,score_association,baseline_predicted_magnitude,Tian_CRISPRi,6,0.15330141202307548,0.07267919899719336,-0.033526416747706816,0.34012924079385776,0.02560106855104893,31.67583406902184,84.21509599682531,-0.3346214681739974,0.6412242922201483,0.15211166634855644,-0.3226672385293607,0.5657325827921894
e140_fold_macro_perturbation_cluster,score_association,risk_model_disagreement,Frangieh,6,0.05400778333126001,0.052964684141311016,-0.08214227165260886,0.1901578383151289,0.01134263872304303,16.05061578141402,68.84854719536803,-0.27623628671533645,0.38425185337785644,0.05395533382568489,-0.2694181129147619,0.3663942532265551
e140_fold_macro_perturbation_cluster,score_association,risk_model_disagreement,Lara_exvivo,6,0.05671541975882737,0.049973071709545056,-0.07174445064868012,0.18517529016633488,0.010575076836060423,19.927730675836752,74.90933573252914,-0.2607281261941089,0.37415896571176366,0.05665468689259794,-0.25497644745535897,0.3576241488850296
e140_fold_macro_perturbation_cluster,score_association,risk_model_disagreement,Liang,6,0.06830511644247193,0.05386121233682824,-0.07014953763592931,0.2067597705208732,0.012540746672631293,21.196975937860696,76.41172960398886,-0.2767096853266915,0.4133199182116354,0.06819908644992449,-0.2698570933366063,0.3912879449900374
e140_fold_macro_perturbation_cluster,score_association,risk_model_disagreement,Nadig_two_cellline,6,0.04136461324189362,0.04346095208691167,-0.0703553207521817,0.15308454723596893,0.006856229419196566,14.999414592444932,66.66536571021608,-0.21827507460013884,0.30100430108392606,0.04134103732907207,-0.21487338810095724,0.29223141637499017
e140_fold_macro_perturbation_cluster,score_association,risk_model_disagreement,Santinha,6,0.09613872377441063,0.041278366219759735,-0.009970694634847385,0.20224814218366866,0.005733591220670553,14.262157166491393,64.94218972886246,-0.14330443157347822,0.3355818791222995,0.0958436224077215,-0.14233144907200987,0.3235273902915809
e140_fold_macro_perturbation_cluster,score_association,risk_model_disagreement,Shifrut,6,0.07205736295389767,0.05405413553605785,-0.06689321599611606,0.2110079419039114,0.01271141518666078,21.284180257749664,76.50837410954797,-0.27509004961814887,0.41920477552594426,0.07193290782251285,-0.26835474880131266,0.39626028675391944
e140_fold_macro_perturbation_cluster,score_association,risk_model_disagreement,Tian_CRISPRi,6,0.08814055118813433,0.05214812758837143,-0.045910478352978235,0.22219158072924688,0.010661428882265367,15.12281989647051,66.93738314527609,-0.2330265421288196,0.4093076445050883,0.08791301074346514,-0.22889829990439212,0.3878846507342025
e140_fold_macro_perturbation_cluster,score_association,safeconf_calibrated_pair_risk,Frangieh,6,0.1856967609429377,0.04209360263518358,0.07749171061244187,0.2939018112734335,0.004273346144667703,10.065179249614218,50.3237858362866,-0.03017461397666385,0.40156813586253925,0.18359131896975267,-0.03016545924177579,0.38128992006368884
e140_fold_macro_perturbation_cluster,score_association,safeconf_calibrated_pair_risk,Lara_exvivo,6,0.18446020360718635,0.03256280438853875,0.10075485012863017,0.2681655570857425,0.0030340556014732006,11.82236563224942,57.70727995113902,0.006802603053929518,0.36211780416044315,0.18239617003914285,0.00680249812479381,0.34707808820513875
e140_fold_macro_perturbation_cluster,score_association,safeconf_calibrated_pair_risk,Liang,6,0.2016665689616517,0.042904708768358925,0.09137650393844213,0.3119566339848613,0.005817937300668539,16.37075261608292,69.45772673219733,-0.04131205918683836,0.4446451971101417,0.19897643647827562,-0.04128857297923529,0.41748742627967717
e140_fold_macro_perturbation_cluster,score_association,safeconf_calibrated_pair_risk,Nadig_two_cellline,6,0.19831812632087775,0.042859417606437675,0.0881444859358178,0.3084917667059377,0.005750085695250369,16.042760463075293,68.83329392402128,-0.0435198907394132,0.4401561433811687,0.19575843210915667,-0.043492436258066154,0.41377386080658735
e140_fold_macro_perturbation_cluster,score_association,safeconf_calibrated_pair_risk,Santinha,6,0.21995437797555395,0.03495980377076999,0.13008734142500267,0.30982141452610523,0.003564415946433331,13.348004114669578,62.541216221944715,0.027865228762921745,0.41204352718818615,0.21647457780282442,0.02785801882179795,0.3902064378605173
e140_fold_macro_perturbation_cluster,score_association,safeconf_calibrated_pair_risk,Shifrut,6,0.20611078437638222,0.04194762888233887,0.09828097152342868,0.31394059722933576,0.005509609872389621,16.44626294402619,69.5979565873586,-0.030608043465992774,0.4428296122187572,0.20324089907985324,-0.030598488641001075,0.41598715458736407
e140_fold_macro_perturbation_cluster,score_association,safeconf_calibrated_pair_risk,Tian_CRISPRi,6,0.2233595035390519,0.04043714132133708,0.11941252257336417,0.32730648450473965,0.0035350422008593924,9.198293193669747,45.642089301513096,0.02372162047326734,0.42299738660483643,0.21971773181195928,0.02371717196847586,0.3994525607906986
pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_disagreement,Frangieh,6,0.0348502060275223,0.05533903741254785,-0.10740331834677165,0.17710373040181626,0.010932813193517688,13.599471717992142,63.23386596418311,-0.2936071488312784,0.36330756088632304,0.03483610392522369,-0.28545144253799387,0.34812409060122007
pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_disagreement,Lara_exvivo,6,0.06357660552721744,0.054580766068928484,-0.076727720304685,0.2038809313591199,0.011099222951098867,15.426226762121518,67.58766691880027,-0.2658539937950745,0.3930072048495094,0.06349108523614475,-0.2597627695584737,0.37394981411726147
pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_disagreement,Liang,6,0.026642082236118348,0.04308759172756458,-0.0841180984000727,0.1374022628723094,0.0060449494627917814,11.586220833516022,56.84529000572596,-0.2201570277751275,0.2734411922473642,0.026635780503796693,-0.21666772270530282,0.2668239567367837
pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_disagreement,Nadig_two_cellline,6,0.056476452053246334,0.05691857239713425,-0.08983739626117748,0.20279030036767015,0.012573005394473088,16.28920192463958,69.30481908731922,-0.29265784128956296,0.40561074539605557,0.05641648299403479,-0.28457925088722835,0.3847394709742841
pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_disagreement,Santinha,6,0.06998993327054252,0.04985448195942547,-0.05816509247941494,0.1981449590205,0.008897311786074053,14.057820914254558,64.43260992939506,-0.2262293210447262,0.3662091875858113,0.0698758727462101,-0.22244727773931294,0.3506714877095883
pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_disagreement,Shifrut,6,0.07893361928244233,0.04836643425602325,-0.04539625807058904,0.20326349663547372,0.00617677708790394,10.64999529976303,53.05162247244134,-0.17728411606489972,0.3351513546297844,0.0787700944088244,-0.17544984643747238,0.32314187511253034
