dataset,scope,estimand,metric_type,score,comparator,endpoint,n_independent_clusters,observed,bootstrap_median,ci95_low,ci95_high,p_gt_zero
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_fold_macro_perturbation_cluster,directional_minus_comparator,directional_risk_frozen,baseline_predicted_magnitude,error_centered_cosine_mean,96,0.45816808170593126,0.4603832488851012,0.3617578412244039,0.5588572950145234,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_fold_macro_perturbation_cluster,directional_minus_comparator,directional_risk_frozen,baseline_predicted_magnitude,direction_error_rank_target,96,0.4621728486833188,0.46507265456594804,0.36306531409708925,0.5648478730037237,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_fold_macro_perturbation_cluster,directional_minus_comparator,directional_risk_frozen,risk_model_disagreement,error_centered_pearson_mean,96,0.6258686075336659,0.6226230796654284,0.5173795691398844,0.7266279168775372,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_fold_macro_perturbation_cluster,directional_minus_comparator,directional_risk_frozen,risk_model_disagreement,error_centered_cosine_mean,96,0.6330215883896888,0.6304455652797829,0.5252625178804082,0.7311091950640062,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_fold_macro_perturbation_cluster,directional_minus_comparator,directional_risk_frozen,risk_model_disagreement,direction_error_rank_target,96,0.6277775471704037,0.6251062494713571,0.5196533584887826,0.7281908660439541,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_fold_macro_perturbation_cluster,directional_minus_comparator,directional_risk_frozen,safeconf_calibrated_pair_risk,error_centered_pearson_mean,96,1.110991159493068,1.1082486106177538,0.9726914317984905,1.2218202329537526,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_fold_macro_perturbation_cluster,directional_minus_comparator,directional_risk_frozen,safeconf_calibrated_pair_risk,error_centered_cosine_mean,96,1.116021524405153,1.113992648664569,0.9769539986434157,1.2256031861434504,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_fold_macro_perturbation_cluster,directional_minus_comparator,directional_risk_frozen,safeconf_calibrated_pair_risk,direction_error_rank_target,96,1.11272397685462,1.1103755439630247,0.9743683100274136,1.2238999606762209,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_pooled_context_task_median_sensitivity,association,directional_risk_frozen,,error_centered_pearson_mean,192,0.7093608546400177,0.7073138222581233,0.6378765686689658,0.763789082397045,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_pooled_context_task_median_sensitivity,association,directional_risk_frozen,,error_centered_cosine_mean,192,0.7134520772047557,0.7111438276694791,0.6405121389728841,0.7682066875978033,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_pooled_context_task_median_sensitivity,association,directional_risk_frozen,,direction_error_rank_target,192,0.5868639292615458,0.5843939970413308,0.4789952391287168,0.6734649678628303,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_pooled_context_task_median_sensitivity,association,baseline_predicted_magnitude,,error_centered_pearson_mean,192,0.2707694707430215,0.2698083935573687,0.13435693778291874,0.3966425365668448,0.9996666666666667
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_pooled_context_task_median_sensitivity,association,baseline_predicted_magnitude,,error_centered_cosine_mean,192,0.2856929712720072,0.28581299777254765,0.15001172250822128,0.40825802896986674,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_pooled_context_task_median_sensitivity,association,baseline_predicted_magnitude,,direction_error_rank_target,192,0.396840017908016,0.3947950958842805,0.26153609282919166,0.5143561904593945,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_pooled_context_task_median_sensitivity,association,risk_model_disagreement,,error_centered_pearson_mean,192,0.18011624121748096,0.17909149976977723,0.04737573493949833,0.30480763258517174,0.9973333333333333
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_pooled_context_task_median_sensitivity,association,risk_model_disagreement,,error_centered_cosine_mean,192,0.16132538046279468,0.15997931319418282,0.02761693971572807,0.2907532946969474,0.99
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_pooled_context_task_median_sensitivity,association,risk_model_disagreement,,direction_error_rank_target,192,0.23060733929917854,0.22758786375758838,0.08073015717075131,0.366377261501927,0.9993333333333333
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_pooled_context_task_median_sensitivity,association,safeconf_calibrated_pair_risk,,error_centered_pearson_mean,192,-0.3160408592425943,-0.3182908808469608,-0.434176396032757,-0.17841648438874713,0.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_pooled_context_task_median_sensitivity,association,safeconf_calibrated_pair_risk,,error_centered_cosine_mean,192,-0.34279469901377446,-0.34475786036303796,-0.45877540864588523,-0.20626546128062306,0.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_pooled_context_task_median_sensitivity,association,safeconf_calibrated_pair_risk,,direction_error_rank_target,192,-0.06471380434341514,-0.06561389389067865,-0.20693128379278997,0.07245934451479594,0.17633333333333334
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_pooled_context_task_median_sensitivity,directional_minus_comparator,directional_risk_frozen,baseline_predicted_magnitude,error_centered_pearson_mean,192,0.43859138389699626,0.4353830102044763,0.3321132446530892,0.544462398968034,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_pooled_context_task_median_sensitivity,directional_minus_comparator,directional_risk_frozen,baseline_predicted_magnitude,error_centered_cosine_mean,192,0.42775910593274846,0.42449620454105397,0.32353919265064146,0.5316443325548582,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_pooled_context_task_median_sensitivity,directional_minus_comparator,directional_risk_frozen,baseline_predicted_magnitude,direction_error_rank_target,192,0.19002391135352986,0.18803093141996563,0.08981477908131638,0.29024190259925553,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_pooled_context_task_median_sensitivity,directional_minus_comparator,directional_risk_frozen,risk_model_disagreement,error_centered_pearson_mean,192,0.5292446134225368,0.5273762672605884,0.413534099215066,0.6525792822996171,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_pooled_context_task_median_sensitivity,directional_minus_comparator,directional_risk_frozen,risk_model_disagreement,error_centered_cosine_mean,192,0.552126696741961,0.5502249885177436,0.4398523565209978,0.6683141551601731,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_pooled_context_task_median_sensitivity,directional_minus_comparator,directional_risk_frozen,risk_model_disagreement,direction_error_rank_target,192,0.3562565899623673,0.3527648730244515,0.23755494024074808,0.48101069046145806,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_pooled_context_task_median_sensitivity,directional_minus_comparator,directional_risk_frozen,safeconf_calibrated_pair_risk,error_centered_pearson_mean,192,1.0254017138826121,1.0224022588500756,0.8762742060184054,1.148556158987349,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_pooled_context_task_median_sensitivity,directional_minus_comparator,directional_risk_frozen,safeconf_calibrated_pair_risk,error_centered_cosine_mean,192,1.0562467762185301,1.0527996816533256,0.910439995477835,1.1747468551011344,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_pooled_context_task_median_sensitivity,directional_minus_comparator,directional_risk_frozen,safeconf_calibrated_pair_risk,direction_error_rank_target,192,0.651577733604961,0.6490720564225341,0.48197245092994373,0.8105192663084273,1.0
