dataset,estimand,analysis,effect,n_independent_clusters,rho_safeconf,rho_comparator,delta_rho_safe_minus_comparator,yi_fisher_z,sei,sei_source
Lara_exvivo,pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_magnitude,155,0.31005446166736483,0.2846250523669879,0.02542940930037696,0.02789798270845223,0.08216906883022428,paired_cluster_bootstrap_delta_fisher_z
Liang,e140_fold_macro_perturbation_cluster,score_association,safeconf_calibrated_pair_risk,18,0.21240226395970885,0.21240226395970885,0.0,0.21568577013139645,0.07846136126761541,perturbation_cluster_bootstrap_fisher_z
Liang,e140_fold_macro_perturbation_cluster,score_association,risk_model_disagreement,18,0.21240226395970885,0.07455052105202883,0.13785174290768,0.07468909524833037,0.08116076441090717,perturbation_cluster_bootstrap_fisher_z
Liang,e140_fold_macro_perturbation_cluster,score_association,baseline_predicted_magnitude,18,0.21240226395970885,0.0741984875282581,0.13820377643145076,0.07433510359229924,0.08306878320542026,perturbation_cluster_bootstrap_fisher_z
Liang,e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_disagreement,18,0.21240226395970885,0.07455052105202883,0.13785174290768,0.14099667488306608,0.07488076690387302,paired_cluster_bootstrap_delta_fisher_z
Liang,e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_magnitude,18,0.21240226395970885,0.0741984875282581,0.13820377643145076,0.14135066653909723,0.07535215311360421,paired_cluster_bootstrap_delta_fisher_z
Liang,pooled_context_task_median_sensitivity,score_association,safeconf_calibrated_pair_risk,162,0.34363687427718786,0.34363687427718786,0.0,0.35821056032205084,0.07930515857181442,classical_fisher_z_context_tasks_sensitivity
Liang,pooled_context_task_median_sensitivity,score_association,risk_model_disagreement,162,0.34363687427718786,0.09043258096338917,0.2532042933137987,0.09068031848461634,0.07930515857181442,classical_fisher_z_context_tasks_sensitivity
Liang,pooled_context_task_median_sensitivity,score_association,baseline_predicted_magnitude,162,0.34363687427718786,0.11094457640203172,0.23269229787515616,0.11140316242155911,0.07930515857181442,classical_fisher_z_context_tasks_sensitivity
Liang,pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_disagreement,162,0.34363687427718786,0.09043258096338917,0.2532042933137987,0.2675302418374345,0.09626943436551248,paired_cluster_bootstrap_delta_fisher_z
Liang,pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_magnitude,162,0.34363687427718786,0.11094457640203172,0.23269229787515616,0.24680739790049172,0.09810978198332938,paired_cluster_bootstrap_delta_fisher_z
Nadig_two_cellline,e140_fold_macro_perturbation_cluster,score_association,safeconf_calibrated_pair_risk,96,0.23096595136423118,0.23096595136423118,0.0,0.23520961071828445,0.06971740696387611,perturbation_cluster_bootstrap_fisher_z
Nadig_two_cellline,e140_fold_macro_perturbation_cluster,score_association,risk_model_disagreement,96,0.23096595136423118,0.2302462918879326,0.0007196594762985675,0.2344495307709454,0.07612035815215291,perturbation_cluster_bootstrap_fisher_z
Nadig_two_cellline,e140_fold_macro_perturbation_cluster,score_association,baseline_predicted_magnitude,96,0.23096595136423118,0.4025790835011902,-0.17161313213695903,0.4267230528043853,0.0669128876656071,perturbation_cluster_bootstrap_fisher_z
Nadig_two_cellline,e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_disagreement,96,0.23096595136423118,0.2302462918879326,0.0007196594762985675,0.0007600799473390374,0.047313481028723826,paired_cluster_bootstrap_delta_fisher_z
Nadig_two_cellline,e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_magnitude,96,0.23096595136423118,0.4025790835011902,-0.17161313213695903,-0.19151344208610088,0.07134464207272113,paired_cluster_bootstrap_delta_fisher_z
Nadig_two_cellline,pooled_context_task_median_sensitivity,score_association,safeconf_calibrated_pair_risk,192,0.2788272667907366,0.2788272667907366,0.0,0.28641002802193466,0.07273929674533079,classical_fisher_z_context_tasks_sensitivity
Nadig_two_cellline,pooled_context_task_median_sensitivity,score_association,risk_model_disagreement,192,0.2788272667907366,0.2573311993055368,0.021496067485199832,0.2632482359886998,0.07273929674533079,classical_fisher_z_context_tasks_sensitivity
Nadig_two_cellline,pooled_context_task_median_sensitivity,score_association,baseline_predicted_magnitude,192,0.2788272667907366,0.41632192171011584,-0.13749465491937923,0.4432344996090356,0.07273929674533079,classical_fisher_z_context_tasks_sensitivity
Nadig_two_cellline,pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_disagreement,192,0.2788272667907366,0.2573311993055368,0.021496067485199832,0.023161792033234874,0.07220371583321518,paired_cluster_bootstrap_delta_fisher_z
Nadig_two_cellline,pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_magnitude,192,0.2788272667907366,0.41632192171011584,-0.13749465491937923,-0.15682447158710094,0.09262490858533308,paired_cluster_bootstrap_delta_fisher_z
Santinha,e140_fold_macro_perturbation_cluster,score_association,safeconf_calibrated_pair_risk,23,0.06459306321087302,0.06459306321087302,0.0,0.06468312186779991,0.07363630327311076,perturbation_cluster_bootstrap_fisher_z
Santinha,e140_fold_macro_perturbation_cluster,score_association,risk_model_disagreement,23,0.06459306321087302,-0.1268054298642534,0.1913984930751264,-0.12749172426060063,0.07100772105516906,perturbation_cluster_bootstrap_fisher_z
Santinha,e140_fold_macro_perturbation_cluster,score_association,baseline_predicted_magnitude,23,0.06459306321087302,-0.08930316742081448,0.1538962306316875,-0.08954170914064727,0.06571659281055002,perturbation_cluster_bootstrap_fisher_z
Santinha,e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_disagreement,23,0.06459306321087302,-0.1268054298642534,0.1913984930751264,0.19217484612840052,0.11849910350681413,paired_cluster_bootstrap_delta_fisher_z
Santinha,e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_magnitude,23,0.06459306321087302,-0.08930316742081448,0.1538962306316875,0.1542248310084472,0.10474926256448831,paired_cluster_bootstrap_delta_fisher_z
Santinha,pooled_context_task_median_sensitivity,score_association,safeconf_calibrated_pair_risk,115,0.033213546108892406,0.033213546108892406,0.0,0.03322576725871637,0.0944911182523068,classical_fisher_z_context_tasks_sensitivity
Santinha,pooled_context_task_median_sensitivity,score_association,risk_model_disagreement,115,0.033213546108892406,0.12622109997632763,-0.09300755386743523,0.12689788967210702,0.0944911182523068,classical_fisher_z_context_tasks_sensitivity
Santinha,pooled_context_task_median_sensitivity,score_association,baseline_predicted_magnitude,115,0.033213546108892406,0.16174544306793973,-0.12853189695904732,0.16317851195450986,0.0944911182523068,classical_fisher_z_context_tasks_sensitivity
Santinha,pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_disagreement,115,0.033213546108892406,0.12622109997632763,-0.09300755386743523,-0.09367212241339065,0.10021226160243521,paired_cluster_bootstrap_delta_fisher_z
Santinha,pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_magnitude,115,0.033213546108892406,0.16174544306793973,-0.12853189695904732,-0.1299527446957935,0.11248072874630403,paired_cluster_bootstrap_delta_fisher_z
Shifrut,e140_fold_macro_perturbation_cluster,score_association,safeconf_calibrated_pair_risk,20,0.17268196919359713,0.17268196919359713,0.0,0.17442975258230892,0.09680610092591108,perturbation_cluster_bootstrap_fisher_z
Shifrut,e140_fold_macro_perturbation_cluster,score_association,risk_model_disagreement,20,0.17268196919359713,0.05134400483237693,0.1213379643612202,0.051389194136396185,0.07381418497674615,perturbation_cluster_bootstrap_fisher_z
Shifrut,e140_fold_macro_perturbation_cluster,score_association,baseline_predicted_magnitude,20,0.17268196919359713,0.2086982784657203,-0.03601630927212318,0.21180995919426807,0.09109685438986975,perturbation_cluster_bootstrap_fisher_z
Shifrut,e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_disagreement,20,0.17268196919359713,0.05134400483237693,0.1213379643612202,0.12304055844591273,0.07959372411448831,paired_cluster_bootstrap_delta_fisher_z
Shifrut,e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_magnitude,20,0.17268196919359713,0.2086982784657203,-0.03601630927212318,-0.03738020661195915,0.09571957724769706,paired_cluster_bootstrap_delta_fisher_z
Shifrut,pooled_context_task_median_sensitivity,score_association,safeconf_calibrated_pair_risk,80,0.4707454289732771,0.4707454289732771,0.0,0.5110275495025758,0.11396057645963795,classical_fisher_z_context_tasks_sensitivity
Shifrut,pooled_context_task_median_sensitivity,score_association,risk_model_disagreement,80,0.4707454289732771,0.5330285982184717,-0.062283169245194614,0.5943662580633637,0.11396057645963795,classical_fisher_z_context_tasks_sensitivity
Shifrut,pooled_context_task_median_sensitivity,score_association,baseline_predicted_magnitude,80,0.4707454289732771,0.509915611814346,-0.03917018284106888,0.5626157224840942,0.11396057645963795,classical_fisher_z_context_tasks_sensitivity
Shifrut,pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_disagreement,80,0.4707454289732771,0.5330285982184717,-0.062283169245194614,-0.08333870856078796,0.0645516401318474,paired_cluster_bootstrap_delta_fisher_z
Shifrut,pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_magnitude,80,0.4707454289732771,0.509915611814346,-0.03917018284106888,-0.05158817298151841,0.06167990644529188,paired_cluster_bootstrap_delta_fisher_z
Tian_CRISPRi,e140_fold_macro_perturbation_cluster,score_association,safeconf_calibrated_pair_risk,99,0.13421641615690086,0.13421641615690086,0.0,0.1350311675516915,0.02754989855635045,perturbation_cluster_bootstrap_fisher_z
Tian_CRISPRi,e140_fold_macro_perturbation_cluster,score_association,risk_model_disagreement,99,0.13421641615690086,-0.017868402089713565,0.15208481824661443,-0.017870304127337745,0.03546515578515053,perturbation_cluster_bootstrap_fisher_z
Tian_CRISPRi,e140_fold_macro_perturbation_cluster,score_association,baseline_predicted_magnitude,99,0.13421641615690086,0.06673836676509522,0.06747804939180564,0.06683771684633501,0.04618041809771406,perturbation_cluster_bootstrap_fisher_z
Tian_CRISPRi,e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_disagreement,99,0.13421641615690086,-0.017868402089713565,0.15208481824661443,0.15290147167902926,0.040672746526990405,paired_cluster_bootstrap_delta_fisher_z
Tian_CRISPRi,e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_magnitude,99,0.13421641615690086,0.06673836676509522,0.06747804939180564,0.0681934507053565,0.04447299892007537,paired_cluster_bootstrap_delta_fisher_z
Tian_CRISPRi,pooled_context_task_median_sensitivity,score_association,safeconf_calibrated_pair_risk,396,0.21829254506613183,0.21829254506613183,0.0,0.22186251610525165,0.050443327230531826,classical_fisher_z_context_tasks_sensitivity
Tian_CRISPRi,pooled_context_task_median_sensitivity,score_association,risk_model_disagreement,396,0.21829254506613183,0.08452190817398228,0.13377063689214955,0.08472404884613059,0.050443327230531826,classical_fisher_z_context_tasks_sensitivity
Tian_CRISPRi,pooled_context_task_median_sensitivity,score_association,baseline_predicted_magnitude,396,0.21829254506613183,0.13989481912193388,0.07839772594419794,0.1408182940440688,0.050443327230531826,classical_fisher_z_context_tasks_sensitivity
Tian_CRISPRi,pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_disagreement,396,0.21829254506613183,0.08452190817398228,0.13377063689214955,0.13713846725912104,0.06843406987376215,paired_cluster_bootstrap_delta_fisher_z
Tian_CRISPRi,pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_magnitude,396,0.21829254506613183,0.13989481912193388,0.07839772594419794,0.08104422206118286,0.0682276386664914,paired_cluster_bootstrap_delta_fisher_z
