analysis_id,score_key,score_family,predictor,seed,seed_role,score,endpoint,truth_role,multiplicity_family,n_tasks,rho,na_reason,raw_one_sided_p,task_ci_low,task_ci_high,cluster_ci_low,cluster_ci_high,magnitude_score_key,official_score_key,magnitude_rho,delta_rho_vs_magnitude,delta_rho_vs_magnitude_task_ci_low,delta_rho_vs_magnitude_task_ci_high,delta_rho_vs_magnitude_cluster_ci_low,delta_rho_vs_magnitude_cluster_ci_high,official_rho,delta_rho_vs_official,delta_rho_vs_official_task_ci_low,delta_rho_vs_official_task_ci_high,delta_rho_vs_official_cluster_ci_low,delta_rho_vs_official_cluster_ci_high,holm_adjusted_p,holm_family_size
risk__matching__matching_se_pca10_confidence__raw_pearson_accuracy_sensitivity,matching__matching_se_pca10_confidence,matching_risk,matching_single_mean,,not_applicable,matching_se_pca10_confidence,raw_pearson_accuracy_sensitivity,raw_truth_mandatory_sensitivity,secondary_risk_holm_family,48,0.13808076422058185,,0.17465507031613403,-0.14298680069831815,0.3833764249618573,-0.11646285108903047,0.35778278638431527,matching__matching_magnitude_confidence,,-0.7121146330872775,0.8501953973078593,0.5896371143276922,1.0852966712607293,0.6179068451273694,1.04221306381006,,,,,,,1.0,134
risk__matching__matching_se_pca10_confidence__raw_cosine_accuracy_sensitivity,matching__matching_se_pca10_confidence,matching_risk,matching_single_mean,,not_applicable,matching_se_pca10_confidence,raw_cosine_accuracy_sensitivity,raw_truth_mandatory_sensitivity,secondary_risk_holm_family,48,0.0911854103343465,,0.2688203801117648,-0.18631534744104708,0.34436484125093236,-0.15343583285080606,0.31253168505480816,matching__matching_magnitude_confidence,,-0.7494572297003907,0.8406426400347372,0.5763518432414676,1.0782543437860508,0.6079841170235162,1.0393965773118592,,,,,,,1.0,134
risk__matching__matching_se_pca10_confidence__raw_direction_accuracy_sensitivity,matching__matching_se_pca10_confidence,matching_risk,matching_single_mean,,not_applicable,matching_se_pca10_confidence,raw_direction_accuracy_sensitivity,raw_truth_mandatory_sensitivity,secondary_risk_holm_family,48,0.12245562629992097,,0.20350662588046203,-0.18637704528311896,0.40091384607838526,-0.17857678792723522,0.36782363515921335,matching__matching_magnitude_confidence,,-0.6850132996032814,0.8074689259032024,0.5332171652639562,1.0492154731905199,0.5517537287158707,1.0044807216487655,,,,,,,1.0,134
risk__matching__matching_se_pca10_confidence__raw_negative_rmse_sensitivity,matching__matching_se_pca10_confidence,matching_risk,matching_single_mean,,not_applicable,matching_se_pca10_confidence,raw_negative_rmse_sensitivity,raw_truth_mandatory_sensitivity,secondary_risk_holm_family,48,0.24316109422492402,,0.04792026426439762,-0.059037089916919756,0.49218307497562086,0.019521411683826602,0.44559038370112447,matching__matching_magnitude_confidence,,0.6601172383847156,-0.41695614415979154,-0.7110910980407684,-0.13231942432046306,-0.6547741474458474,-0.12959709469537878,,,,,,,1.0,134
risk__matching__matching_se_gene_confidence__pca10_pearson_accuracy,matching__matching_se_gene_confidence,matching_risk,matching_single_mean,,not_applicable,matching_se_gene_confidence,pca10_pearson_accuracy,secondary,secondary_risk_holm_family,48,-0.14915327833260963,,0.8441828787724648,-0.4357811267033485,0.15554211832217912,-0.3869959051014843,0.1172208241613755,matching__matching_magnitude_confidence,,-0.6974598349978289,0.5483065566652193,0.2689490998264119,0.8200223329069842,0.3443884872632481,0.7411052738756718,,,,,,,1.0,134
risk__matching__matching_se_gene_confidence__pca10_cosine_accuracy,matching__matching_se_gene_confidence,matching_risk,matching_single_mean,,not_applicable,matching_se_gene_confidence,pca10_cosine_accuracy,secondary,secondary_risk_holm_family,48,-0.1429656969170647,,0.8338216254231507,-0.4265540263631307,0.16356417162070563,-0.38313076141801294,0.12173254694267818,matching__matching_magnitude_confidence,,-0.6996309161962657,0.556665219279201,0.2765762216652429,0.8300955088025368,0.3447458189303071,0.7552324574920102,,,,,,,1.0,134
risk__matching__matching_se_gene_confidence__pca10_direction_accuracy,matching__matching_se_gene_confidence,matching_risk,matching_single_mean,,not_applicable,matching_se_gene_confidence,pca10_direction_accuracy,secondary,secondary_risk_holm_family,48,-0.34037240557778375,,0.9910376429980559,-0.5922574251735382,-0.04670340745166305,-0.5473910753329031,-0.12233171895900176,matching__matching_magnitude_confidence,,-0.6849791090239993,0.3446067034462155,0.07405534221910819,0.6214567436581735,0.14933477052783245,0.5453527715430236,,,,,,,1.0,134
risk__matching__matching_se_gene_confidence__pca10_negative_rmse,matching__matching_se_gene_confidence,matching_risk,matching_single_mean,,not_applicable,matching_se_gene_confidence,pca10_negative_rmse,secondary,secondary_risk_holm_family,48,0.026704298740772906,,0.42851035339008114,-0.25380256135354556,0.29563216059055714,-0.18853198278973138,0.24423670113470325,matching__matching_magnitude_confidence,,0.5769648284845853,-0.5502605297438123,-0.8290425059608842,-0.25587287120118773,-0.7772521350283086,-0.2532711363291908,,,,,,,1.0,134
risk__matching__matching_se_gene_confidence__raw_pearson_accuracy_sensitivity,matching__matching_se_gene_confidence,matching_risk,matching_single_mean,,not_applicable,matching_se_gene_confidence,raw_pearson_accuracy_sensitivity,raw_truth_mandatory_sensitivity,secondary_risk_holm_family,48,0.14177160225792446,,0.16822632674125204,-0.1389612107798279,0.38085394746705314,-0.106980816217744,0.36142851336324716,matching__matching_magnitude_confidence,,-0.7121146330872775,0.8538862353452019,0.5944128468295258,1.0895372694335628,0.6236118765455307,1.0450101099954145,,,,,,,1.0,134
risk__matching__matching_se_gene_confidence__raw_cosine_accuracy_sensitivity,matching__matching_se_gene_confidence,matching_risk,matching_single_mean,,not_applicable,matching_se_gene_confidence,raw_cosine_accuracy_sensitivity,raw_truth_mandatory_sensitivity,secondary_risk_holm_family,48,0.088797221016066,,0.2741944493435553,-0.19089049552630702,0.3412788972839151,-0.15420168905033074,0.3121326636966179,matching__matching_magnitude_confidence,,-0.7494572297003907,0.8382544507164568,0.5700258005283685,1.0795343272019584,0.6076058498783518,1.0361197878667991,,,,,,,1.0,134
risk__matching__matching_se_gene_confidence__raw_direction_accuracy_sensitivity,matching__matching_se_gene_confidence,matching_risk,matching_single_mean,,not_applicable,matching_se_gene_confidence,raw_direction_accuracy_sensitivity,raw_truth_mandatory_sensitivity,secondary_risk_holm_family,48,0.10383759446442767,,0.24123149108560926,-0.2069229474094966,0.3821687050331967,-0.2027103650814575,0.35099279423583396,matching__matching_magnitude_confidence,,-0.6850132996032814,0.788850894067709,0.5164530796178513,1.0344207904825964,0.5329419367643042,0.9866942038230047,,,,,,,1.0,134
risk__matching__matching_se_gene_confidence__raw_negative_rmse_sensitivity,matching__matching_se_gene_confidence,matching_risk,matching_single_mean,,not_applicable,matching_se_gene_confidence,raw_negative_rmse_sensitivity,raw_truth_mandatory_sensitivity,secondary_risk_holm_family,48,0.20277898393399912,,0.08344434910381089,-0.09878490317368982,0.45852844569257595,-0.016642453879687588,0.4067182948684287,matching__matching_magnitude_confidence,,0.6601172383847156,-0.45733825445071646,-0.7510543054486699,-0.17202173107620725,-0.6861607203996104,-0.17361296306459104,,,,,,,1.0,134
risk__matching__matching_magnitude_confidence__pca10_pearson_accuracy,matching__matching_magnitude_confidence,matching_risk,matching_single_mean,,not_applicable,matching_magnitude_confidence,pca10_pearson_accuracy,secondary,secondary_risk_holm_family,48,-0.6974598349978289,,0.9999999818884839,-0.810728785883538,-0.5240302948583071,-0.791410922934314,-0.5613629027187982,matching__matching_magnitude_confidence,,-0.6974598349978289,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,134
risk__matching__matching_magnitude_confidence__pca10_cosine_accuracy,matching__matching_magnitude_confidence,matching_risk,matching_single_mean,,not_applicable,matching_magnitude_confidence,pca10_cosine_accuracy,secondary,secondary_risk_holm_family,48,-0.6996309161962657,,0.9999999842406675,-0.8137889739703116,-0.525580331564888,-0.7896621852712582,-0.569343748504495,matching__matching_magnitude_confidence,,-0.6996309161962657,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,134
risk__matching__matching_magnitude_confidence__pca10_direction_accuracy,matching__matching_magnitude_confidence,matching_risk,matching_single_mean,,not_applicable,matching_magnitude_confidence,pca10_direction_accuracy,secondary,secondary_risk_holm_family,48,-0.6849791090239993,,0.9999999606216218,-0.8158129698455688,-0.483714771192786,-0.7929800973849889,-0.533926148452868,matching__matching_magnitude_confidence,,-0.6849791090239993,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,134
risk__matching__matching_magnitude_confidence__pca10_negative_rmse,matching__matching_magnitude_confidence,matching_risk,matching_single_mean,,not_applicable,matching_magnitude_confidence,pca10_negative_rmse,secondary,secondary_risk_holm_family,48,0.5769648284845853,,8.830496285793713e-06,0.31306996660715125,0.7592170222403646,0.36012524846580796,0.7177535609501968,matching__matching_magnitude_confidence,,0.5769648284845853,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0006093042437197661,134
risk__matching__matching_magnitude_confidence__raw_pearson_accuracy_sensitivity,matching__matching_magnitude_confidence,matching_risk,matching_single_mean,,not_applicable,matching_magnitude_confidence,raw_pearson_accuracy_sensitivity,raw_truth_mandatory_sensitivity,secondary_risk_holm_family,48,-0.7121146330872775,,0.9999999930892977,-0.8294174117007269,-0.5191029921518,-0.7956677328260517,-0.5429861756121879,matching__matching_magnitude_confidence,,-0.7121146330872775,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,134
risk__matching__matching_magnitude_confidence__raw_cosine_accuracy_sensitivity,matching__matching_magnitude_confidence,matching_risk,matching_single_mean,,not_applicable,matching_magnitude_confidence,raw_cosine_accuracy_sensitivity,raw_truth_mandatory_sensitivity,secondary_risk_holm_family,48,-0.7494572297003907,,0.9999999995567197,-0.8447478897144647,-0.5880027776667313,-0.8081995892547833,-0.6190739459225922,matching__matching_magnitude_confidence,,-0.7494572297003907,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,134
risk__matching__matching_magnitude_confidence__raw_direction_accuracy_sensitivity,matching__matching_magnitude_confidence,matching_risk,matching_single_mean,,not_applicable,matching_magnitude_confidence,raw_direction_accuracy_sensitivity,raw_truth_mandatory_sensitivity,secondary_risk_holm_family,48,-0.6850132996032814,,0.9999999607032724,-0.8015330646321003,-0.5064450816875213,-0.77066391381184,-0.5563664052748066,matching__matching_magnitude_confidence,,-0.6850132996032814,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,134
risk__matching__matching_magnitude_confidence__raw_negative_rmse_sensitivity,matching__matching_magnitude_confidence,matching_risk,matching_single_mean,,not_applicable,matching_magnitude_confidence,raw_negative_rmse_sensitivity,raw_truth_mandatory_sensitivity,secondary_risk_holm_family,48,0.6601172383847156,,1.6606167595159285e-07,0.41805565220938234,0.8227499160339388,0.4503008981499566,0.7842837385201731,matching__matching_magnitude_confidence,,0.6601172383847156,0.0,0.0,0.0,0.0,0.0,,,,,,,1.16243173166115e-05,134
risk__matching__hash_random_confidence__pca10_pearson_accuracy,matching__hash_random_confidence,matching_risk,matching_single_mean,,not_applicable,hash_random_confidence,pca10_pearson_accuracy,secondary,secondary_risk_holm_family,48,-0.040056448111159354,,0.6065400171569474,-0.3420328433141045,0.27457588299698715,-0.24402611262991517,0.17537133266366886,matching__matching_magnitude_confidence,,-0.6974598349978289,0.6574033868866695,0.3152988809588645,0.9772758157005946,0.39769553251290357,0.8816178126728819,,,,,,,1.0,134
risk__matching__hash_random_confidence__pca10_cosine_accuracy,matching__hash_random_confidence,matching_risk,matching_single_mean,,not_applicable,hash_random_confidence,pca10_cosine_accuracy,secondary,secondary_risk_holm_family,48,-0.019756838905775075,,0.5530156958157603,-0.3265025793146222,0.2982831009134169,-0.23314269322267003,0.19917867139105028,matching__matching_magnitude_confidence,,-0.6996309161962657,0.6798740772904907,0.33258108403849407,1.0051649457076202,0.41350081406346795,0.9091040050268825,,,,,,,1.0,134
risk__matching__hash_random_confidence__pca10_direction_accuracy,matching__hash_random_confidence,matching_risk,matching_single_mean,,not_applicable,hash_random_confidence,pca10_direction_accuracy,secondary,secondary_risk_holm_family,48,0.01883719692751052,,0.44943894801402,-0.26463484096605416,0.2902109827600887,-0.1418593916437502,0.19847395612442953,matching__matching_magnitude_confidence,,-0.6849791090239993,0.7038163059515098,0.3617744846342743,0.9960710458076829,0.4786745993455165,0.9175270371783295,,,,,,,1.0,134
risk__matching__hash_random_confidence__pca10_negative_rmse,matching__hash_random_confidence,matching_risk,matching_single_mean,,not_applicable,hash_random_confidence,pca10_negative_rmse,secondary,secondary_risk_holm_family,48,-0.09465914025184542,,0.7389039695588573,-0.3424684006039126,0.16851647687115992,-0.2613562377335036,0.12526996528755305,matching__matching_magnitude_confidence,,0.5769648284845853,-0.6716239687364307,-1.0001100532404947,-0.27412292629861323,-0.9322532132613216,-0.29763937158741144,,,,,,,1.0,134
risk__matching__hash_random_confidence__raw_pearson_accuracy_sensitivity,matching__hash_random_confidence,matching_risk,matching_single_mean,,not_applicable,hash_random_confidence,raw_pearson_accuracy_sensitivity,raw_truth_mandatory_sensitivity,secondary_risk_holm_family,48,-0.005644811115935736,,0.515187168564412,-0.32147133009979273,0.31715130499240346,-0.23521035517621425,0.20599513182690266,matching__matching_magnitude_confidence,,-0.7121146330872775,0.7064698219713418,0.3403892302621689,1.0413968897108898,0.3766607186681499,0.9322312793541231,,,,,,,1.0,134
risk__matching__hash_random_confidence__raw_cosine_accuracy_sensitivity,matching__hash_random_confidence,matching_risk,matching_single_mean,,not_applicable,hash_random_confidence,raw_cosine_accuracy_sensitivity,raw_truth_mandatory_sensitivity,secondary_risk_holm_family,48,0.021602257924446373,,0.44206465184994725,-0.2958440896535252,0.3501866452203859,-0.21712881499786713,0.238638428755722,matching__matching_magnitude_confidence,,-0.7494572297003907,0.7710594876248371,0.41360771995380124,1.0980504649518734,0.46732762936247724,0.9842699148481548,,,,,,,1.0,134
