analysis_id,scheme,n_replicates,n_finite,bootstrap_mean,ci_low,ci_high,ci_estimable
risk__matching__matching_magnitude_confidence__pca10_cosine_accuracy,component_gene_cluster,10000,10000,-0.6879123688470948,-0.7896621852712582,-0.569343748504495,True
risk__matching__matching_magnitude_confidence__pca10_direction_accuracy,task,10000,10000,-0.6726339468398767,-0.8158129698455688,-0.483714771192786,True
risk__matching__matching_magnitude_confidence__pca10_direction_accuracy,component_gene_cluster,10000,10000,-0.6764001201069813,-0.7929800973849889,-0.533926148452868,True
risk__matching__matching_magnitude_confidence__pca10_negative_rmse,task,10000,10000,0.5673976582010287,0.31306996660715125,0.7592170222403646,True
risk__matching__matching_magnitude_confidence__pca10_negative_rmse,component_gene_cluster,10000,10000,0.5621342722074925,0.36012524846580796,0.7177535609501968,True
risk__matching__matching_magnitude_confidence__raw_pearson_accuracy_sensitivity,task,10000,10000,-0.7007481328780707,-0.8294174117007269,-0.5191029921518,True
risk__matching__matching_magnitude_confidence__raw_pearson_accuracy_sensitivity,component_gene_cluster,10000,10000,-0.7008469835996021,-0.7956677328260517,-0.5429861756121879,True
risk__matching__matching_magnitude_confidence__raw_cosine_accuracy_sensitivity,task,10000,10000,-0.7371598479834026,-0.8447478897144647,-0.5880027776667313,True
risk__matching__matching_magnitude_confidence__raw_cosine_accuracy_sensitivity,component_gene_cluster,10000,10000,-0.7384336678226116,-0.8081995892547833,-0.6190739459225922,True
risk__matching__matching_magnitude_confidence__raw_direction_accuracy_sensitivity,task,10000,10000,-0.672965865439879,-0.8015330646321003,-0.5064450816875213,True
risk__matching__matching_magnitude_confidence__raw_direction_accuracy_sensitivity,component_gene_cluster,10000,10000,-0.6771350224565659,-0.77066391381184,-0.5563664052748066,True
risk__matching__matching_magnitude_confidence__raw_negative_rmse_sensitivity,task,10000,10000,0.6507566955742452,0.41805565220938234,0.8227499160339388,True
risk__matching__matching_magnitude_confidence__raw_negative_rmse_sensitivity,component_gene_cluster,10000,10000,0.6447602311858365,0.4503008981499566,0.7842837385201731,True
risk__matching__hash_random_confidence__pca10_pearson_accuracy,task,10000,10000,-0.040053205756034604,-0.3420328433141045,0.27457588299698715,True
risk__matching__hash_random_confidence__pca10_pearson_accuracy,component_gene_cluster,10000,10000,-0.038441005653264915,-0.24402611262991517,0.17537133266366886,True
risk__matching__hash_random_confidence__pca10_cosine_accuracy,task,10000,10000,-0.02034666150553272,-0.3265025793146222,0.2982831009134169,True
risk__matching__hash_random_confidence__pca10_cosine_accuracy,component_gene_cluster,10000,10000,-0.019009956032648635,-0.23314269322267003,0.19917867139105028,True
risk__matching__hash_random_confidence__pca10_direction_accuracy,task,10000,10000,0.01636399748627962,-0.26463484096605416,0.2902109827600887,True
risk__matching__hash_random_confidence__pca10_direction_accuracy,component_gene_cluster,10000,10000,0.026617538341365,-0.1418593916437502,0.19847395612442953,True
risk__matching__hash_random_confidence__pca10_negative_rmse,task,10000,10000,-0.09277829726033462,-0.3424684006039126,0.16851647687115992,True
risk__matching__hash_random_confidence__pca10_negative_rmse,component_gene_cluster,10000,10000,-0.08193894984391384,-0.2613562377335036,0.12526996528755305,True
risk__matching__hash_random_confidence__raw_pearson_accuracy_sensitivity,task,10000,10000,-0.00585398717432292,-0.32147133009979273,0.31715130499240346,True
risk__matching__hash_random_confidence__raw_pearson_accuracy_sensitivity,component_gene_cluster,10000,10000,-0.012434381158357497,-0.23521035517621425,0.20599513182690266,True
risk__matching__hash_random_confidence__raw_cosine_accuracy_sensitivity,task,10000,10000,0.021186096064602807,-0.2958440896535252,0.3501866452203859,True
risk__matching__hash_random_confidence__raw_cosine_accuracy_sensitivity,component_gene_cluster,10000,10000,0.016991810516660114,-0.21712881499786713,0.238638428755722,True
risk__matching__hash_random_confidence__raw_direction_accuracy_sensitivity,task,10000,10000,0.022208591497026458,-0.2859883230260745,0.33130452677653544,True
risk__matching__hash_random_confidence__raw_direction_accuracy_sensitivity,component_gene_cluster,10000,10000,0.016037779854383358,-0.1969274551045286,0.2272122813201421,True
risk__matching__hash_random_confidence__raw_negative_rmse_sensitivity,task,10000,10000,-0.15801014914813546,-0.4095783940857557,0.10905949144960335,True
risk__matching__hash_random_confidence__raw_negative_rmse_sensitivity,component_gene_cluster,10000,10000,-0.15251790559090017,-0.33090893798709253,0.03984826848714896,True
risk__matching__constant_confidence__pca10_pearson_accuracy,task,10000,0,,,,False
risk__matching__constant_confidence__pca10_pearson_accuracy,component_gene_cluster,10000,0,,,,False
risk__matching__constant_confidence__pca10_cosine_accuracy,task,10000,0,,,,False
risk__matching__constant_confidence__pca10_cosine_accuracy,component_gene_cluster,10000,0,,,,False
risk__matching__constant_confidence__pca10_direction_accuracy,task,10000,0,,,,False
risk__matching__constant_confidence__pca10_direction_accuracy,component_gene_cluster,10000,0,,,,False
risk__matching__constant_confidence__pca10_negative_rmse,task,10000,0,,,,False
risk__matching__constant_confidence__pca10_negative_rmse,component_gene_cluster,10000,0,,,,False
risk__matching__constant_confidence__raw_pearson_accuracy_sensitivity,task,10000,0,,,,False
risk__matching__constant_confidence__raw_pearson_accuracy_sensitivity,component_gene_cluster,10000,0,,,,False
risk__matching__constant_confidence__raw_cosine_accuracy_sensitivity,task,10000,0,,,,False
