condition,n_full_cells,n_half_a,n_half_b,half_a_obs_name_sha256,half_b_obs_name_sha256,interpretation,raw_pearson,raw_pearson_na_reason,raw_cosine,raw_cosine_na_reason,raw_direction_accuracy,raw_mse,raw_rmse,raw_top20_pearson,raw_top20_pearson_na_reason,raw_top20_cosine,raw_top20_cosine_na_reason,raw_top20_direction_accuracy,raw_top20_mse,raw_top20_rmse,pca10_pearson,pca10_pearson_na_reason,pca10_cosine,pca10_cosine_na_reason,pca10_direction_accuracy,pca10_mse,pca10_rmse,pca10_top20_pearson,pca10_top20_pearson_na_reason,pca10_top20_cosine,pca10_top20_cosine_na_reason,pca10_top20_direction_accuracy,pca10_top20_mse,pca10_top20_rmse
GFI1+GSE1,80,40,40,7ec9b2649e9c55414a6ba9dc0f3af71c2b9cd5fbc2721c92313756278f814142,7e71f246fc3ad47d25175df74d1a27a61bcea1bdbad5dab4e0dfc4a17f253508,split_half_reproducibility_benchmark_reference_not_upper_bound,0.8831954747600671,,0.8776370712299651,,0.6846267918932278,0.009240059779036204,0.09612522966961486,0.9875379261727985,,0.9913598010136717,,1.0,0.06569352199262302,0.2563074754911043,0.9606849083271505,,0.9531994693948099,,0.9065743944636678,0.003996344174807208,0.06321664476075275,0.9922691743088923,,0.9960878133693821,,1.0,0.036381755418586875,0.1907400204954033
GFI1+INTS1,282,141,141,b04a2133e27a589a78958bce02c7c4e3a39d29193a05f4f396f8fb881c235ff4,48a7b8554b25b4dcbd6de433e4f1a3756d316c26ac94361625765f58ceacf088,split_half_reproducibility_benchmark_reference_not_upper_bound,0.9638203566975239,,0.9634257226510075,,0.7004448838358873,0.0015675568027281647,0.03959238314029814,0.9975956533505399,,0.9988090212180459,,1.0,0.00374493541888078,0.061195877466384774,0.9931239738769168,,0.9922457475832611,,0.9144834404349975,0.0003028321620961935,0.017402073499907807,0.9996846714900333,,0.9997529932829912,,1.0,0.0007182675263126238,0.026800513545688333
GFI1+RCOR1,93,47,46,0e3f74d12058e79e90b528600a77ef56cc5cf3ab6f4fcfaf483873330808e128,04cf4ee23c92425dc85e68507604daec5b2007a6a5421f3000124aebe1731792,split_half_reproducibility_benchmark_reference_not_upper_bound,0.8474753000624293,,0.8505449489682367,,0.6594167078596145,0.0067570175557236205,0.08220108001555466,0.9879177170101394,,0.99224685924662,,1.0,0.03988092101751407,0.1997020806539433,0.9562419514752531,,0.9566907144231924,,0.8779041028175977,0.002321361056567072,0.04818050494304799,0.9949495162000079,,0.9975970267001393,,1.0,0.029523924523661937,0.17182527323901434
GSE1+INTS1,469,235,234,1261d0e9fc9fea370fb69fd0890c90d431a124e0562e4d8bb18f4c444b04ded3,9d30005efa66f24aa7bd2ddc0a18984824abc560cbfcff7e84d720c2a6876b8f,split_half_reproducibility_benchmark_reference_not_upper_bound,0.9704151449802646,,0.9704386760736884,,0.7301038062283737,0.000898552373965345,0.029975863189662194,0.9967090584437743,,0.9981153564994266,,1.0,0.004953122595533843,0.07037842421888858,0.9984212248164825,,0.9984218366522382,,0.9742956005931784,5.6685296083665896e-05,0.0075289638120836985,0.999891858149175,,0.9999355742642865,,1.0,0.0016947767200951726,0.04116766595393978
GSE1+KDM1A,109,55,54,fabdd7deaab438893f65dba44af7e806d5145ef9c8e3b2cd9c6b87d6f09be7fa,cddb079c404b34e22ae3e75b7ebe223b09b0842ab54bbfa11efd97f150e5a242,split_half_reproducibility_benchmark_reference_not_upper_bound,0.8915792626743192,,0.888434719702428,,0.6999505684626792,0.006164418360027019,0.07851380999561172,0.9945753294894295,,0.9980201018726006,,1.0,0.007013047839850137,0.08374394210837066,0.9624090461159174,,0.9588331663093146,,0.9016312407315867,0.002045856870409328,0.045231149337700095,0.9970838742645318,,0.9987031393130741,,1.0,0.0048928965236110745,0.06994924248060928
GSE1+MED24,224,112,112,ad47e54c4d75c000b2fa4fa0f6c0ece1399fe3f1fe61714d2841708262674d1a,a46225bab7b6f2a78da73d45fc49cfcdfeed61d89197691359bd9886d8844014,split_half_reproducibility_benchmark_reference_not_upper_bound,0.9640782868308311,,0.9644342410364068,,0.7968363816114681,0.002356488024658329,0.04854367131417162,0.994687098404422,,0.9970748091680319,,1.0,0.005165362442469476,0.07187045597788758,0.9965787009141768,,0.9953617938110336,,0.9792387543252595,0.000346542765003694,0.018615659134279774,0.9992540578355412,,0.99909120152977,,1.0,0.001405818499734483,0.03749424622171358
GSE1+SSRP1,79,40,39,24e39d8519e85a232181afa94cbde7936eaa5ba3a84bf980ac05675f115c419c,63617ebdae1f3b6e8b000f8e87c609bd686449a73376c3bf80f1082d1a66b386,split_half_reproducibility_benchmark_reference_not_upper_bound,0.729217175766512,,0.7358328415119516,,0.6292634700939199,0.006828247840245621,0.08263321269468846,0.9762104098134944,,0.9749027728157936,,1.0,0.04233542357693649,0.20575573765252936,0.9400378966910181,,0.9421157370050227,,0.8927335640138409,0.0012917405697212916,0.03594079255833532,0.9891273066990991,,0.9887496396804331,,1.0,0.030424059576682136,0.1744249396636907
HDAC3+SMARCD1,331,166,165,e0397e1e468ddc6d0c5eb3afd34650aab8f61aabcd1b5fa363042f1fa9f0fd3f,f86cae73a1bc3b87930da5209955f0fcbcaeaaf160b2e2337dcc6bc8a1e161a1,split_half_reproducibility_benchmark_reference_not_upper_bound,0.8789992821751627,,0.8761896326631765,,0.6796836381611469,0.002139390083257578,0.0462535413050458,0.9889218412802737,,0.9917064279974461,,1.0,0.0046763789838051,0.06838405504066793,0.9183939827870334,,0.9138672880089898,,0.8620860108749382,0.0009480618109087846,0.030790612382815392,0.9096927304425887,,0.98169016228026,,1.0,0.008144023856864524,0.09024424556094712
HDAC3+SSRP1,80,40,40,46c679243128dbb183bfa72813a37e1e8418d347a2fefa259a9ff2b82939560a,92f1b717ca40b7f6548647a3e61f8611bcd35b1f324ad2b91f65deccd99f4911,split_half_reproducibility_benchmark_reference_not_upper_bound,0.7099308755715181,,0.7118835653333505,,0.6272862086010875,0.006705519212784116,0.08188723473646009,0.9519391946358988,,0.9558083891602395,,1.0,0.0244052163531779,0.15622168976546727,0.9264017533921827,,0.9270005373114854,,0.9179436480474543,0.0009265948964789382,0.03044002129563871,0.9408744645903064,,0.9522782225701246,,1.0,0.01508436514159311,0.12281842346160086
IKZF1+INTS1,565,283,282,817908b0ae79a5fb3a15b2adeda2179b486dd62bad02db5a26e51e6dc8cd8075,9280ed6d5e96ad331cac0c20c1f213f3d7d2b8d23287fe5f02fd3ac9e3fd950c,split_half_reproducibility_benchmark_reference_not_upper_bound,0.8359696478651002,,0.8410883089486486,,0.6742461690558577,0.0010460164799070597,0.03234217803282673,0.9858913894860893,,0.9927027997866458,,1.0,0.0016734117081428617,0.040907355183913585,0.9482781783552515,,0.9413437990114485,,0.9001482946119624,0.0002529003862714914,0.01590284208157433,0.984034360661952,,0.9948347723838533,,1.0,0.0007167088242743579,0.02677141804750652
