score,score_family,predictor,truth_role,coverage,retained_n,rejected_n,retained_mean_error,retained_mean_accuracy,high_error_capture_in_rejected,rejected_high_error_enrichment,estimable,na_reason
min_train_pair_degree_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.8,39,9,0.07017068097275639,0.8297144790863056,0.6,3.1999999999999997,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.85,41,7,0.0707689223542362,0.8285151331889227,0.5,3.4285714285714284,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.9,44,4,0.07256215905107208,0.8311315391616755,0.2,2.4,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.95,46,2,0.0727504332531067,0.8338622137085964,0.1,2.4,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,1.0,48,0,0.07332937871572882,0.8365604242055605,,,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,pca10_primary,0.5,24,24,0.054150431100739645,0.9213445159004648,0.6,1.2,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,pca10_primary,0.55,27,21,0.05232328116695806,0.9259817839838222,0.6,1.3714285714285712,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,pca10_primary,0.6,29,19,0.05353028292529204,0.9279050594081169,0.6,1.5157894736842104,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,pca10_primary,0.65,32,16,0.05225285641228872,0.9273965703968199,0.5,1.5,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,pca10_primary,0.7,34,14,0.051499113570978576,0.9284380638201817,0.5,1.7142857142857142,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,pca10_primary,0.75,36,12,0.05299314917002746,0.930820919941202,0.4,1.5999999999999999,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,pca10_primary,0.8,39,9,0.052732626421922967,0.9310752255789464,0.3,1.5999999999999999,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,pca10_primary,0.85,41,7,0.05317287478352423,0.9325857012900025,0.2,1.3714285714285712,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,pca10_primary,0.9,44,4,0.05412826459244941,0.9349682887613693,0.2,2.4,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,pca10_primary,0.95,46,2,0.053803084255674156,0.9361320958154944,0.2,4.8,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,pca10_primary,1.0,48,0,0.05484287065968099,0.9374576645291857,,,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.5,24,24,0.06992616111525995,0.8333136930773722,0.8,1.5999999999999999,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.55,27,21,0.0688135760500075,0.8333449323336971,0.8,1.8285714285714283,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.6,29,19,0.06972329331996482,0.8376240847500176,0.8,2.021052631578947,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.65,32,16,0.06908701541118786,0.829959376411791,0.7,2.1,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.7,34,14,0.068614458985505,0.8305024754476179,0.7,2.4,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.75,36,12,0.06994228806716661,0.8348914693904708,0.6,2.4,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.8,39,9,0.07007775745131445,0.8305557228665554,0.5,2.6666666666666665,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.85,41,7,0.0709226093707875,0.8307512178993511,0.4,2.7428571428571424,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.9,44,4,0.07187680218590471,0.8348628978467588,0.3,3.5999999999999996,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.95,46,2,0.07203751351591337,0.8351149254596639,0.2,4.8,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,1.0,48,0,0.07332937871572882,0.8365604242055605,,,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,pca10_primary,0.5,24,24,0.054150431100739645,0.9213445159004648,0.6,1.2,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,pca10_primary,0.55,27,21,0.05288990350450201,0.9263506925811407,0.6,1.3714285714285712,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,pca10_primary,0.6,29,19,0.05430210352175921,0.9278838847309053,0.5,1.263157894736842,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,pca10_primary,0.65,32,16,0.054798672679450974,0.930234892062447,0.4,1.2,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,pca10_primary,0.7,34,14,0.052838893345189264,0.9282351215004095,0.4,1.3714285714285712,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,pca10_primary,0.75,36,12,0.05299314917002747,0.930820919941202,0.4,1.5999999999999999,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,pca10_primary,0.8,39,9,0.052732626421922967,0.9310752255789464,0.3,1.5999999999999999,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,pca10_primary,0.85,41,7,0.05317287478352423,0.9325857012900023,0.2,1.3714285714285712,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,pca10_primary,0.9,44,4,0.05412826459244941,0.9349682887613692,0.2,2.4,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,pca10_primary,0.95,46,2,0.05407537963169117,0.9368266985134055,0.1,2.4,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,pca10_primary,1.0,48,0,0.054842870659681,0.9374576645291857,,,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.5,24,24,0.06992616111525995,0.8333136930773722,0.8,1.5999999999999999,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.55,27,21,0.06920552619665947,0.8335152696144287,0.8,1.8285714285714283,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.6,29,19,0.07045909236023785,0.8378482681182187,0.7,1.7684210526315787,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.65,32,16,0.07112641360661351,0.8401193149783268,0.6,1.7999999999999998,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.7,34,14,0.06974995774275185,0.8301675217000367,0.6,2.057142857142857,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.75,36,12,0.06994228806716661,0.8348914693904708,0.6,2.4,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.8,39,9,0.07007775745131445,0.8305557228665554,0.5,2.6666666666666665,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.85,41,7,0.07092260937078748,0.8307512178993515,0.4,2.7428571428571424,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.9,44,4,0.0718768021859047,0.8348628978467592,0.3,3.5999999999999996,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.95,46,2,0.0722019288783621,0.8372544920693978,0.2,4.8,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,1.0,48,0,0.07332937871572882,0.8365604242055605,,,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,pca10_primary,0.5,24,24,0.04249963471177807,0.9053046169261894,0.7,1.4000000000000001,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,pca10_primary,0.55,27,21,0.04407141542473055,0.9125062272285682,0.7,1.5999999999999999,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,pca10_primary,0.6,29,19,0.04560365793795269,0.9158731213178172,0.7,1.7684210526315787,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,pca10_primary,0.65,32,16,0.04918146361672768,0.91984149547408,0.5,1.5,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,pca10_primary,0.7,34,14,0.05042861937348221,0.9226307854938572,0.5,1.7142857142857142,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,pca10_primary,0.75,36,12,0.05169445603864048,0.9243470307531071,0.4,1.5999999999999999,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,pca10_primary,0.8,39,9,0.05252101974024278,0.9283098647973939,0.4,2.1333333333333333,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,pca10_primary,0.85,41,7,0.05296688190440621,0.9311943667526749,0.4,2.7428571428571424,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,pca10_primary,0.9,44,4,0.05424614314005072,0.9343782164080676,0.2,2.4,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,pca10_primary,0.95,46,2,0.054737917512961205,0.9361562495062732,0.1,2.4,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,pca10_primary,1.0,48,0,0.05484287065968099,0.9374576645291857,,,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.5,24,24,0.06241515945766982,0.7732665694474399,0.9,1.7999999999999998,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.55,27,21,0.06350538785609085,0.7865798762712443,0.9,2.057142857142857,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.6,29,19,0.06462906643518748,0.7949057642914055,0.9,2.2736842105263158,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.65,32,16,0.06793720247523066,0.8008230571399083,0.6,1.7999999999999998,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.7,34,14,0.06892038734066855,0.8065821525196653,0.6,2.057142857142857,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.75,36,12,0.06978109138243588,0.8120202602454758,0.5,2.0,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.8,39,9,0.07063013775625387,0.8190625089708979,0.4,2.1333333333333333,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.85,41,7,0.07095615014690938,0.825130096026953,0.4,2.7428571428571424,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.9,44,4,0.07228340793643451,0.830997321578731,0.2,2.4,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.95,46,2,0.07273571945890006,0.834974536731529,0.1,2.4,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,1.0,48,0,0.07332937871572882,0.8365604242055604,,,True,
hash_random_confidence,matching_risk,matching_single_mean,pca10_primary,0.5,24,24,0.05939363342360047,0.9281087690483033,0.5,1.0,True,
hash_random_confidence,matching_risk,matching_single_mean,pca10_primary,0.55,27,21,0.05647192968581279,0.9281280530424141,0.5,1.1428571428571428,True,
hash_random_confidence,matching_risk,matching_single_mean,pca10_primary,0.6,29,19,0.05610274810369639,0.9291800870848728,0.4,1.0105263157894735,True,
hash_random_confidence,matching_risk,matching_single_mean,pca10_primary,0.65,32,16,0.056159128626320116,0.9335157460803314,0.4,1.2,True,
hash_random_confidence,matching_risk,matching_single_mean,pca10_primary,0.7,34,14,0.05762007842041815,0.9358353176087892,0.3,1.0285714285714285,True,
hash_random_confidence,matching_risk,matching_single_mean,pca10_primary,0.75,36,12,0.05758717404113403,0.9370889085661782,0.2,0.7999999999999999,True,
hash_random_confidence,matching_risk,matching_single_mean,pca10_primary,0.8,39,9,0.0569449357524808,0.9377919043535841,0.1,0.5333333333333333,True,
hash_random_confidence,matching_risk,matching_single_mean,pca10_primary,0.85,41,7,0.05600004047237255,0.9339125567542796,0.1,0.6857142857142856,True,
hash_random_confidence,matching_risk,matching_single_mean,pca10_primary,0.9,44,4,0.054489934813845294,0.9350183541156855,0.1,1.2,True,
hash_random_confidence,matching_risk,matching_single_mean,pca10_primary,0.95,46,2,0.05405111586812649,0.9353821514592274,0.1,2.4,True,
hash_random_confidence,matching_risk,matching_single_mean,pca10_primary,1.0,48,0,0.05484287065968099,0.9374576645291857,,,True,
hash_random_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.5,24,24,0.07799650648472344,0.840755600470595,0.3,0.6,True,
hash_random_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.55,27,21,0.07526979055280787,0.8370278205741205,0.3,0.6857142857142856,True,
hash_random_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.6,29,19,0.0748767525864069,0.8354176153156131,0.3,0.7578947368421052,True,
hash_random_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.65,32,16,0.07456581061935594,0.8417711685788916,0.3,0.8999999999999999,True,
hash_random_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.7,34,14,0.0755520386857081,0.8456886981249069,0.2,0.6857142857142856,True,
hash_random_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.75,36,12,0.0761908413682428,0.8445154963123176,0.1,0.39999999999999997,True,
hash_random_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.8,39,9,0.07553287340062152,0.8424472304536272,0.1,0.5333333333333333,True,
hash_random_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.85,41,7,0.07465836120747447,0.8353305785297904,0.1,0.6857142857142856,True,
hash_random_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.9,44,4,0.07320882396321908,0.8322874742929954,0.1,1.2,True,
hash_random_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.95,46,2,0.07282158107480927,0.8323718701689397,0.1,2.4,True,
hash_random_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,1.0,48,0,0.07332937871572882,0.8365604242055605,,,True,
constant_confidence,matching_risk,matching_single_mean,pca10_primary,0.5,24,24,,,,,False,constant_or_nonfinite_score
constant_confidence,matching_risk,matching_single_mean,pca10_primary,0.55,27,21,,,,,False,constant_or_nonfinite_score
constant_confidence,matching_risk,matching_single_mean,pca10_primary,0.6,29,19,,,,,False,constant_or_nonfinite_score
constant_confidence,matching_risk,matching_single_mean,pca10_primary,0.65,32,16,,,,,False,constant_or_nonfinite_score
constant_confidence,matching_risk,matching_single_mean,pca10_primary,0.7,34,14,,,,,False,constant_or_nonfinite_score
constant_confidence,matching_risk,matching_single_mean,pca10_primary,0.75,36,12,,,,,False,constant_or_nonfinite_score
constant_confidence,matching_risk,matching_single_mean,pca10_primary,0.8,39,9,,,,,False,constant_or_nonfinite_score
constant_confidence,matching_risk,matching_single_mean,pca10_primary,0.85,41,7,,,,,False,constant_or_nonfinite_score
constant_confidence,matching_risk,matching_single_mean,pca10_primary,0.9,44,4,,,,,False,constant_or_nonfinite_score
constant_confidence,matching_risk,matching_single_mean,pca10_primary,0.95,46,2,,,,,False,constant_or_nonfinite_score
constant_confidence,matching_risk,matching_single_mean,pca10_primary,1.0,48,0,,,,,False,constant_or_nonfinite_score
constant_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.5,24,24,,,,,False,constant_or_nonfinite_score
constant_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.55,27,21,,,,,False,constant_or_nonfinite_score
constant_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.6,29,19,,,,,False,constant_or_nonfinite_score
constant_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.65,32,16,,,,,False,constant_or_nonfinite_score
constant_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.7,34,14,,,,,False,constant_or_nonfinite_score
constant_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.75,36,12,,,,,False,constant_or_nonfinite_score
constant_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.8,39,9,,,,,False,constant_or_nonfinite_score
constant_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.85,41,7,,,,,False,constant_or_nonfinite_score
constant_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.9,44,4,,,,,False,constant_or_nonfinite_score
constant_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.95,46,2,,,,,False,constant_or_nonfinite_score
constant_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,1.0,48,0,,,,,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,pca10_primary,0.5,24,24,,,,,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,pca10_primary,0.55,27,21,,,,,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,pca10_primary,0.6,29,19,,,,,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,pca10_primary,0.65,32,16,,,,,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,pca10_primary,0.7,34,14,,,,,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,pca10_primary,0.75,36,12,,,,,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,pca10_primary,0.8,39,9,,,,,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,pca10_primary,0.85,41,7,,,,,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,pca10_primary,0.9,44,4,,,,,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,pca10_primary,0.95,46,2,,,,,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,pca10_primary,1.0,48,0,,,,,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.5,24,24,,,,,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.55,27,21,,,,,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.6,29,19,,,,,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.65,32,16,,,,,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.7,34,14,,,,,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.75,36,12,,,,,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.8,39,9,,,,,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.85,41,7,,,,,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.9,44,4,,,,,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.95,46,2,,,,,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,1.0,48,0,,,,,False,constant_or_nonfinite_score
raw_log_prob_seed3407,native_raw_score,prescribe_seed3407,pca10_primary,0.5,24,24,0.12651691548255115,0.2361929655325282,0.5,1.0,True,
raw_log_prob_seed3407,native_raw_score,prescribe_seed3407,pca10_primary,0.55,27,21,0.12230443852078189,0.2472655831130845,0.5,1.1428571428571428,True,
raw_log_prob_seed3407,native_raw_score,prescribe_seed3407,pca10_primary,0.6,29,19,0.12129072487230004,0.24827816982793133,0.5,1.263157894736842,True,
raw_log_prob_seed3407,native_raw_score,prescribe_seed3407,pca10_primary,0.65,32,16,0.12017280201601542,0.25309584855942957,0.4,1.2,True,
raw_log_prob_seed3407,native_raw_score,prescribe_seed3407,pca10_primary,0.7,34,14,0.12235137852612231,0.2484574385002792,0.3,1.0285714285714285,True,
raw_log_prob_seed3407,native_raw_score,prescribe_seed3407,pca10_primary,0.75,36,12,0.12577535096577414,0.2427108999914287,0.1,0.39999999999999997,True,
raw_log_prob_seed3407,native_raw_score,prescribe_seed3407,pca10_primary,0.8,39,9,0.1221326141289482,0.25724927577719486,0.1,0.5333333333333333,True,
raw_log_prob_seed3407,native_raw_score,prescribe_seed3407,pca10_primary,0.85,41,7,0.12182215608809799,0.25602249622299594,0.1,0.6857142857142856,True,
raw_log_prob_seed3407,native_raw_score,prescribe_seed3407,pca10_primary,0.9,44,4,0.12244609243007103,0.2534722792412511,0.0,0.0,True,
raw_log_prob_seed3407,native_raw_score,prescribe_seed3407,pca10_primary,0.95,46,2,0.11898639257601643,0.2653844330241631,0.0,0.0,True,
raw_log_prob_seed3407,native_raw_score,prescribe_seed3407,pca10_primary,1.0,48,0,0.11984608258997446,0.26220943418867737,,,True,
raw_log_prob_seed3407,native_raw_score,prescribe_seed3407,raw_truth_sensitivity,0.5,24,24,0.1358540749419609,0.17143977658374424,0.5,1.0,True,
raw_log_prob_seed3407,native_raw_score,prescribe_seed3407,raw_truth_sensitivity,0.55,27,21,0.13212852860727853,0.1861998304072718,0.5,1.1428571428571428,True,
raw_log_prob_seed3407,native_raw_score,prescribe_seed3407,raw_truth_sensitivity,0.6,29,19,0.13115312338655366,0.1845099217083889,0.5,1.263157894736842,True,
raw_log_prob_seed3407,native_raw_score,prescribe_seed3407,raw_truth_sensitivity,0.65,32,16,0.12985096261520584,0.18850221556070015,0.4,1.2,True,
raw_log_prob_seed3407,native_raw_score,prescribe_seed3407,raw_truth_sensitivity,0.7,34,14,0.13217188191596596,0.1900619403141969,0.3,1.0285714285714285,True,
