file_name,relative_path,n_rows,n_unique_drug,top5_drug,n_unique_cell_line_id,top5_cell_line_id,n_unique_moa-fine,top5_moa-fine,n_unique_canonical_smiles,top5_canonical_smiles,n_unique_pubchem_cid,top5_pubchem_cid,n_unique_plate,top5_plate
train-00046-of-03388.parquet,mega_external/Tahoe-100M/data/train-00046-of-03388.parquet,28225,49,DMSO_TF:1157 | Clonidine (hydrochloride):946 | Goserelin (acetate):895 | Fusidic acid:862 | Selinexor:851,50,CVCL_0546:1632 | CVCL_0459:1408 | CVCL_0480:1097 | CVCL_1285:1006 | CVCL_0023:1001,13,unclear:17895 | DNA synthesis/repair inhibitor:1519 | Other TK inhibitor:1409 | Adrenoceptor agonist:1404 | JAK/STAT inhibitor:1271,49,:1157 | C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl:946 | CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6.CC(=O)O:895 | CC1C2CCC3(C(C2(CCC1O)C)C(CC4C3(CC(C4=C(CCC=C(C)C)C(=O)O)OC(=O)C)C)O)C:862 | C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F:851,49,:1157 | 20179.0:946 | 16052011.0:895 | 3000226.0:862 | 71481097.0:851,1,plate4:28225
train-00047-of-03388.parquet,mega_external/Tahoe-100M/data/train-00047-of-03388.parquet,28225,49,Quinestrol:876 | Aliskiren:833 | Palmatine (chloride):833 | (R)-Verapamil (hydrochloride):751 | Berbamine:747,50,CVCL_0546:1689 | CVCL_0459:1462 | CVCL_0480:1030 | CVCL_1285:972 | CVCL_0023:954,9,unclear:19822 | DNA synthesis/repair inhibitor:2289 | Cyclooxygenase inhibitor:1774 | MTOR inhibitor:1180 | JAK/STAT inhibitor:1000,49,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5:876 | CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N:833 | COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC.[Cl-]:833 | CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC.Cl:751 | CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)O)OC:747,49,9046.0:876 | 5493444.0:833 | 73442.0:833 | 170014.0:751 | 275182.0:747,1,plate4:28225
train-00048-of-03388.parquet,mega_external/Tahoe-100M/data/train-00048-of-03388.parquet,28225,47,Clonidine (hydrochloride):922 | Adagrasib:921 | Selinexor:901 | Fusidic acid:884 | Goserelin (acetate):837,50,CVCL_0546:1748 | CVCL_0459:1513 | CVCL_0480:1002 | CVCL_0399:996 | CVCL_1285:981,13,unclear:18203 | DNA synthesis/repair inhibitor:1594 | Adrenoceptor agonist:1477 | Other TK inhibitor:1432 | JAK/STAT inhibitor:1400,47,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl:922 | CN1CCCC1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN(C(C6)CC#N)C(=O)C(=C)F:921 | C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F:901 | CC1C2CCC3(C(C2(CCC1O)C)C(CC4C3(CC(C4=C(CCC=C(C)C)C(=O)O)OC(=O)C)C)O)C:884 | CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6.CC(=O)O:837,47,20179.0:922 | 138611145.0:921 | 71481097.0:901 | 3000226.0:884 | 16052011.0:837,1,plate4:28225
train-00049-of-03388.parquet,mega_external/Tahoe-100M/data/train-00049-of-03388.parquet,28225,50,DMSO_TF:1236 | Quinestrol:894 | Aliskiren:778 | Palmatine (chloride):758 | (R)-Verapamil (hydrochloride):738,50,CVCL_0546:1623 | CVCL_0459:1499 | CVCL_0480:1085 | CVCL_1285:955 | CVCL_0131:896,10,unclear:18937 | DNA synthesis/repair inhibitor:2172 | Cyclooxygenase inhibitor:1754 | :1236 | MTOR inhibitor:1135,50,:1236 | CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5:894 | CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N:778 | COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC.[Cl-]:758 | CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC.Cl:738,50,:1236 | 9046.0:894 | 5493444.0:778 | 73442.0:758 | 170014.0:738,1,plate4:28225
train-00050-of-03388.parquet,mega_external/Tahoe-100M/data/train-00050-of-03388.parquet,28225,48,DMSO_TF:1221 | Clonidine (hydrochloride):940 | Selinexor:871 | Fusidic acid:864 | Goserelin (acetate):818,50,CVCL_0546:1682 | CVCL_0459:1484 | CVCL_0480:1049 | CVCL_0399:991 | CVCL_1285:936,13,unclear:17733 | DNA synthesis/repair inhibitor:1543 | Adrenoceptor agonist:1438 | Other TK inhibitor:1374 | JAK/STAT inhibitor:1242,48,:1221 | C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl:940 | C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F:871 | CC1C2CCC3(C(C2(CCC1O)C)C(CC4C3(CC(C4=C(CCC=C(C)C)C(=O)O)OC(=O)C)C)O)C:864 | CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6.CC(=O)O:818,48,:1221 | 20179.0:940 | 71481097.0:871 | 3000226.0:864 | 16052011.0:818,1,plate4:28225
train-00051-of-03388.parquet,mega_external/Tahoe-100M/data/train-00051-of-03388.parquet,28225,50,Quinestrol:919 | Palmatine (chloride):776 | Aliskiren:765 | Berbamine:744 | Terfenadine:732,50,CVCL_0546:1680 | CVCL_0459:1507 | CVCL_0399:1025 | CVCL_0480:972 | CVCL_1285:930,9,unclear:19769 | DNA synthesis/repair inhibitor:2340 | Cyclooxygenase inhibitor:1811 | MTOR inhibitor:1205 | JAK/STAT inhibitor:998,50,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5:919 | COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC.[Cl-]:776 | CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N:765 | CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)O)OC:744 | CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O:732,50,9046.0:919 | 73442.0:776 | 5493444.0:765 | 275182.0:744 | 5405.0:732,1,plate4:28225
train-00052-of-03388.parquet,mega_external/Tahoe-100M/data/train-00052-of-03388.parquet,28225,46,Adagrasib:936 | Clonidine (hydrochloride):923 | Selinexor:912 | Goserelin (acetate):879 | Fusidic acid:875,50,CVCL_0546:1766 | CVCL_0459:1483 | CVCL_0480:1031 | CVCL_0399:968 | CVCL_1285:959,13,unclear:17939 | DNA synthesis/repair inhibitor:1635 | Other TK inhibitor:1427 | Adrenoceptor agonist:1422 | JAK/STAT inhibitor:1352,46,CN1CCCC1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN(C(C6)CC#N)C(=O)C(=C)F:936 | C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl:923 | C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F:912 | CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6.CC(=O)O:879 | CC1C2CCC3(C(C2(CCC1O)C)C(CC4C3(CC(C4=C(CCC=C(C)C)C(=O)O)OC(=O)C)C)O)C:875,46,138611145.0:936 | 20179.0:923 | 71481097.0:912 | 16052011.0:879 | 3000226.0:875,1,plate4:28225
train-00053-of-03388.parquet,mega_external/Tahoe-100M/data/train-00053-of-03388.parquet,28225,53,Quinestrol:933 | DMSO_TF:787 | Palmatine (chloride):766 | Aliskiren:707 | Pasireotide (acetate):701,50,CVCL_0546:1639 | CVCL_0459:1504 | CVCL_0480:1103 | CVCL_1285:985 | CVCL_0023:957,10,unclear:19452 | DNA synthesis/repair inhibitor:2118 | Cyclooxygenase inhibitor:1709 | MTOR inhibitor:1145 | JAK/STAT inhibitor:851,53,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5:933 | :787 | COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC.[Cl-]:766 | CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N:707 | CC(=O)O.C1C(CN2C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C2=O)CC3=CC=CC=C3)CC4=CC=C(C=C4)OCC5=CC=CC=C5)CCCCN)CC6=CNC7=CC=CC=C76)C8=CC=CC=C8)OC(=O)NCCN:701,53,9046.0:933 | :787 | 73442.0:766 | 5493444.0:707 | 72205932.0:701,1,plate4:28225
train-00054-of-03388.parquet,mega_external/Tahoe-100M/data/train-00054-of-03388.parquet,28225,48,DMSO_TF:1192 | Selinexor:879 | Adagrasib:878 | Clonidine (hydrochloride):874 | Goserelin (acetate):822,50,CVCL_0546:1746 | CVCL_0459:1450 | CVCL_0480:996 | CVCL_1285:967 | CVCL_0399:941,13,unclear:17488 | DNA synthesis/repair inhibitor:2013 | Other TK inhibitor:1357 | Adrenoceptor agonist:1237 | JAK/STAT inhibitor:1213,48,:1192 | C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F:879 | CN1CCCC1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN(C(C6)CC#N)C(=O)C(=C)F:878 | C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl:874 | CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6.CC(=O)O:822,48,:1192 | 71481097.0:879 | 138611145.0:878 | 20179.0:874 | 16052011.0:822,1,plate4:28225
train-00055-of-03388.parquet,mega_external/Tahoe-100M/data/train-00055-of-03388.parquet,28225,55,Quinestrol:856 | Aliskiren:803 | Palmatine (chloride):767 | (R)-Verapamil (hydrochloride):711 | Larotrectinib:710,50,CVCL_0546:1734 | CVCL_0459:1462 | CVCL_0480:1022 | CVCL_1285:967 | CVCL_0399:960,10,unclear:18933 | DNA synthesis/repair inhibitor:2271 | Cyclooxygenase inhibitor:1715 | MTOR inhibitor:1145 | JAK/STAT inhibitor:856,55,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5:856 | CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N:803 | COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC.[Cl-]:767 | CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC.Cl:711 | C1CC(N(C1)C2=NC3=C(C=NN3C=C2)NC(=O)N4CCC(C4)O)C5=C(C=CC(=C5)F)F:710,55,9046.0:856 | 5493444.0:803 | 73442.0:767 | 170014.0:711 | 46188928.0:710,1,plate4:28225
train-00056-of-03388.parquet,mega_external/Tahoe-100M/data/train-00056-of-03388.parquet,28225,46,DMSO_TF:1210 | Clonidine (hydrochloride):934 | Selinexor:846 | Goserelin (acetate):823 | Adagrasib:823,50,CVCL_0546:1646 | CVCL_0459:1534 | CVCL_0480:1061 | CVCL_1285:989 | CVCL_0131:926,14,unclear:17552 | DNA synthesis/repair inhibitor:1482 | JAK/STAT inhibitor:1241 | :1210 | Adrenoceptor agonist:934,46,:1210 | C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl:934 | C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F:846 | CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6.CC(=O)O:823 | CN1CCCC1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN(C(C6)CC#N)C(=O)C(=C)F:823,46,:1210 | 20179.0:934 | 71481097.0:846 | 16052011.0:823 | 138611145.0:823,1,plate4:28225
