dataset_name,validation_mode,dropped_group,dropped_features,n_features_kept,n,n_task_clusters,n_bootstrap,delta_partial_rho_control_magnitude_point,delta_aurc_reduction_vs_random_pct_point,delta_top10_enrichment_point,delta_partial_rho_control_magnitude_ci_low,delta_partial_rho_control_magnitude_ci_high,delta_aurc_reduction_vs_random_pct_ci_low,delta_aurc_reduction_vs_random_pct_ci_high,delta_top10_enrichment_ci_low,delta_top10_enrichment_ci_high
McFarlandTsherniak2020,lopo,historical,perturbation_effect_stability;perturbation_effect_variance;historical_residual_risk,11,1163,1163,1000,0.0670853917407278,3.155990859073558,0.0,0.02611892303766435,0.1092258393435214,1.7131491545656603,4.619711153534963,-0.5097523559062025,0.509752355906202
SantinhaPlatt2023,lopo,historical,perturbation_effect_stability;perturbation_effect_variance;historical_residual_risk,11,273,273,1000,-0.03765436834157565,-5.959223993194112,-0.3482142857142856,-0.1127232590889614,0.03946865353130141,-9.564494836162327,-3.0276703057407115,-1.392857142857143,1.3928571428571428
SrivatsanTrapnell2020_sciplex3,lopo,historical,perturbation_effect_stability;perturbation_effect_variance;historical_residual_risk,11,564,564,1000,-0.0023961456117538305,-2.1397914188560208,-0.8679593721144974,-0.030901983161063205,0.025023840694363888,-3.4942695907313723,-0.9082994032076126,-2.430286241920591,0.34718374884579895
CuiHacohen2023,lopo,disagreement,model_disagreement_rmse;model_disagreement_cosine,12,1253,1253,1000,0.01065841959696956,0.38874113444362735,0.7103174603174609,-0.0002463062375936462,0.020951354166847284,-0.05521011828541802,0.8314696917174466,0.07892416225749521,1.026014109347443
Frangieh,lopo,disagreement,model_disagreement_rmse;model_disagreement_cosine,12,633,633,1000,0.1848012690645972,1.0657010745647746,-0.30908203125,0.14874711384435788,0.21866866302546015,0.8283311288858819,1.2962237486552608,-1.081787109375,0.30908203125
LaraAstiasoHuntly2023_exvivo,lopo,disagreement,model_disagreement_rmse;model_disagreement_cosine,12,323,323,1000,-0.02543733406206461,-3.9157904674528794,0.0,-0.03813185424386853,-0.013456879369313866,-5.335135993188365,-2.5554047285249157,0.0,0.0
LaraAstiasoHuntly2023_invivo,lopo,disagreement,model_disagreement_rmse;model_disagreement_cosine,12,375,375,1000,0.0008879381035894474,0.6464274714098579,0.25969529085872556,-0.014617443596178618,0.018270574531187606,-2.035718318372206,2.958518285005803,0.0,1.038781163434903
McFarlandTsherniak2020,lopo,disagreement,model_disagreement_rmse;model_disagreement_cosine,12,1163,1163,1000,0.01712813936780133,0.021002490658290185,0.0,-0.0003291098161570177,0.03547071180775428,-0.7850091974322975,0.8439999179815006,-0.42479362992183534,0.25487617795310147
SantinhaPlatt2023,lopo,disagreement,model_disagreement_rmse;model_disagreement_cosine,12,273,273,1000,-0.0220919853349667,-1.584066292389501,-0.3482142857142856,-0.04832181098490393,0.004799178627247487,-3.028883415038409,-0.3516748733182818,-1.0446428571428572,0.3482142857142858
SrivatsanTrapnell2020_sciplex3,lopo,disagreement,model_disagreement_rmse;model_disagreement_cosine,12,564,564,1000,0.018938894056647615,0.26915252731839345,-0.6943674976915988,0.0070947288524545625,0.032082772353623557,-0.19819353963647837,0.7751934718203485,-1.5623268698060935,0.17359187442289858
CuiHacohen2023,lopo,ood,ood_nearest_distance;ood_mean_k_distance,12,1253,1253,1000,-0.0021733628759400547,0.021122882399019716,0.2367724867724874,-0.006860570588753559,0.002836273862892791,-0.1994235081058097,0.25744793166054386,-0.23677248677248652,0.3946208112874787
Frangieh,lopo,ood,ood_nearest_distance;ood_mean_k_distance,12,633,633,1000,-0.004414192769678693,0.10462301815846686,0.0,-0.01519840664263723,0.006533791980122041,0.0139144834851916,0.20194064006538104,-0.463623046875,0.772705078125
LaraAstiasoHuntly2023_exvivo,lopo,ood,ood_nearest_distance;ood_mean_k_distance,12,323,323,1000,-0.001271935162459048,-0.051287905175406934,0.0,-0.007790515117773497,0.005604628058191527,-0.9302322765961545,0.9476791843817977,0.0,0.0
LaraAstiasoHuntly2023_invivo,lopo,ood,ood_nearest_distance;ood_mean_k_distance,12,375,375,1000,0.007311560073092416,0.4838531225791556,-0.2596952908587258,-0.007570401413979635,0.021376403510531376,-0.8334565021217664,1.7875792862726354,-1.038781163434903,0.259695290858726
McFarlandTsherniak2020,lopo,ood,ood_nearest_distance;ood_mean_k_distance,12,1163,1163,1000,0.015753011317673427,0.35813899502553426,0.0,0.0042576630735441014,0.027794209491673678,-0.13618090347530137,0.8533341315127919,-0.4247936299218349,0.254876177953101
SantinhaPlatt2023,lopo,ood,ood_nearest_distance;ood_mean_k_distance,12,273,273,1000,0.0016010399835544864,-1.0237226210381642,-0.6964285714285714,-0.016433950424871988,0.019194448676760578,-2.191025722088632,0.23202800583387237,-1.3928571428571428,0.6964285714285712
SrivatsanTrapnell2020_sciplex3,lopo,ood,ood_nearest_distance;ood_mean_k_distance,12,564,564,1000,0.006413874588300672,0.3236037897555484,-0.6943674976915988,-0.0004132687845896182,0.013205896618765693,-0.13646132504675182,0.9211519846825288,-0.8679593721144974,0.17359187442290036
CuiHacohen2023,lopo,prediction_output,prediction_magnitude_deviation;prediction_l2_norm;prediction_abs_mean;prediction_norm_ratio,10,1253,1253,1000,-0.001852871156976299,-0.2097548718480553,-0.31569664902998174,-0.013398829273757774,0.009232372737336625,-0.5638929184259022,0.10629200125603135,-0.9470899470899465,-0.07892416225749521
Frangieh,lopo,prediction_output,prediction_magnitude_deviation;prediction_l2_norm;prediction_abs_mean;prediction_norm_ratio,10,633,633,1000,0.11015425892368391,1.6802951842108396,2.16357421875,0.05841396675558986,0.1724590478297768,0.8705789486260367,2.760570799922295,1.390869140625,3.39990234375
LaraAstiasoHuntly2023_exvivo,lopo,prediction_output,prediction_magnitude_deviation;prediction_l2_norm;prediction_abs_mean;prediction_norm_ratio,10,323,323,1000,-0.015083868772234998,-4.051234871694938,0.0,-0.03382615043608534,0.0026273711130200437,-5.788430577997791,-2.3092938737398376,-0.593204775022957,0.0
LaraAstiasoHuntly2023_invivo,lopo,prediction_output,prediction_magnitude_deviation;prediction_l2_norm;prediction_abs_mean;prediction_norm_ratio,10,375,375,1000,0.03217062122587033,-2.7258959252869417,-1.038781163434903,0.010039421602220017,0.05414998126757544,-4.5081094608949,-0.7029794738750668,-2.0775623268698062,-0.2596952908587258
McFarlandTsherniak2020,lopo,prediction_output,prediction_magnitude_deviation;prediction_l2_norm;prediction_abs_mean;prediction_norm_ratio,10,1163,1163,1000,0.00970631303433711,-0.2589233677291034,-0.08495872598436671,-0.004561912907718917,0.02406723740310268,-0.8296166815046296,0.24988755172374713,-0.509752355906202,0.254876177953101
SantinhaPlatt2023,lopo,prediction_output,prediction_magnitude_deviation;prediction_l2_norm;prediction_abs_mean;prediction_norm_ratio,10,273,273,1000,0.024615650440528047,0.8999889790353954,-0.6964285714285714,-0.005715994607359991,0.05241451401764633,-0.22926960835794138,2.0823175922715267,-1.3928571428571428,1.0446428571428572
SrivatsanTrapnell2020_sciplex3,lopo,prediction_output,prediction_magnitude_deviation;prediction_l2_norm;prediction_abs_mean;prediction_norm_ratio,10,564,564,1000,0.16641817734773634,4.8956169112514445,0.694367497691597,0.12673156678995184,0.20741429404704467,3.18261087699506,6.66251715583163,0.0,2.083102493074793
CuiHacohen2023,lodo_lopo,context,context_similarity_max;context_similarity_mean,12,1253,1253,1000,0.03382521934660487,1.9121913045903085,-0.23677248677248697,0.01358875903599814,0.05487667036625348,0.6523953275971529,3.3071154867909556,-0.4735449735449735,0.3156966490299826
Frangieh,lodo_lopo,context,context_similarity_max;context_similarity_mean,12,633,633,1000,-0.13973749458899906,0.1500453915012745,-0.30908203125,-0.19087499650066778,-0.08664946429419128,-0.295528474638797,0.6251456274372723,-1.236328125,0.6181640625
LaraAstiasoHuntly2023_exvivo,lodo_lopo,context,context_similarity_max;context_similarity_mean,12,323,323,1000,0.053303232808046164,16.290760886476,0.2966023875114784,0.024987518863104397,0.08122925855496212,10.566067263639896,22.12847545480835,0.0,1.4830119375573922
LaraAstiasoHuntly2023_invivo,lodo_lopo,context,context_similarity_max;context_similarity_mean,12,375,375,1000,-0.052147671595534906,-4.820330682217197,-0.2596952908587259,-0.09226694208891004,-0.011146162988123806,-10.4281932079026,1.5828735093538895,-0.7790858725761773,0.0
McFarlandTsherniak2020,lodo_lopo,context,context_similarity_max;context_similarity_mean,12,1163,1163,1000,0.11660884158058596,-0.1233443496197939,0.6796698078749359,0.07116947517788168,0.1640496561266026,-3.4773689887553605,2.778099650834564,0.0,1.1894221637811386
SantinhaPlatt2023,lodo_lopo,context,context_similarity_max;context_similarity_mean,12,273,273,1000,-0.014077692896244526,-4.2161902837689755,0.0,-0.07681346774535011,0.04018186509454735,-8.35741994845412,0.3217051991083455,-0.6964285714285715,0.0
SrivatsanTrapnell2020_sciplex3,lodo_lopo,context,context_similarity_max;context_similarity_mean,12,564,564,1000,-0.03577686488392817,-0.16168259277440455,0.6943674976915974,-0.05960535904699081,-0.009682124383888296,-1.4093574253869743,1.2084443438362913,-0.17359187442289947,1.2151431209602959
CuiHacohen2023,lodo_lopo,support,perturbation_support_count,13,1253,1253,1000,-0.028827944008510298,-1.1647570247388543,-0.1578483245149913,-0.048528722383596117,-0.010407020709150398,-3.0752047999363836,0.5064347388442993,-0.5524691358024691,0.3156966490299822
Frangieh,lodo_lopo,support,perturbation_support_count,13,633,633,1000,0.1899532944741571,1.5194717913945865,0.92724609375,0.15379155314217074,0.22885983458085954,1.0864563236263127,1.991447354323249,0.154541015625,1.699951171875
LaraAstiasoHuntly2023_exvivo,lodo_lopo,support,perturbation_support_count,13,323,323,1000,0.004190774046601509,0.1168553933668548,0.0,-0.01582610252102928,0.024625483742353335,-2.580004938891311,2.828935871462729,-0.2966023875114785,0.0
LaraAstiasoHuntly2023_invivo,lodo_lopo,support,perturbation_support_count,13,375,375,1000,-0.05219090960523365,-8.7207125277627,0.7790858725761772,-0.10213809269830461,-0.009842685664831983,-17.015338804720685,-1.4177560399864386,0.0,1.564664127423817
McFarlandTsherniak2020,lodo_lopo,support,perturbation_support_count,13,1163,1163,1000,-0.027439647740051337,-0.1001349361928554,-0.08495872598436716,-0.05054128134244718,-0.005159718539823538,-1.5967140004371125,1.5810868773683682,-0.509752355906202,0.16991745196873387
SantinhaPlatt2023,lodo_lopo,support,perturbation_support_count,13,273,273,1000,0.018858915291356887,0.9585250396588673,0.0,-0.018663516156562046,0.05380469583193833,-1.9869088977030174,4.374623077083923,-0.6964285714285715,0.0
SrivatsanTrapnell2020_sciplex3,lodo_lopo,support,perturbation_support_count,13,564,564,1000,-0.027386913930131707,-1.311086231810748,0.34718374884579895,-0.04354982050738131,-0.013103902970181058,-2.1943522525509866,-0.35222846990959733,-0.17793167128347256,0.8679593721144969
CuiHacohen2023,lodo_lopo,historical,perturbation_effect_stability;perturbation_effect_variance;historical_residual_risk,11,1253,1253,1000,0.053783960125964536,-0.9555622727657074,0.0,0.015178720318282957,0.09214869834381681,-3.3447125786251872,1.3548210856151757,-0.39462081128747784,0.6313932980599648
Frangieh,lodo_lopo,historical,perturbation_effect_stability;perturbation_effect_variance;historical_residual_risk,11,633,633,1000,-0.5413787188153758,-2.6889281980679414,-2.47265625,-0.6093324506451168,-0.4658993603460274,-3.217781698386577,-2.1441149436857225,-3.554443359375,-0.92724609375
LaraAstiasoHuntly2023_exvivo,lodo_lopo,historical,perturbation_effect_stability;perturbation_effect_variance;historical_residual_risk,11,323,323,1000,0.054083616993781725,2.558384582732824,0.2966023875114784,0.02937762061182286,0.08317313469390826,0.1784326994168591,5.050276232003518,0.0,1.483011937557392
LaraAstiasoHuntly2023_invivo,lodo_lopo,historical,perturbation_effect_stability;perturbation_effect_variance;historical_residual_risk,11,375,375,1000,0.028525760877046613,0.5385337708971498,0.25969529085872567,-0.012016855268565935,0.07789906057941487,-5.201300983322034,6.726617407150904,-0.5193905817174514,1.2984764542936287
McFarlandTsherniak2020,lodo_lopo,historical,perturbation_effect_stability;perturbation_effect_variance;historical_residual_risk,11,1163,1163,1000,0.06621379295270802,5.801001965938912,0.08495872598436671,0.03772426244746238,0.09793054807117689,2.310270871860393,9.279267392702181,-0.42479362992183534,0.5947110818905688
SantinhaPlatt2023,lodo_lopo,historical,perturbation_effect_stability;perturbation_effect_variance;historical_residual_risk,11,273,273,1000,0.07456068330676494,2.1181178250484622,0.3482142857142858,-0.015692385480122143,0.1644942678881521,-5.664574156601705,9.976263365546817,-0.6964285714285715,1.3928571428571428
SrivatsanTrapnell2020_sciplex3,lodo_lopo,historical,perturbation_effect_stability;perturbation_effect_variance;historical_residual_risk,11,564,564,1000,-0.009496002525073433,-1.0413930083057004,-1.041551246537396,-0.04457999899931664,0.02329308077591838,-2.689230617781761,0.43675784177505855,-2.6038781163434908,-0.17359187442289858
CuiHacohen2023,lodo_lopo,disagreement,model_disagreement_rmse;model_disagreement_cosine,12,1253,1253,1000,0.04227610153996314,3.2191390051388353,-0.1578483245149913,0.02992858909959022,0.05504234593097014,1.7775267698915433,4.896492839518071,-0.39462081128747784,0.15784832451499087
Frangieh,lodo_lopo,disagreement,model_disagreement_rmse;model_disagreement_cosine,12,633,633,1000,0.22004639293941725,0.9223052625167512,0.154541015625,0.17804744357088054,0.2618805457073298,0.6284568165438862,1.2610591838012648,-0.4674865722656248,0.772705078125
LaraAstiasoHuntly2023_exvivo,lodo_lopo,disagreement,model_disagreement_rmse;model_disagreement_cosine,12,323,323,1000,0.035327338123246954,2.636169735870947,0.5932047750229568,0.01881984596656913,0.054478210186989916,0.5218299192552819,5.075639643635259,0.0,1.7796143250688705
LaraAstiasoHuntly2023_invivo,lodo_lopo,disagreement,model_disagreement_rmse;model_disagreement_cosine,12,375,375,1000,0.007533725408026437,5.511274892749997,0.25969529085872567,-0.021862588312388232,0.03550577242670913,0.4362684150445851,10.86498619836077,0.0,0.7790858725761773
McFarlandTsherniak2020,lodo_lopo,disagreement,model_disagreement_rmse;model_disagreement_cosine,12,1163,1163,1000,-0.0049656533748442255,-0.2596105453157893,0.16991745196873387,-0.03144033474524083,0.019760954316575916,-1.7537334766107269,1.186534020910928,-0.3398349039374682,0.33983490393746796
SantinhaPlatt2023,lodo_lopo,disagreement,model_disagreement_rmse;model_disagreement_cosine,12,273,273,1000,0.0033063671939463635,0.7562666833928269,0.3482142857142858,-0.021878295639726895,0.027656777893024762,-1.2878707579053104,2.666924696554894,0.0,0.6964285714285716
SrivatsanTrapnell2020_sciplex3,lodo_lopo,disagreement,model_disagreement_rmse;model_disagreement_cosine,12,564,564,1000,0.04356837815120995,0.9078616152218437,0.5207756232686984,0.025451580646887052,0.06323288377299927,-0.04214736468858476,2.006053793441845,-0.17359187442289947,1.0415512465373964
CuiHacohen2023,lodo_lopo,ood,ood_nearest_distance;ood_mean_k_distance,12,1253,1253,1000,-0.008193361599306948,-0.28569527705309383,-0.1578483245149913,-0.016102227966732066,-0.00022026109999355545,-0.8749897139807996,0.22985335267137505,-0.3156966490299822,0.3156966490299822
Frangieh,lodo_lopo,ood,ood_nearest_distance;ood_mean_k_distance,12,633,633,1000,-0.02866418999607709,0.07807660364018432,0.772705078125,-0.0672460235001839,0.005958318526254644,-0.1788769259087127,0.3336129995690757,-0.154541015625,1.236328125
LaraAstiasoHuntly2023_exvivo,lodo_lopo,ood,ood_nearest_distance;ood_mean_k_distance,12,323,323,1000,-0.00938442413135221,-0.011827371862146663,0.2966023875114784,-0.019986263086238968,0.0009590839437511156,-1.4251411319877492,1.4005210028157875,0.0,1.1864095500459138
LaraAstiasoHuntly2023_invivo,lodo_lopo,ood,ood_nearest_distance;ood_mean_k_distance,12,375,375,1000,0.022392295647268856,1.586888062552557,0.0,0.004823157192876829,0.03973167489512302,-2.515143831255607,5.409881551034785,-0.7790858725761772,0.259695290858726
McFarlandTsherniak2020,lodo_lopo,ood,ood_nearest_distance;ood_mean_k_distance,12,1163,1163,1000,0.01066084078933513,-0.7111837838670922,0.0,0.001955385496896937,0.02047979900541818,-1.5244704880817068,0.03773842447662743,-0.25487617795310147,0.1699174519687343
SantinhaPlatt2023,lodo_lopo,ood,ood_nearest_distance;ood_mean_k_distance,12,273,273,1000,0.009393963506659664,0.5743817956317802,0.0,-0.005522815847542162,0.023972867898553893,-1.793076430594303,3.1817298800863636,-0.6964285714285714,0.0
SrivatsanTrapnell2020_sciplex3,lodo_lopo,ood,ood_nearest_distance;ood_mean_k_distance,12,564,564,1000,0.016275792694369295,0.7692224265124779,0.5207756232686984,0.0033422499228590806,0.029471100236282285,0.11056707291892796,1.5528193466047553,-0.17359187442289947,1.0415512465373964
CuiHacohen2023,lodo_lopo,prediction_output,prediction_magnitude_deviation;prediction_l2_norm;prediction_abs_mean;prediction_norm_ratio,10,1253,1253,1000,-0.007402357786398639,0.09278428581478693,-0.3156966490299826,-0.025325786775022778,0.011169291578084092,-1.0781704586789551,1.2153603384312173,-0.6313932980599652,0.1598214285714269
Frangieh,lodo_lopo,prediction_output,prediction_magnitude_deviation;prediction_l2_norm;prediction_abs_mean;prediction_norm_ratio,10,633,633,1000,0.4221596788595937,9.312052238160879,2.318115234375,0.36739755100651766,0.4759214665399105,7.278236126610718,11.413854143419467,1.390869140625,3.39990234375
LaraAstiasoHuntly2023_exvivo,lodo_lopo,prediction_output,prediction_magnitude_deviation;prediction_l2_norm;prediction_abs_mean;prediction_norm_ratio,10,323,323,1000,0.019466646867314696,-0.16470302578922258,0.0,0.0006037832949550935,0.0395566994061547,-2.3710002534235057,2.250893858888985,0.0,0.8898071625344353
LaraAstiasoHuntly2023_invivo,lodo_lopo,prediction_output,prediction_magnitude_deviation;prediction_l2_norm;prediction_abs_mean;prediction_norm_ratio,10,375,375,1000,0.02430373487302684,-2.6955665100822657,0.0,0.00334300068436699,0.045774600921710346,-5.7528127487784095,0.3124356841745299,-0.5193905817174518,0.5193905817174514
McFarlandTsherniak2020,lodo_lopo,prediction_output,prediction_magnitude_deviation;prediction_l2_norm;prediction_abs_mean;prediction_norm_ratio,10,1163,1163,1000,-0.06925262487760267,-4.2042707720586865,-0.08495872598436716,-0.09431304378193289,-0.0426808870222283,-5.426461386136002,-2.8259581823574575,-0.5947110818905692,0.33983490393746774
SantinhaPlatt2023,lodo_lopo,prediction_output,prediction_magnitude_deviation;prediction_l2_norm;prediction_abs_mean;prediction_norm_ratio,10,273,273,1000,0.01694457376648656,2.9160085331874117,0.3482142857142858,-0.016965396952878478,0.04884775799260604,0.6959274098134222,5.649639695091006,-0.6964285714285714,0.6964285714285715
SrivatsanTrapnell2020_sciplex3,lodo_lopo,prediction_output,prediction_magnitude_deviation;prediction_l2_norm;prediction_abs_mean;prediction_norm_ratio,10,564,564,1000,0.2637947629149836,8.21510711472942,1.0415512465373964,0.2136161839578061,0.3131692114260588,5.492479101620351,11.052739242869558,0.34718374884579895,1.9095106186518933
