fold_id,setting,score,n_tasks,spearman,mean_error,accepted_nested_q80_fraction,accepted_nested_q80_mean_error
frangieh_context_holdout_3_IFNγ,context_and_perturbation_unseen,safeconf_nested_hard_risk,30,0.09499443826473859,0.05477054144348794,0.9666666666666667,0.054930350914533285
frangieh_context_holdout_3_IFNγ,context_and_perturbation_unseen,safeconf_calibrated_pair_risk,30,,0.05477054144348794,0.9666666666666667,0.054930350914533285
frangieh_context_holdout_3_IFNγ,context_and_perturbation_unseen,safeconf_frozen_pair_risk,30,0.09944382647385984,0.05477054144348794,0.9666666666666667,0.054930350914533285
frangieh_context_holdout_3_IFNγ,context_and_perturbation_unseen,risk_model_disagreement,30,0.09944382647385984,0.05477054144348794,0.9666666666666667,0.054930350914533285
frangieh_context_holdout_3_IFNγ,context_and_perturbation_unseen,baseline_predicted_magnitude,30,0.09810901001112346,0.05477054144348794,0.9666666666666667,0.054930350914533285
frangieh_context_holdout_3_IFNγ,context_unseen_row,safeconf_nested_hard_risk,159,0.2013868830509301,0.05673567578171864,0.9748427672955975,0.056626819528199326
frangieh_context_holdout_3_IFNγ,context_unseen_row,safeconf_calibrated_pair_risk,159,0.009624959896083984,0.05673567578171864,0.9748427672955975,0.056626819528199326
frangieh_context_holdout_3_IFNγ,context_unseen_row,safeconf_frozen_pair_risk,159,0.1357774062574636,0.05673567578171864,0.9748427672955975,0.056626819528199326
frangieh_context_holdout_3_IFNγ,context_unseen_row,risk_model_disagreement,159,0.20360938619536664,0.05673567578171864,0.9748427672955975,0.056626819528199326
frangieh_context_holdout_3_IFNγ,context_unseen_row,baseline_predicted_magnitude,159,0.2086816336278959,0.05673567578171864,0.9748427672955975,0.056626819528199326
frangieh_context_holdout_3_IFNγ,perturbation_unseen_column,safeconf_nested_hard_risk,60,0.06846346207279802,0.05118265829833922,1.0,0.05118265829833922
frangieh_context_holdout_3_IFNγ,perturbation_unseen_column,safeconf_calibrated_pair_risk,60,,0.05118265829833922,1.0,0.05118265829833922
frangieh_context_holdout_3_IFNγ,perturbation_unseen_column,safeconf_frozen_pair_risk,60,0.07001944984717978,0.05118265829833922,1.0,0.05118265829833922
frangieh_context_holdout_3_IFNγ,perturbation_unseen_column,risk_model_disagreement,60,0.07001944984717978,0.05118265829833922,1.0,0.05118265829833922
frangieh_context_holdout_3_IFNγ,perturbation_unseen_column,baseline_predicted_magnitude,60,0.09552653514865242,0.05118265829833922,1.0,0.05118265829833922
frangieh_context_holdout_3_IFNγ,random_missing_pair,safeconf_nested_hard_risk,30,-0.25339265850945497,0.05089060743069563,1.0,0.05089060743069563
frangieh_context_holdout_3_IFNγ,random_missing_pair,safeconf_calibrated_pair_risk,30,-0.011329066016295181,0.05089060743069563,1.0,0.05089060743069563
frangieh_context_holdout_3_IFNγ,random_missing_pair,safeconf_frozen_pair_risk,30,-0.17908787541713014,0.05089060743069563,1.0,0.05089060743069563
frangieh_context_holdout_3_IFNγ,random_missing_pair,risk_model_disagreement,30,-0.2565072302558398,0.05089060743069563,1.0,0.05089060743069563
frangieh_context_holdout_3_IFNγ,random_missing_pair,baseline_predicted_magnitude,30,-0.23648498331479423,0.05089060743069563,1.0,0.05089060743069563
frangieh_context_holdout_3_IFNγ,all_test_settings_pooled,safeconf_nested_hard_risk,279,0.2789693055190859,0.05470167173268503,0.982078853046595,0.054627061767202854
frangieh_context_holdout_3_IFNγ,all_test_settings_pooled,safeconf_calibrated_pair_risk,279,0.24482850562956407,0.05470167173268503,0.982078853046595,0.054627061767202854
frangieh_context_holdout_3_IFNγ,all_test_settings_pooled,safeconf_frozen_pair_risk,279,0.2215131120909724,0.05470167173268503,0.982078853046595,0.054627061767202854
frangieh_context_holdout_3_IFNγ,all_test_settings_pooled,risk_model_disagreement,279,0.15397175347279782,0.05470167173268503,0.982078853046595,0.054627061767202854
frangieh_context_holdout_3_IFNγ,all_test_settings_pooled,baseline_predicted_magnitude,279,0.12323763109328206,0.05470167173268503,0.982078853046595,0.054627061767202854
