dataset,endpoint,score,n_folds,n_gene_clusters,fold_macro_spearman,ci95_low,ci95_high,delta_vs_magnitude,delta_vs_magnitude_ci95_low,delta_vs_magnitude_ci95_high,delta_vs_novelty,delta_vs_novelty_ci95_low,delta_vs_novelty_ci95_high,delta_vs_magnitude_plus_novelty,delta_vs_magnitude_plus_novelty_ci95_low,delta_vs_magnitude_plus_novelty_ci95_high
Nadig,error_centered_pearson_mean,directional_risk_frozen,2,96,0.7480961070758743,0.6835175487451827,0.7973283619343791,0.4683682641899559,0.36823335113907907,0.5765202577647617,0.37742512311173443,0.29184654779511776,0.4645396964469701,0.34808946891811055,0.263620086885067,0.4475639285758281
Nadig,error_centered_pearson_mean,magnitude,2,96,0.27972784288591834,0.16402667864421444,0.384023823750246,0.0,0.0,0.0,-0.09094314107822149,-0.21514945555150708,0.02476112489585298,-0.12027879527184537,-0.1823571922655042,-0.05809850452777047
Nadig,error_centered_pearson_mean,novelty,2,96,0.37067098396413983,0.27655403177426596,0.45190339913699823,0.09094314107822149,-0.024761124895853016,0.21514945555150697,0.0,0.0,0.0,-0.029335654193623883,-0.10499561026259217,0.04851634533830369
Nadig,error_centered_pearson_mean,disagreement,2,96,0.12222749954220838,0.01982286965344346,0.22566950732340135,-0.15750034334370996,-0.27531861988148915,-0.02164386813778603,-0.24844348442193145,-0.38990487919915545,-0.09268121847148517,-0.27777913861555537,-0.4002416402853608,-0.13046913537585764
Nadig,error_centered_pearson_mean,magnitude_plus_novelty,2,96,0.4000066381577637,0.29030808759361054,0.48673329727446457,0.12027879527184537,0.05809850452777047,0.1823571922655042,0.029335654193623883,-0.0485163453383038,0.10499561026259209,0.0,0.0,0.0
Replogle,direction_error_rank_target,directional_risk_frozen,2,128,0.19051784903018948,0.07201221276767768,0.30431707124529017,-0.01754869187607694,-0.16209367612754952,0.13200475455185307,0.15866018700094767,0.06904835658427232,0.2499123953636779,-0.008728720849770666,-0.09074636705475399,0.0783156655644061
Replogle,direction_error_rank_target,magnitude,2,128,0.20806654090626642,0.09952393255183523,0.3038443630255672,0.0,0.0,0.0,0.1762088788770246,-0.002437491564942173,0.354410970912188,0.008819971026306272,-0.08822749845756377,0.10280412550437593
Replogle,direction_error_rank_target,novelty,2,128,0.031857662029241805,-0.09002574065012624,0.15600369550358523,-0.1762088788770246,-0.354410970912188,0.002437491564941934,0.0,0.0,0.0,-0.16738890785071833,-0.27944829807998367,-0.056383273177989975
Replogle,direction_error_rank_target,disagreement,2,128,-0.03408475436462324,-0.1498394792704968,0.0823652924879408,-0.24215129527088966,-0.40928605413028607,-0.05648893583048637,-0.06594241639386506,-0.2350200691919988,0.10295507828645027,-0.2333313242445834,-0.39828743915011294,-0.055287209628482194
Replogle,direction_error_rank_target,magnitude_plus_novelty,2,128,0.19924656987996014,0.08400207817967495,0.3104853010060512,-0.008819971026306272,-0.10280412550437598,0.0882274984575636,0.16738890785071833,0.05638327317798993,0.27944829807998367,0.0,0.0,0.0
Replogle,error_centered_cosine_mean,directional_risk_frozen,2,128,0.18705924915839214,0.05759971985960603,0.30798189980639457,-0.024383385040445044,-0.1767190722425847,0.12958292629937398,0.15945065789173246,0.07578695903226117,0.24841148635080879,-0.012313420447061157,-0.09838175774862203,0.07193394016834286
Replogle,error_centered_cosine_mean,magnitude,2,128,0.2114426341988372,0.10284599097369018,0.3198620607927261,0.0,0.0,0.0,0.18383404293217748,-0.007061849882762829,0.3643461760724534,0.012069964593383886,-0.09120888470070058,0.10984175576227594
Replogle,error_centered_cosine_mean,novelty,2,128,0.027608591266659696,-0.10188715532509188,0.1565287506567752,-0.18383404293217748,-0.3643461760724535,0.007061849882762825,0.0,0.0,0.0,-0.1717640783387936,-0.28074917490446205,-0.06740010857584007
Replogle,error_centered_cosine_mean,disagreement,2,128,-0.03762474821461273,-0.14282077277549307,0.07342045797401477,-0.24906738241344992,-0.4155490064361413,-0.07124243821962527,-0.06523333948127243,-0.22105897301879743,0.09243406300102229,-0.23699741782006603,-0.3992386869723564,-0.06640329677152475
Replogle,error_centered_cosine_mean,magnitude_plus_novelty,2,128,0.1993726696054533,0.08458499693188597,0.3080690065817395,-0.012069964593383886,-0.10984175576227594,0.09120888470070054,0.1717640783387936,0.06740010857584001,0.280749174904462,0.0,0.0,0.0
Replogle,error_centered_pearson_mean,directional_risk_frozen,2,128,0.19371760224131646,0.06570865811599755,0.3076187095221223,-0.010543409410102234,-0.15558161402304876,0.13622340035434696,0.1588883024895304,0.07187607997235443,0.24099000796168654,-0.003909660591653097,-0.08983220366557704,0.08499561294299084
Replogle,error_centered_pearson_mean,magnitude,2,128,0.2042610116514187,0.0982590272658913,0.3053607891288217,0.0,0.0,0.0,0.16943171189963263,-0.0014155719897439951,0.3482065661901729,0.006633748818449137,-0.09277055248115647,0.10752142740681468
Replogle,error_centered_pearson_mean,novelty,2,128,0.03482929975178607,-0.09114693717967226,0.15853351416108263,-0.16943171189963263,-0.3482065661901729,0.001415571989743955,0.0,0.0,0.0,-0.1627979630811835,-0.2698357113152876,-0.05835200128537645
Replogle,error_centered_pearson_mean,disagreement,2,128,-0.029976767075627186,-0.14844413184775174,0.09071270765189084,-0.23423777872704588,-0.4029696482878171,-0.05247257144402064,-0.06480606682741326,-0.23403157955742937,0.09898982869714301,-0.22760402990859674,-0.4037067539989731,-0.046474468353889645
Replogle,error_centered_pearson_mean,magnitude_plus_novelty,2,128,0.19762726283296955,0.0827762666210177,0.30845985339454884,-0.006633748818449137,-0.10752142740681485,0.0927705524811563,0.1627979630811835,0.05835200128537642,0.2698357113152875,0.0,0.0,0.0
