draw,predictor,delta_spearman,delta_utility_20
23,certificate_priority_q80,0.00903202825815863,-0.15217042403352454
24,context_holdout_router,0.08064618511329968,0.08058775591043499
24,architecture_aware_router,0.0635568420014111,0.07516218016011622
24,historical_nonnegative_router,0.05779768083495418,0.07149522744978476
24,certificate_priority_q80,-0.008137389356367541,-0.22075376344891107
25,context_holdout_router,0.09457731338839026,0.07092102616055651
25,architecture_aware_router,0.09246633940787996,0.06438716414222967
25,historical_nonnegative_router,0.08898789168312349,0.048356157679324996
25,certificate_priority_q80,0.03260808722997677,-0.18745091396873392
26,context_holdout_router,0.08378251969812722,0.08879006975008563
26,architecture_aware_router,0.06831310858186268,0.08470447527768576
26,historical_nonnegative_router,0.06242520776664817,0.07030960683932219
26,certificate_priority_q80,0.00673548585714645,-0.1808555451891698
27,context_holdout_router,0.09463394443258866,0.07193498780548802
27,architecture_aware_router,0.07288492273515279,0.05768901760021827
27,historical_nonnegative_router,0.0668164639008958,0.058152768550381206
27,certificate_priority_q80,0.014545210402039266,-0.14900754485058382
28,context_holdout_router,0.10014744054154145,0.077561803882503
28,architecture_aware_router,0.09869638163434813,0.06236158257476265
28,historical_nonnegative_router,0.09525320866001474,0.06227356460514
28,certificate_priority_q80,0.028793263149926585,-0.12355861741122542
29,context_holdout_router,0.08706832824117361,0.0760202148130632
29,architecture_aware_router,0.06216176471575774,0.06458685022607269
29,historical_nonnegative_router,0.055044810879090855,0.061576965341518464
29,certificate_priority_q80,0.0025988079936447583,-0.24052650976845724
30,context_holdout_router,0.07758030363413893,0.06440535203434428
30,architecture_aware_router,0.06644316251955251,0.06862210093993726
30,historical_nonnegative_router,0.062083063248164705,0.0679459810495815
30,certificate_priority_q80,-0.006564721888323799,-0.2512432493480051
31,context_holdout_router,0.08876579910717375,0.08034569701189997
31,architecture_aware_router,0.08096474363591466,0.06958642956346095
31,historical_nonnegative_router,0.07726436609465925,0.06775194721476663
31,certificate_priority_q80,0.011478203467530257,-0.21054383660547826
32,context_holdout_router,0.0942940658612147,0.041494236270934515
32,architecture_aware_router,0.08628694814103699,0.04347675236667259
32,historical_nonnegative_router,0.08287787585089412,0.04080171436507207
32,certificate_priority_q80,0.019364567798256016,-0.20951333387981758
33,context_holdout_router,0.09098923470266607,0.06681125713734659
33,architecture_aware_router,0.07351617571474289,0.06527002248050118
33,historical_nonnegative_router,0.0670230824209227,0.061371489628792464
33,certificate_priority_q80,0.0052342901673297915,-0.21788199592255875
34,context_holdout_router,0.0877133094426239,0.05081279029676211
34,architecture_aware_router,0.08043609825421894,0.06993859933908131
34,historical_nonnegative_router,0.07662025268916417,0.06912291677254212
34,certificate_priority_q80,0.0035538527930131236,-0.15399618549888217
35,context_holdout_router,0.09321547556958065,0.07561927182947659
35,architecture_aware_router,0.08156111911618713,0.06871687183070818
35,historical_nonnegative_router,0.07672344156507505,0.06737632011264283
35,certificate_priority_q80,0.019572504091094567,-0.20202278412414032
36,context_holdout_router,0.08086014432940825,0.04732926222184197
36,architecture_aware_router,0.07248146759629714,0.04072707401649678
36,historical_nonnegative_router,0.06862656362799624,0.03937759897497528
36,certificate_priority_q80,0.009860217812365124,-0.22080391028516444
37,context_holdout_router,0.08767084779661871,0.06587507180004792
37,architecture_aware_router,0.07818858300473774,0.055926985462576795
37,historical_nonnegative_router,0.07318534265848275,0.04893336004336413
37,certificate_priority_q80,-0.0029177560356030696,-0.24041112417391186
38,context_holdout_router,0.08038748994726297,0.04743734781655251
38,architecture_aware_router,0.056786061866909376,0.06028215235459611
38,historical_nonnegative_router,0.0509020883457747,0.060367926497544744
38,certificate_priority_q80,-0.009992252340253915,-0.21280510977874284
39,context_holdout_router,0.08451167575298435,0.05331221933000074
39,architecture_aware_router,0.07896503447143444,0.06055931646168078
39,historical_nonnegative_router,0.07538041069058554,0.05866452936039945
39,certificate_priority_q80,0.005536725465186243,-0.1479770624585544
40,context_holdout_router,0.07762408058353176,0.09748275981408117
40,architecture_aware_router,0.06542834435797351,0.09779552297081284
40,historical_nonnegative_router,0.06051392152284285,0.08916112016974675
40,certificate_priority_q80,0.017461022280014227,-0.14580468211720726
41,context_holdout_router,0.0856169016731877,0.047752755218082865
41,architecture_aware_router,0.06491347773438905,0.046177160944771645
41,historical_nonnegative_router,0.059028544608371925,0.04607653881217999
41,certificate_priority_q80,-0.02742640276298758,-0.23494859891675174
42,context_holdout_router,0.0986660443211218,0.046826522893004596
42,architecture_aware_router,0.0963573599109574,0.04223716056016469
42,historical_nonnegative_router,0.09311443141532105,0.0409106821811307
42,certificate_priority_q80,0.02997550421362072,-0.20601134339131588
43,context_holdout_router,0.07981029965956388,0.07079658204123129
43,architecture_aware_router,0.07084425671494943,0.06814212899876448
43,historical_nonnegative_router,0.06664447638896631,0.06912757634302868
43,certificate_priority_q80,-0.005747076363952219,-0.22567791477921728
44,context_holdout_router,0.08553497319881154,0.061536512135928034
44,architecture_aware_router,0.07895880658958243,0.05709198456467801
44,historical_nonnegative_router,0.07480789992473746,0.0468340388350833
44,certificate_priority_q80,-0.0033058761303107476,-0.2189448853275237
45,context_holdout_router,0.08892218673738117,0.08080163799964146
45,architecture_aware_router,0.07979093417102157,0.0757412532279863
45,historical_nonnegative_router,0.07565623833932889,0.07502932330054812
45,certificate_priority_q80,0.008995463960955075,-0.18333394308866657
46,context_holdout_router,0.09035578907221431,0.08086976230753984
46,architecture_aware_router,0.08633687627091269,0.062034875415519775
46,historical_nonnegative_router,0.08280174340889745,0.05680479692980267
46,certificate_priority_q80,0.029057251212189494,-0.16356122140014145
47,context_holdout_router,0.08489329059250816,0.08565536154980469
47,architecture_aware_router,0.07522906747186431,0.06972638714964807
47,historical_nonnegative_router,0.07060137506844055,0.06395399624226195
47,certificate_priority_q80,0.00902459511652065,-0.21964301252156904
48,context_holdout_router,0.09013625051744956,0.05852788744615278
48,architecture_aware_router,0.08573058992604465,0.029178489698294174
48,historical_nonnegative_router,0.08187022827392354,0.023680787583402085
48,certificate_priority_q80,0.0018425297878302827,-0.19261825420412276
49,context_holdout_router,0.0974355901813172,0.07642219692779884
49,architecture_aware_router,0.0849533162859406,0.07196291266130228
49,historical_nonnegative_router,0.07973902679742073,0.06928658178107994
49,certificate_priority_q80,0.01257193656270672,-0.2599274806441495
50,context_holdout_router,0.0854826818356782,0.07401449904280943
50,architecture_aware_router,0.07494766376619211,0.05383507771024243
50,historical_nonnegative_router,0.07039847683534828,0.05477422606106108
50,certificate_priority_q80,0.010482330644712712,-0.1725141363549922
51,context_holdout_router,0.08191992950458227,0.06330990505904988
51,architecture_aware_router,0.06061178441201065,0.04087222611956154
51,historical_nonnegative_router,0.05388282436947911,0.03798859711485714
51,certificate_priority_q80,0.015333544852996539,-0.18066533963512993
52,context_holdout_router,0.07726799094275405,0.053783139711388706
52,architecture_aware_router,0.05206584826711369,0.03704602572588522
52,historical_nonnegative_router,0.04491983875858052,0.04072459480321522
52,certificate_priority_q80,-0.0067476193630225945,-0.21651033692327598
53,context_holdout_router,0.09439403697469861,0.05181810357906669
53,architecture_aware_router,0.07660414290499817,0.04431612611216673
53,historical_nonnegative_router,0.07039159205217826,0.04251667319164787
53,certificate_priority_q80,0.018884665405330958,-0.23174091221362758
54,context_holdout_router,0.08980778186842309,0.06104074825795036
54,architecture_aware_router,0.07519938615579513,0.06530198737068216
54,historical_nonnegative_router,0.06965237717658757,0.059220548343400736
54,certificate_priority_q80,0.0059857316102038816,-0.15520061513649858
55,context_holdout_router,0.08021962781232606,0.0462833892623995
55,architecture_aware_router,0.06530026744355744,0.04240293969828368
55,historical_nonnegative_router,0.059895580393329984,0.04323109502449729
55,certificate_priority_q80,0.002968059201464368,-0.21474646532891772
56,context_holdout_router,0.09114016813037118,0.044359535885829526
56,architecture_aware_router,0.07529226166444991,0.025960076636435736
56,historical_nonnegative_router,0.07014406304350473,0.026057055602536017
56,certificate_priority_q80,0.019522232396163686,-0.16044890648030408
57,context_holdout_router,0.08230213436848144,0.05662960177963583
57,architecture_aware_router,0.06174368550377729,0.0666115037316648
57,historical_nonnegative_router,0.055535972247983234,0.0620364442376673
57,certificate_priority_q80,0.016157149983543118,-0.21445727259414032
58,context_holdout_router,0.07930767127976601,0.08246960737682318
58,architecture_aware_router,0.06342776144705131,0.05560859359136383
58,historical_nonnegative_router,0.057896256909547805,0.05185480984531854
