dataset,perturbation,gears_rmse,scgpt_rmse,pair_mean_rmse,pair_max_rmse,model_disagreement_rmse,triangle_certificate_rmse,triangle_mean_bound_holds,triangle_max_bound_holds,pair_mean_mse,ensemble_mean_prediction_mse,disagreement_mse_component,mse_identity_abs_error,certificate_fraction_of_pair_mean_rmse,disagreement_component_fraction_of_pair_mean_mse,gears_predicted_magnitude,scgpt_predicted_magnitude,rank__model_disagreement_rmse,rank__gears_predicted_magnitude,rank__scgpt_predicted_magnitude,rank__magnitude_mean,rank__magnitude_max,rank__gears_rmse,rank__scgpt_rmse,rank__pair_mean_rmse,rank__pair_max_rmse
Norman,FOSB+ctrl,0.12039166111531999,0.20365917062009792,0.16202541586770897,0.20365917062009792,0.13832160102031535,0.06916080051015767,True,True,0.027985604921886106,0.023202388594680275,0.004783216327205826,6.071532165918825e-18,0.42685155375022343,0.1709170246831119,3.8893742195330634,6.2871176642533735,0.9583333333333334,0.8333333333333334,1.0,0.9166666666666667,1.0,0.75,1.0,0.9583333333333334,0.9583333333333334
Norman,FOXA1+ctrl,0.09770006601145695,0.10107957188423876,0.09938981894784785,0.10107957188423876,0.0987939953687222,0.0493969976843611,True,True,0.009881191375472019,0.0074411279952432425,0.002440063380228776,4.336808689942018e-19,0.49700259249170037,0.24694020058003538,3.0362218634916602,3.21374806470591,0.6666666666666666,0.6666666666666666,0.4583333333333333,0.5625,0.6666666666666666,0.4166666666666667,0.5416666666666666,0.4583333333333333,0.3333333333333333
Norman,FOXA3+ctrl,0.06992010472226996,0.07893074654611759,0.07442542563419377,0.07893074654611759,0.08596165458438809,0.042980827292194046,True,True,0.005559441897350326,0.0037120903826289133,0.0018473515147214125,2.168404344971009e-19,0.5775019346674327,0.3322908214225379,2.684409997598402,3.577884659289307,0.2916666666666667,0.5,0.5833333333333334,0.5416666666666667,0.5833333333333334,0.08333333333333333,0.2916666666666667,0.125,0.125
Norman,IER5L+ctrl,0.11619374267910504,0.11118009975329565,0.11368692121620035,0.11619374267910504,0.09514954385416591,0.047574771927082954,True,True,0.012931000209465424,0.010667641285551461,0.00226335892391396,2.6020852139652106e-18,0.41847181204431777,0.1750335540368481,3.969919987700459,4.307097761792202,0.5,0.9166666666666666,0.7916666666666666,0.8541666666666666,0.9166666666666666,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.5416666666666666
Norman,IGDCC3+ctrl,0.07408711155774936,0.06136651976039835,0.06772681565907385,0.07408711155774936,0.07473905695145844,0.03736952847572922,True,True,0.004627374923236879,0.0032308932647385426,0.001396481658498337,2.168404344971009e-19,0.5517685736745923,0.30178701351510306,2.521461562552716,2.835744437389524,0.041666666666666664,0.4583333333333333,0.2916666666666667,0.375,0.4583333333333333,0.125,0.041666666666666664,0.041666666666666664,0.041666666666666664
Norman,IKZF3+ctrl,0.11710002734467631,0.0877419789105937,0.102421003127635,0.11710002734467631,0.11021276793982272,0.05510638396991136,True,True,0.010705535633635504,0.0076688220793962,0.0030367135542393037,0.0,0.538037924713927,0.2836582547722615,5.597060645812471,5.048644178536339,0.7083333333333334,1.0,0.9166666666666666,0.9583333333333333,1.0,0.7083333333333334,0.4166666666666667,0.5,0.625
Norman,JUN+ctrl,0.11458176238836366,0.1455720356101301,0.13007689899924688,0.1455720356101301,0.11741613968338173,0.058708069841690864,True,True,0.01716009891185021,0.013713461447313356,0.0034466374645368524,0.0,0.4513335595587251,0.20085184137002357,3.3443429325695924,3.9554883341999982,0.75,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.5833333333333334,0.9166666666666666,0.8333333333333334,0.875
Norman,MAPK1+ctrl,0.11528311079743775,0.07788906992368651,0.09658609036056212,0.11528311079743775,0.13374350830980153,0.06687175415490076,True,True,0.009678451424355618,0.00520661992060213,0.004471831503753488,0.0,0.6923538773053571,0.4620399801253554,2.2695570816969655,4.425599617551571,0.9166666666666666,0.375,0.8333333333333334,0.6041666666666667,0.8333333333333334,0.625,0.25,0.4166666666666667,0.5
Norman,MEIS1+ctrl,0.1030727571566141,0.0674210680530753,0.0852469126048447,0.1030727571566141,0.07885073085281302,0.03942536542640651,True,True,0.007584796842641876,0.006030437403636187,0.0015543594390056898,4.336808689942018e-19,0.4624843788672989,0.20493092580503286,2.8775193127444787,1.8289468864198453,0.16666666666666666,0.5833333333333334,0.16666666666666666,0.375,0.5833333333333334,0.4583333333333333,0.125,0.3333333333333333,0.375
Norman,MIDN+ctrl,0.12816801858988286,0.10377859225054349,0.11597330542021317,0.12816801858988286,0.08821621016132553,0.04410810508066276,True,True,0.013598518599380563,0.011652993665573774,0.0019455249338067883,1.0842021724855044e-18,0.38032980883698336,0.14306888795191341,1.8230631475475243,3.0005939816929157,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.25,0.3333333333333333,0.8333333333333334,0.625,0.7083333333333334,0.7083333333333334
