target,seed_index,budget,n_calibration_genes,n_evaluation_tasks,method,utility_20,spearman
K562,0,0.5,226,114,ridge_no_history,0.9395617747776425,0.9361940827443754
K562,0,0.5,226,114,ridge_with_history,0.9000974676025636,0.9375225289078796
K562,0,1.0,452,114,M,0.9547487323829044,0.9357161661367733
K562,0,1.0,452,114,D,0.5075637143377131,0.5527753589437234
K562,0,1.0,452,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,0,1.0,452,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,0,1.0,452,114,ridge_no_history,0.9395617747776425,0.9364937931593124
K562,0,1.0,452,114,ridge_with_history,0.9441636205619709,0.9386727688787186
K562,1,0.01,5,114,M,0.9547487323829044,0.9357161661367733
K562,1,0.01,5,114,D,0.5075637143377131,0.5527753589437234
K562,1,0.01,5,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,1,0.01,5,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,1,0.01,5,114,ridge_no_history,0.7769732024066409,0.8599056317207023
K562,1,0.01,5,114,ridge_with_history,0.8753552604494105,0.8996942143739496
K562,1,0.05,23,114,M,0.9547487323829044,0.9357161661367733
K562,1,0.05,23,114,D,0.5075637143377131,0.5527753589437234
K562,1,0.05,23,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,1,0.05,23,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,1,0.05,23,114,ridge_no_history,0.9395617747776425,0.9348899374253257
K562,1,0.05,23,114,ridge_with_history,0.9017911840955228,0.9316822259573522
K562,1,0.1,46,114,M,0.9547487323829044,0.9357161661367733
K562,1,0.1,46,114,D,0.5075637143377131,0.5527753589437234
K562,1,0.1,46,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,1,0.1,46,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,1,0.1,46,114,ridge_no_history,0.9395617747776425,0.9345335250399953
K562,1,0.1,46,114,ridge_with_history,0.9000974676025636,0.9313825155424152
K562,1,0.2,91,114,M,0.9547487323829044,0.9357161661367733
K562,1,0.2,91,114,D,0.5075637143377131,0.5527753589437234
K562,1,0.2,91,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,1,0.2,91,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,1,0.2,91,114,ridge_no_history,0.9395617747776425,0.9362669852777386
K562,1,0.2,91,114,ridge_with_history,0.9017911840955228,0.9361130799295276
K562,1,0.5,226,114,M,0.9547487323829044,0.9357161661367733
K562,1,0.5,226,114,D,0.5075637143377131,0.5527753589437234
K562,1,0.5,226,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,1,0.5,226,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,1,0.5,226,114,ridge_no_history,0.9395617747776425,0.9361454810554667
K562,1,0.5,226,114,ridge_with_history,0.9000974676025636,0.9414187643020596
K562,1,1.0,452,114,M,0.9547487323829044,0.9357161661367733
K562,1,1.0,452,114,D,0.5075637143377131,0.5527753589437234
K562,1,1.0,452,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,1,1.0,452,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,1,1.0,452,114,ridge_no_history,0.9395617747776425,0.9364937931593124
K562,1,1.0,452,114,ridge_with_history,0.9441636205619709,0.9386727688787186
K562,2,0.01,5,114,M,0.9547487323829044,0.9357161661367733
K562,2,0.01,5,114,D,0.5075637143377131,0.5527753589437234
K562,2,0.01,5,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,2,0.01,5,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,2,0.01,5,114,ridge_no_history,0.8775728199449386,0.8787468864543044
K562,2,0.01,5,114,ridge_with_history,0.5339363174006699,0.6537777687774651
K562,2,0.05,23,114,M,0.9547487323829044,0.9357161661367733
K562,2,0.05,23,114,D,0.5075637143377131,0.5527753589437234
K562,2,0.05,23,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,2,0.05,23,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,2,0.05,23,114,ridge_no_history,0.8714675821613397,0.9119499402604241
K562,2,0.05,23,114,ridge_with_history,0.8398766101985689,0.8843036795528645
K562,2,0.1,46,114,M,0.9547487323829044,0.9357161661367733
K562,2,0.1,46,114,D,0.5075637143377131,0.5527753589437234
K562,2,0.1,46,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,2,0.1,46,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,2,0.1,46,114,ridge_no_history,0.9395617747776425,0.930799295275511
K562,2,0.1,46,114,ridge_with_history,0.8461874530471402,0.8803345416253215
K562,2,0.2,91,114,M,0.9547487323829044,0.9357161661367733
K562,2,0.2,91,114,D,0.5075637143377131,0.5527753589437234
K562,2,0.2,91,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,2,0.2,91,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,2,0.2,91,114,ridge_no_history,0.8714675821613397,0.9187865778335798
K562,2,0.2,91,114,ridge_with_history,0.8804712758061696,0.916559000425265
K562,2,0.5,226,114,M,0.9547487323829044,0.9357161661367733
K562,2,0.5,226,114,D,0.5075637143377131,0.5527753589437234
K562,2,0.5,226,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,2,0.5,226,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,2,0.5,226,114,ridge_no_history,0.9395617747776425,0.934395820254754
K562,2,0.5,226,114,ridge_with_history,0.8900009860014134,0.9301755736011826
K562,2,1.0,452,114,M,0.9547487323829044,0.9357161661367733
K562,2,1.0,452,114,D,0.5075637143377131,0.5527753589437234
K562,2,1.0,452,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,2,1.0,452,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,2,1.0,452,114,ridge_no_history,0.9395617747776425,0.9364937931593124
K562,2,1.0,452,114,ridge_with_history,0.9441636205619709,0.9386727688787186
K562,3,0.01,5,114,M,0.9547487323829044,0.9357161661367733
K562,3,0.01,5,114,D,0.5075637143377131,0.5527753589437234
K562,3,0.01,5,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,3,0.01,5,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,3,0.01,5,114,ridge_no_history,0.8714675821613397,0.9151252506024584
K562,3,0.01,5,114,ridge_with_history,0.8703615064475456,0.9223507016868837
K562,3,0.05,23,114,M,0.9547487323829044,0.9357161661367733
K562,3,0.05,23,114,D,0.5075637143377131,0.5527753589437234
K562,3,0.05,23,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,3,0.05,23,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,3,0.05,23,114,ridge_no_history,0.8737307615349765,0.8960652882687674
K562,3,0.05,23,114,ridge_with_history,0.8300194924378189,0.8762763006014459
K562,3,0.1,46,114,M,0.9547487323829044,0.9357161661367733
K562,3,0.1,46,114,D,0.5075637143377131,0.5527753589437234
K562,3,0.1,46,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,3,0.1,46,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,3,0.1,46,114,ridge_no_history,0.8731709720844376,0.9048297928353011
K562,3,0.1,46,114,ridge_with_history,0.8661742687171914,0.8946234381644763
K562,3,0.2,91,114,M,0.9547487323829044,0.9357161661367733
K562,3,0.2,91,114,D,0.5075637143377131,0.5527753589437234
K562,3,0.2,91,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,3,0.2,91,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,3,0.2,91,114,ridge_no_history,0.9395617747776425,0.9314797189202326
K562,3,0.2,91,114,ridge_with_history,0.904499315463065,0.9250075940138921
K562,3,0.5,226,114,M,0.9547487323829044,0.9357161661367733
K562,3,0.5,226,114,D,0.5075637143377131,0.5527753589437234
K562,3,0.5,226,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,3,0.5,226,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,3,0.5,226,114,ridge_no_history,0.9395617747776425,0.9348737368623561
K562,3,0.5,226,114,ridge_with_history,0.9346269284113593,0.9303537797938479
K562,3,1.0,452,114,M,0.9547487323829044,0.9357161661367733
K562,3,1.0,452,114,D,0.5075637143377131,0.5527753589437234
K562,3,1.0,452,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,3,1.0,452,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,3,1.0,452,114,ridge_no_history,0.9395617747776425,0.9364937931593124
K562,3,1.0,452,114,ridge_with_history,0.9441636205619709,0.9386727688787186
K562,4,0.01,5,114,M,0.9547487323829044,0.9357161661367733
K562,4,0.01,5,114,D,0.5075637143377131,0.5527753589437234
K562,4,0.01,5,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,4,0.01,5,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,4,0.01,5,114,ridge_no_history,0.9547487323829044,0.9357161661367733
K562,4,0.01,5,114,ridge_with_history,0.8140954878255253,0.903833458212673
K562,4,0.05,23,114,M,0.9547487323829044,0.9357161661367733
K562,4,0.05,23,114,D,0.5075637143377131,0.5527753589437234
K562,4,0.05,23,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,4,0.05,23,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,4,0.05,23,114,ridge_no_history,0.9334050856531662,0.923679147850388
K562,4,0.05,23,114,ridge_with_history,0.8839295069932427,0.9303051781049393
K562,4,0.1,46,114,M,0.9547487323829044,0.9357161661367733
K562,4,0.1,46,114,D,0.5075637143377131,0.5527753589437234
K562,4,0.1,46,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,4,0.1,46,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,4,0.1,46,114,ridge_no_history,0.9395617747776425,0.9299001640307002
K562,4,0.1,46,114,ridge_with_history,0.8817824398759738,0.9109374050748263
K562,4,0.2,91,114,M,0.9547487323829044,0.9357161661367733
K562,4,0.2,91,114,D,0.5075637143377131,0.5527753589437234
K562,4,0.2,91,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,4,0.2,91,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,4,0.2,91,114,ridge_no_history,0.9334050856531662,0.9247321844434095
K562,4,0.2,91,114,ridge_with_history,0.8983426263385886,0.9170855187217757
K562,4,0.5,226,114,M,0.9547487323829044,0.9357161661367733
K562,4,0.5,226,114,D,0.5075637143377131,0.5527753589437234
K562,4,0.5,226,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,4,0.5,226,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,4,0.5,226,114,ridge_no_history,0.9395617747776425,0.9336019926692454
K562,4,0.5,226,114,ridge_with_history,0.8900009860014134,0.9292278406674633
K562,4,1.0,452,114,M,0.9547487323829044,0.9357161661367733
K562,4,1.0,452,114,D,0.5075637143377131,0.5527753589437234
K562,4,1.0,452,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,4,1.0,452,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,4,1.0,452,114,ridge_no_history,0.9395617747776425,0.9364937931593124
K562,4,1.0,452,114,ridge_with_history,0.9441636205619709,0.9386727688787186
K562,5,0.01,5,114,M,0.9547487323829044,0.9357161661367733
K562,5,0.01,5,114,D,0.5075637143377131,0.5527753589437234
K562,5,0.01,5,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,5,0.01,5,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,5,0.01,5,114,ridge_no_history,0.9697946824221412,0.9436544419918592
K562,5,0.01,5,114,ridge_with_history,0.8109148373799064,0.9057694254875358
K562,5,0.05,23,114,M,0.9547487323829044,0.9357161661367733
K562,5,0.05,23,114,D,0.5075637143377131,0.5527753589437234
K562,5,0.05,23,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,5,0.05,23,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,5,0.05,23,114,ridge_no_history,0.8775728199449386,0.8719831514145118
K562,5,0.05,23,114,ridge_with_history,0.6664685638904086,0.7786841092727973
K562,5,0.1,46,114,M,0.9547487323829044,0.9357161661367733
K562,5,0.1,46,114,D,0.5075637143377131,0.5527753589437234
K562,5,0.1,46,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,5,0.1,46,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,5,0.1,46,114,ridge_no_history,0.8714675821613397,0.9131973836090805
K562,5,0.1,46,114,ridge_with_history,0.8629439299411518,0.8719426500070878
K562,5,0.2,91,114,M,0.9547487323829044,0.9357161661367733
K562,5,0.2,91,114,D,0.5075637143377131,0.5527753589437234
K562,5,0.2,91,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,5,0.2,91,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,5,0.2,91,114,ridge_no_history,0.9334050856531662,0.9199611186488732
K562,5,0.2,91,114,ridge_with_history,0.8823422293265131,0.913181183046111
K562,5,0.5,226,114,M,0.9547487323829044,0.9357161661367733
K562,5,0.5,226,114,D,0.5075637143377131,0.5527753589437234
K562,5,0.5,226,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,5,0.5,226,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,5,0.5,226,114,ridge_no_history,0.9395617747776425,0.9362021830258601
K562,5,0.5,226,114,ridge_with_history,0.8900009860014134,0.9313825155424152
K562,5,1.0,452,114,M,0.9547487323829044,0.9357161661367733
K562,5,1.0,452,114,D,0.5075637143377131,0.5527753589437234
K562,5,1.0,452,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,5,1.0,452,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,5,1.0,452,114,ridge_no_history,0.9395617747776425,0.9364937931593124
K562,5,1.0,452,114,ridge_with_history,0.9441636205619709,0.9386727688787186
K562,6,0.01,5,114,M,0.9547487323829044,0.9357161661367733
K562,6,0.01,5,114,D,0.5075637143377131,0.5527753589437234
K562,6,0.01,5,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,6,0.01,5,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,6,0.01,5,114,ridge_no_history,0.9395617747776425,0.9363722889370407
K562,6,0.01,5,114,ridge_with_history,0.4907926195332906,0.6877503493246391
K562,6,0.05,23,114,M,0.9547487323829044,0.9357161661367733
K562,6,0.05,23,114,D,0.5075637143377131,0.5527753589437234
K562,6,0.05,23,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,6,0.05,23,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,6,0.05,23,114,ridge_no_history,0.8714675821613397,0.9146635345578259
K562,6,0.05,23,114,ridge_with_history,0.8900079679567808,0.9260363297624593
K562,6,0.1,46,114,M,0.9547487323829044,0.9357161661367733
K562,6,0.1,46,114,D,0.5075637143377131,0.5527753589437234
K562,6,0.1,46,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,6,0.1,46,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,6,0.1,46,114,ridge_no_history,0.8714675821613397,0.9191672910633646
K562,6,0.1,46,114,ridge_with_history,0.8821746657292674,0.9213138656568317
K562,6,0.2,91,114,M,0.9547487323829044,0.9357161661367733
K562,6,0.2,91,114,D,0.5075637143377131,0.5527753589437234
K562,6,0.2,91,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,6,0.2,91,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,6,0.2,91,114,ridge_no_history,0.8714675821613397,0.9172961260403801
K562,6,0.2,91,114,ridge_with_history,0.8821746657292674,0.9230473258945749
K562,6,0.5,226,114,M,0.9547487323829044,0.9357161661367733
K562,6,0.5,226,114,D,0.5075637143377131,0.5527753589437234
K562,6,0.5,226,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,6,0.5,226,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,6,0.5,226,114,ridge_no_history,0.9395617747776425,0.932686660861465
K562,6,0.5,226,114,ridge_with_history,0.8860681754801066,0.9320305380611977
K562,6,1.0,452,114,M,0.9547487323829044,0.9357161661367733
K562,6,1.0,452,114,D,0.5075637143377131,0.5527753589437234
K562,6,1.0,452,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,6,1.0,452,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,6,1.0,452,114,ridge_no_history,0.9395617747776425,0.9364937931593124
K562,6,1.0,452,114,ridge_with_history,0.9441636205619709,0.9386727688787186
K562,7,0.01,5,114,M,0.9547487323829044,0.9357161661367733
K562,7,0.01,5,114,D,0.5075637143377131,0.5527753589437234
K562,7,0.01,5,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,7,0.01,5,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,7,0.01,5,114,ridge_no_history,0.8731709720844376,0.9023673072639274
K562,7,0.01,5,114,ridge_with_history,0.8030021790795371,0.8768433203053807
K562,7,0.05,23,114,M,0.9547487323829044,0.9357161661367733
K562,7,0.05,23,114,D,0.5075637143377131,0.5527753589437234
K562,7,0.05,23,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,7,0.05,23,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,7,0.05,23,114,ridge_no_history,0.8714675821613397,0.9091148417407505
K562,7,0.05,23,114,ridge_with_history,0.8461874530471402,0.8376946598894313
K562,7,0.1,46,114,M,0.9547487323829044,0.9357161661367733
K562,7,0.1,46,114,D,0.5075637143377131,0.5527753589437234
K562,7,0.1,46,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,7,0.1,46,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,7,0.1,46,114,ridge_no_history,0.8714675821613397,0.9107916000081003
K562,7,0.1,46,114,ridge_with_history,0.8270636906597512,0.8731738927927746
K562,7,0.2,91,114,M,0.9547487323829044,0.9357161661367733
K562,7,0.2,91,114,D,0.5075637143377131,0.5527753589437234
K562,7,0.2,91,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,7,0.2,91,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,7,0.2,91,114,ridge_no_history,0.8714675821613397,0.9080942062736682
K562,7,0.2,91,114,ridge_with_history,0.8743928148426311,0.8976772442842389
K562,7,0.5,226,114,M,0.9547487323829044,0.9357161661367733
K562,7,0.5,226,114,D,0.5075637143377131,0.5527753589437234
K562,7,0.5,226,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,7,0.5,226,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,7,0.5,226,114,ridge_no_history,0.9395617747776425,0.9314149166683543
K562,7,0.5,226,114,ridge_with_history,0.8721296354689944,0.9269192604443006
K562,7,1.0,452,114,M,0.9547487323829044,0.9357161661367733
K562,7,1.0,452,114,D,0.5075637143377131,0.5527753589437234
K562,7,1.0,452,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,7,1.0,452,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,7,1.0,452,114,ridge_no_history,0.9395617747776425,0.9364937931593124
K562,7,1.0,452,114,ridge_with_history,0.9441636205619709,0.9386727688787186
K562,8,0.01,5,114,M,0.9547487323829044,0.9357161661367733
K562,8,0.01,5,114,D,0.5075637143377131,0.5527753589437234
K562,8,0.01,5,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,8,0.01,5,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,8,0.01,5,114,ridge_no_history,0.8737307615349765,0.8962353941799479
K562,8,0.01,5,114,ridge_with_history,0.6484407668002471,0.7685020554464269
K562,8,0.05,23,114,M,0.9547487323829044,0.9357161661367733
K562,8,0.05,23,114,D,0.5075637143377131,0.5527753589437234
K562,8,0.05,23,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,8,0.05,23,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,8,0.05,23,114,ridge_no_history,0.8775728199449386,0.872866082096353
K562,8,0.05,23,114,ridge_with_history,0.5913001950885705,0.7056519714060064
K562,8,0.1,46,114,M,0.9547487323829044,0.9357161661367733
K562,8,0.1,46,114,D,0.5075637143377131,0.5527753589437234
K562,8,0.1,46,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,8,0.1,46,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,8,0.1,46,114,ridge_no_history,0.8775728199449386,0.8790303963062717
K562,8,0.1,46,114,ridge_with_history,0.6975962641767959,0.7635932848666491
K562,8,0.2,91,114,M,0.9547487323829044,0.9357161661367733
K562,8,0.2,91,114,D,0.5075637143377131,0.5527753589437234
K562,8,0.2,91,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,8,0.2,91,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,8,0.2,91,114,ridge_no_history,0.8737307615349765,0.898495372714202
K562,8,0.2,91,114,ridge_with_history,0.8661742687171914,0.8928008748304004
K562,8,0.5,226,114,M,0.9547487323829044,0.9357161661367733
K562,8,0.5,226,114,D,0.5075637143377131,0.5527753589437234
K562,8,0.5,226,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,8,0.5,226,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,8,0.5,226,114,ridge_no_history,0.9395617747776425,0.9310504040015393
K562,8,0.5,226,114,ridge_with_history,0.9346269284113593,0.9269759624146939
K562,8,1.0,452,114,M,0.9547487323829044,0.9357161661367733
K562,8,1.0,452,114,D,0.5075637143377131,0.5527753589437234
K562,8,1.0,452,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,8,1.0,452,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,8,1.0,452,114,ridge_no_history,0.9395617747776425,0.9364937931593124
K562,8,1.0,452,114,ridge_with_history,0.9441636205619709,0.9386727688787186
K562,9,0.01,5,114,M,0.9547487323829044,0.9357161661367733
K562,9,0.01,5,114,D,0.5075637143377131,0.5527753589437234
K562,9,0.01,5,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,9,0.01,5,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,9,0.01,5,114,ridge_no_history,0.9395617747776425,0.9368340049816732
K562,9,0.01,5,114,ridge_with_history,0.9017911840955228,0.936915007796521
K562,9,0.05,23,114,M,0.9547487323829044,0.9357161661367733
K562,9,0.05,23,114,D,0.5075637143377131,0.5527753589437234
K562,9,0.05,23,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,9,0.05,23,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,9,0.05,23,114,ridge_no_history,0.9395617747776425,0.9363722889370407
K562,9,0.05,23,114,ridge_with_history,0.8983126831956093,0.9284259128004699
K562,9,0.1,46,114,M,0.9547487323829044,0.9357161661367733
K562,9,0.1,46,114,D,0.5075637143377131,0.5527753589437234
K562,9,0.1,46,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,9,0.1,46,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,9,0.1,46,114,ridge_no_history,0.9395617747776425,0.9362345841517994
K562,9,0.1,46,114,ridge_with_history,0.8983126831956093,0.9261254328587919
K562,9,0.2,91,114,M,0.9547487323829044,0.9357161661367733
K562,9,0.2,91,114,D,0.5075637143377131,0.5527753589437234
K562,9,0.2,91,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,9,0.2,91,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,9,0.2,91,114,ridge_no_history,0.9395617747776425,0.9309856017496609
K562,9,0.2,91,114,ridge_with_history,0.8860681754801066,0.9264575443996681
K562,9,0.5,226,114,M,0.9547487323829044,0.9357161661367733
K562,9,0.5,226,114,D,0.5075637143377131,0.5527753589437234
K562,9,0.5,226,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,9,0.5,226,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,9,0.5,226,114,ridge_no_history,0.9395617747776425,0.9325246552317694
K562,9,0.5,226,114,ridge_with_history,0.8860681754801066,0.931649824831413
K562,9,1.0,452,114,M,0.9547487323829044,0.9357161661367733
K562,9,1.0,452,114,D,0.5075637143377131,0.5527753589437234
K562,9,1.0,452,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,9,1.0,452,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,9,1.0,452,114,ridge_no_history,0.9395617747776425,0.9364937931593124
K562,9,1.0,452,114,ridge_with_history,0.9441636205619709,0.9386727688787186
K562,10,0.01,5,114,M,0.9547487323829044,0.9357161661367733
K562,10,0.01,5,114,D,0.5075637143377131,0.5527753589437234
K562,10,0.01,5,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,10,0.01,5,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,10,0.01,5,114,ridge_no_history,0.8714675821613397,0.9146635345578259
K562,10,0.01,5,114,ridge_with_history,0.8322146400989295,0.8386828942305745
