fold_id,endpoint,method,n_tasks,utility_20,spearman,model_mean_rmse,no_change_mean_rmse
Lara_exvivo_context_holdout_3_GMP_(late),absolute_error,M_plus_H,23,0.8023121413077392,0.8435878685999147,0.12604070491280134,0.1348239328017975
Lara_exvivo_context_holdout_3_GMP_(late),absolute_error,M_plus_D,23,0.8689362576193161,0.816205533596838,0.12604070491280134,0.1348239328017975
Lara_exvivo_context_holdout_3_GMP_(late),absolute_error,M_plus_G,23,0.8689362576193161,0.7877440319556321,0.12604070491280134,0.1348239328017975
Lara_exvivo_context_holdout_3_GMP_(late),excess_error,M,23,-0.43724196753481537,-0.26679841897233203,0.12604070491280134,0.1348239328017975
Lara_exvivo_context_holdout_3_GMP_(late),excess_error,D,23,-0.43724196753481537,-0.3270750988142293,0.12604070491280134,0.1348239328017975
Lara_exvivo_context_holdout_3_GMP_(late),excess_error,H,23,-0.1568814532609526,-0.24802371541501977,0.12604070491280134,0.1348239328017975
Lara_exvivo_context_holdout_3_GMP_(late),excess_error,G,23,-0.33719349860658615,-0.19071146245059292,0.12604070491280134,0.1348239328017975
Lara_exvivo_context_holdout_3_GMP_(late),excess_error,M_plus_H,23,-0.08601180252254435,-0.25747468045726746,0.12604070491280134,0.1348239328017975
Lara_exvivo_context_holdout_3_GMP_(late),excess_error,M_plus_D,23,-0.43724196753481537,-0.26679841897233203,0.12604070491280134,0.1348239328017975
Lara_exvivo_context_holdout_3_GMP_(late),excess_error,M_plus_G,23,-0.43724196753481537,-0.29009143460348563,0.12604070491280134,0.1348239328017975
Lara_exvivo_context_holdout_4_HSC,absolute_error,M,24,0.857035067911555,0.8121739130434782,0.07011819809023882,0.0895085037329692
Lara_exvivo_context_holdout_4_HSC,absolute_error,D,24,0.857035067911555,0.7791304347826087,0.07011819809023882,0.0895085037329692
Lara_exvivo_context_holdout_4_HSC,absolute_error,H,24,0.725032947515495,0.5826086956521739,0.07011819809023882,0.0895085037329692
Lara_exvivo_context_holdout_4_HSC,absolute_error,G,24,0.13982406334787015,0.13391304347826086,0.07011819809023882,0.0895085037329692
Lara_exvivo_context_holdout_4_HSC,absolute_error,M_plus_H,24,0.857035067911555,0.8164420085100493,0.07011819809023882,0.0895085037329692
Lara_exvivo_context_holdout_4_HSC,absolute_error,M_plus_D,24,0.857035067911555,0.8045227413496716,0.07011819809023882,0.0895085037329692
Lara_exvivo_context_holdout_4_HSC,absolute_error,M_plus_G,24,0.6718434465423381,0.7871276550502192,0.07011819809023882,0.0895085037329692
Lara_exvivo_context_holdout_4_HSC,excess_error,M,24,-0.7228250299009399,-0.5747826086956522,0.07011819809023882,0.0895085037329692
Lara_exvivo_context_holdout_4_HSC,excess_error,D,24,-0.7228250299009399,-0.58,0.07011819809023882,0.0895085037329692
Lara_exvivo_context_holdout_4_HSC,excess_error,H,24,-0.7284409942965765,-0.2965217391304348,0.07011819809023882,0.0895085037329692
Lara_exvivo_context_holdout_4_HSC,excess_error,G,24,-0.5012520346199622,-0.13652173913043478,0.07011819809023882,0.0895085037329692
Lara_exvivo_context_holdout_4_HSC,excess_error,M_plus_H,24,-0.7228250299009399,-0.551109230038483,0.07011819809023882,0.0895085037329692
Lara_exvivo_context_holdout_4_HSC,excess_error,M_plus_D,24,-0.7228250299009399,-0.5892585483939485,0.07011819809023882,0.0895085037329692
Lara_exvivo_context_holdout_4_HSC,excess_error,M_plus_G,24,-1.0921037146895312,-0.5923026884963528,0.07011819809023882,0.0895085037329692
Lara_exvivo_context_holdout_5_MkP,absolute_error,M,22,0.29491331553881384,0.41050254093732363,0.08747544026730233,0.10844039495038992
Lara_exvivo_context_holdout_5_MkP,absolute_error,D,22,0.29491331553881384,0.43647656691134956,0.08747544026730233,0.10844039495038992
Lara_exvivo_context_holdout_5_MkP,absolute_error,H,22,0.1807425621976096,0.29983060417843027,0.08747544026730233,0.10844039495038992
Lara_exvivo_context_holdout_5_MkP,absolute_error,G,22,0.2835709872647903,0.31789949181253535,0.08747544026730233,0.10844039495038992
Lara_exvivo_context_holdout_5_MkP,absolute_error,M_plus_H,22,0.29491331553881384,0.3795538134973616,0.08747544026730233,0.10844039495038992
Lara_exvivo_context_holdout_5_MkP,absolute_error,M_plus_D,22,0.29491331553881384,0.41050254093732363,0.08747544026730233,0.10844039495038992
Lara_exvivo_context_holdout_5_MkP,absolute_error,M_plus_G,22,0.4701399035005113,0.4615819945708499,0.08747544026730233,0.10844039495038992
Lara_exvivo_context_holdout_5_MkP,excess_error,M,22,-0.62596283282576,-0.549407114624506,0.08747544026730233,0.10844039495038992
Lara_exvivo_context_holdout_5_MkP,excess_error,D,22,-0.62596283282576,-0.52343308865048,0.08747544026730233,0.10844039495038992
Lara_exvivo_context_holdout_5_MkP,excess_error,H,22,-0.5118217012138984,-0.4263128176171655,0.08747544026730233,0.10844039495038992
Lara_exvivo_context_holdout_5_MkP,excess_error,G,22,0.016998463943043107,0.10671936758893281,0.08747544026730233,0.10844039495038992
Lara_exvivo_context_holdout_5_MkP,excess_error,M_plus_H,22,-0.62596283282576,-0.5365716113429962,0.08747544026730233,0.10844039495038992
Lara_exvivo_context_holdout_5_MkP,excess_error,M_plus_D,22,-0.62596283282576,-0.549407114624506,0.08747544026730233,0.10844039495038992
Lara_exvivo_context_holdout_5_MkP,excess_error,M_plus_G,22,-0.1589985257071305,-0.46497182562032985,0.08747544026730233,0.10844039495038992
