dataset,fold_id,feature,n_tasks,spearman_with_gears_excess_error,spearman_with_gears_error,spearman_with_scgpt_error
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,training_support_count,51,0.14623106136860645,0.4431155924090906,0.45307816056481154
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,safeconf_calibrated_pair_risk,51,-0.03692307692307692,0.2337556561085973,0.2159276018099547
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,risk_model_disagreement,51,0.21131221719457013,0.21565610859728507,0.0804524886877828
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,baseline_predicted_magnitude,51,0.13855203619909504,0.15520361990950227,0.05592760180995475
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,context_novelty_scaled,51,0.47116571745138797,-0.28912441752698803,-0.5059677306722291
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,perturbation_novelty,51,-0.33738575651419567,0.164615122351027,0.3317545697867645
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,training_support_count,51,0.33738575651419567,-0.164615122351027,-0.3317545697867645
Santinha,Santinha_context_holdout_4_Neurons_L_5,safeconf_calibrated_pair_risk,51,-0.06813901002226071,-0.1097217623243338,-0.07362037282571579
Santinha,Santinha_context_holdout_4_Neurons_L_5,risk_model_disagreement,51,0.3771945701357466,0.008506787330316741,-0.1160180995475113
Santinha,Santinha_context_holdout_4_Neurons_L_5,baseline_predicted_magnitude,51,0.23674208144796377,0.18796380090497736,0.0718552036199095
Santinha,Santinha_context_holdout_4_Neurons_L_5,context_novelty_scaled,51,0.40959292482989973,-0.29447857340711747,-0.38014506748918797
Santinha,Santinha_context_holdout_4_Neurons_L_5,perturbation_novelty,51,-0.22708878143929978,0.05573776093204679,0.11648948638461831
Santinha,Santinha_context_holdout_4_Neurons_L_5,training_support_count,51,0.22708878143929978,-0.05573776093204679,-0.11648948638461831
Santinha,Santinha_context_holdout_5_Neurons_L_6,safeconf_calibrated_pair_risk,51,-0.1631549298035503,0.026292388513638337,0.12757730138239287
Santinha,Santinha_context_holdout_5_Neurons_L_6,risk_model_disagreement,51,0.12108597285067872,-0.44932126696832575,-0.5494117647058824
Santinha,Santinha_context_holdout_5_Neurons_L_6,baseline_predicted_magnitude,51,0.15167420814479637,-0.20416289592760178,-0.3073303167420814
Santinha,Santinha_context_holdout_5_Neurons_L_6,context_novelty_scaled,51,0.6532070173757878,0.22487454696543518,0.07228110438174701
Santinha,Santinha_context_holdout_5_Neurons_L_6,perturbation_novelty,51,-0.3790134551027617,-0.04738280053460845,0.08884275100239086
Santinha,Santinha_context_holdout_5_Neurons_L_6,training_support_count,51,0.3790134551027617,0.04738280053460845,-0.08884275100239086
