fold_id,task_id,split,setting,context,perturbation,risk_model_disagreement,baseline_predicted_magnitude,context_novelty_scaled,training_support_count,perturbation_novelty,risk_disagreement_z,predicted_magnitude_z,safeconf_frozen_pair_risk,safeconf_calibrated_pair_risk,test_truth_used_for_score_or_threshold,dataset,error_scgpt_rmse,error_gears_rmse,error_two_predictor_mean_rmse,error_two_predictor_max_rmse
Replogle_cellline_holdout_1_K562,K562::ATR,test,context_unseen,K562,ATR,0.0755064637642734,0.0358550325036048,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.072406598018639,0.0900715345210912,0.0812390662698651,0.0900715345210912
Replogle_cellline_holdout_1_K562,K562::SRSF7,test,context_and_perturbation_unseen,K562,SRSF7,0.0754864734641017,0.0358536504209041,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.1235247017517776,0.1372306092168094,0.1303776554842935,0.1372306092168094
Replogle_cellline_holdout_1_K562,K562::MANF,test,context_unseen,K562,MANF,0.0754565991550637,0.0358723923563957,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.0659665108081826,0.0671244625519858,0.0665454866800842,0.0671244625519858
Replogle_cellline_holdout_1_K562,K562::CHMP6,test,context_and_perturbation_unseen,K562,CHMP6,0.0755171560038346,0.0358527861535549,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.1153204081559204,0.1280677953452114,0.1216941017505659,0.1280677953452114
Replogle_cellline_holdout_1_K562,K562::ASF1B,test,context_unseen,K562,ASF1B,0.0754989863427153,0.0358379743993282,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.059642172631916,0.0589933448808187,0.0593177587563674,0.059642172631916
Replogle_cellline_holdout_1_K562,K562::PNISR,test,context_unseen,K562,PNISR,0.0754678278885668,0.0358692966401577,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0716015658809491,0.0726487310735475,0.0721251484772483,0.0726487310735475
Replogle_cellline_holdout_1_K562,K562::MIOS,test,context_and_perturbation_unseen,K562,MIOS,0.0754548119936073,0.0358679331839084,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.0739310120141104,0.0874212516984597,0.0806761318562851,0.0874212516984597
Replogle_cellline_holdout_1_K562,K562::SRSF11,test,context_unseen,K562,SRSF11,0.075465232811533,0.0358673743903636,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0617499656868696,0.0602955047644885,0.061022735225679,0.0617499656868696
Replogle_cellline_holdout_1_K562,K562::UFL1,test,context_unseen,K562,UFL1,0.075437753300371,0.035860251635313,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0753324229363108,0.0754519465193913,0.075392184727851,0.0754519465193913
Replogle_cellline_holdout_1_K562,K562::MRPS21,test,context_unseen,K562,MRPS21,0.0754351203861356,0.0358610562980175,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0912284348096814,0.1038582750821005,0.097543354945891,0.1038582750821005
Replogle_cellline_holdout_1_K562,K562::QRSL1,test,context_unseen,K562,QRSL1,0.0754278426660513,0.035887848585844,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0690169394021099,0.0665675482077017,0.0677922438049058,0.0690169394021099
Replogle_cellline_holdout_1_K562,K562::EMC3,test,context_unseen,K562,EMC3,0.075480207807789,0.0358441993594169,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0605796156080562,0.0643590260575657,0.0624693208328109,0.0643590260575657
Replogle_cellline_holdout_1_K562,K562::COA5,test,context_unseen,K562,COA5,0.0754529614629368,0.0358667448163032,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.0604364629268108,0.0660440038059349,0.0632402333663729,0.0660440038059349
Replogle_cellline_holdout_1_K562,K562::RPA3,test,context_unseen,K562,RPA3,0.075449319535405,0.035876452922821,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.1116140599903658,0.1314194698716063,0.1215167649309861,0.1314194698716063
Replogle_cellline_holdout_1_K562,K562::NUDCD3,test,context_and_perturbation_unseen,K562,NUDCD3,0.0754663887284671,0.0358627624809742,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.1063346777564346,0.1242401314164064,0.1152874045864205,0.1242401314164064
Replogle_cellline_holdout_1_K562,K562::PPP2R1A,test,context_unseen,K562,PPP2R1A,0.0754782968341596,0.0358325280249118,1.0,1,0.5,5.0,4.920377478671878,6.5,0.6493414755189535,False,Replogle_two_cellline,0.0559568016435778,0.0619732719862947,0.0589650368149363,0.0619732719862947
Replogle_cellline_holdout_1_K562,K562::CHORDC1,test,context_and_perturbation_unseen,K562,CHORDC1,0.0754607274914993,0.035867366939783,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.0608367300033492,0.0649735427028165,0.0629051363530829,0.0649735427028165
Replogle_cellline_holdout_1_K562,K562::CSTF1,test,context_and_perturbation_unseen,K562,CSTF1,0.0754671774402112,0.0358730480074882,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.0995204307314278,0.1187120794619653,0.1091162550966965,0.1187120794619653
Replogle_cellline_holdout_1_K562,K562::DNAJC19,test,context_unseen,K562,DNAJC19,0.0754757217772603,0.0358707346022129,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.2002541412404208,0.2131245518952913,0.2066893465678561,0.2131245518952913
Replogle_cellline_holdout_1_K562,K562::PRPF3,test,context_unseen,K562,PRPF3,0.0754500274830488,0.035869650542736,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.1875844403432275,0.198801229841083,0.1931928350921553,0.198801229841083
