panel_id,culture_condition,outcome,score_name,n_tasks,spearman
H04,Rest,pair_mean_rmse,disagreement_pair_lower,160,0.066931325442400089
H04,Rest,pair_max_rmse,fixed_safeconf,160,0.12239247626860425
H04,Rest,pair_max_rmse,magnitude,160,0.082825500996132659
H04,Rest,pair_max_rmse,disagreement_pair_lower,160,0.083379233563811092
H04,Stim8hr,ensemble_rmse,fixed_safeconf,160,0.099112270010547288
H04,Stim8hr,ensemble_rmse,magnitude,160,0.039745693191140283
H04,Stim8hr,ensemble_rmse,disagreement_pair_lower,160,0.037753427868276103
H04,Stim8hr,pair_mean_rmse,fixed_safeconf,160,0.10897105355677957
H04,Stim8hr,pair_mean_rmse,magnitude,160,0.050773467713582557
H04,Stim8hr,pair_mean_rmse,disagreement_pair_lower,160,0.048828079221844602
H04,Stim8hr,pair_max_rmse,fixed_safeconf,160,0.10579514824797843
H04,Stim8hr,pair_max_rmse,magnitude,160,0.051517637407711238
H04,Stim8hr,pair_max_rmse,disagreement_pair_lower,160,0.04775284190788702
H04,Stim48hr,ensemble_rmse,fixed_safeconf,160,0.097348529239423415
H04,Stim48hr,ensemble_rmse,magnitude,160,0.078111449666002572
H04,Stim48hr,ensemble_rmse,disagreement_pair_lower,160,0.084240595335755314
H04,Stim48hr,pair_mean_rmse,fixed_safeconf,160,0.10767022149302707
H04,Stim48hr,pair_mean_rmse,magnitude,160,0.089868744872846601
H04,Stim48hr,pair_mean_rmse,disagreement_pair_lower,160,0.096703972811437958
H04,Stim48hr,pair_max_rmse,fixed_safeconf,160,0.11854857611625454
H04,Stim48hr,pair_max_rmse,magnitude,160,0.098977499121059423
H04,Stim48hr,pair_max_rmse,disagreement_pair_lower,160,0.10569553498183523
