condition,cell_type,treatment,family_disagreement,model_source_gap,source_delta_dispersion,negative_log_source_cells,support_context_deficit,predicted_magnitude,architecture_balanced_lower_bound,latent_family_disagreement,n_source_contexts,n_source_cells,safeconf,magnitude_percentile_rank,safeconf_percentile_rank,safeconf_m_4to1
KIN,hap1,IFNG,0.009005847257252843,0.17656628171871308,0.04997956701751177,-3.2188758248682006,27.0,0.1651261158912913,0.20490530913267818,0.009005847257252843,2,24,0.8193170243444096,0.5238095238095238,1.0,0.6190476190476191
KIN,ht29,IFNG,0.009005689887177256,0.1467929134356576,0.04997956701751177,-3.2188758248682006,27.0,0.1360630673619009,0.1995216185954407,0.009005689887177256,2,24,0.44729386139818705,0.5238095238095238,1.0,0.6190476190476191
KIN,k562,IFNG,0.009005958754972026,0.18536304963076322,0.04997956701751177,-3.2188758248682006,27.0,0.1778296610408432,0.2044754402374481,0.009005958754972026,2,24,0.685792853007051,0.9047619047619048,1.0,0.9238095238095239
KIN,mcf7,IFNG,0.009005875969624844,0.18477365211869398,0.04997956701751177,-3.2188758248682006,27.0,0.17480330761315263,0.20584662212134072,0.009005875969624844,2,24,0.8400697752419877,0.6190476190476191,1.0,0.6952380952380952
MAFB,hap1,IFNG,0.00900584765092753,0.1693682436943345,0.04196399437910289,-3.4965075614664802,27.0,0.16512596879208938,0.20270554490924608,0.00900584765092753,2,32,-0.02926655934513498,0.38095238095238093,0.42857142857142855,0.3904761904761905
MAFB,ht29,IFNG,0.009005705355234707,0.14182266726011689,0.04196399437910289,-3.4965075614664802,27.0,0.13606287568964695,0.19743215230313635,0.009005705355234707,2,32,-0.1455016532671313,0.23809523809523808,0.3333333333333333,0.2571428571428571
MAFB,k562,IFNG,0.009005846184455091,0.1818960050133974,0.04196399437910289,-3.4965075614664802,27.0,0.17782917403981183,0.2022571706404388,0.009005846184455091,2,32,-0.14875666166741244,0.2857142857142857,0.2857142857142857,0.2857142857142857
MAFB,mcf7,IFNG,0.009005624873076438,0.17866811790540751,0.04196399437910289,-3.4965075614664802,27.0,0.17480283302923882,0.20377644044464713,0.009005624873076438,2,32,-0.4017586181995794,0.2857142857142857,0.23809523809523808,0.2761904761904762
MAFF,hap1,IFNG,0.009005888111527176,0.1680056203810111,0.0437206652328994,-3.4965075614664802,27.0,0.1651254028184199,0.20320505964489374,0.009005888111527176,2,32,0.01945253295870959,0.047619047619047616,0.5238095238095238,0.14285714285714285
MAFF,ht29,IFNG,0.009005956517883286,0.13864709275125636,0.0437206652328994,-3.4965075614664802,27.0,0.13606326309167321,0.19785528616968653,0.009005956517883284,2,32,0.31433345522139183,0.7142857142857143,0.8095238095238095,0.7333333333333333
