condition,cell_type,treatment,family_disagreement,model_source_gap,source_delta_dispersion,negative_log_source_cells,support_context_deficit,predicted_magnitude,architecture_balanced_lower_bound,latent_family_disagreement,n_source_contexts,n_source_cells,safeconf,magnitude_percentile_rank,safeconf_percentile_rank,safeconf_m_4to1,task_id,latent_centroid_error,linear_error,no_change_error,registered_family_rms_error,registered_family_centroid_error,family_identity_residual,family_identity_tolerance,family_lower_tightness
PIK3CA,hap1,INS,0.0090060436890837,0.1613850513058771,0.0529997343853585,-5.262690188904886,17.0,0.1606200601844759,0.1987458424170366,0.0090060436890837,12,192,-1.274373820675594,0.875,0.0625,0.7125,PIK3CA|hap1|INS,0.16023816641376143,0.4227282818060472,0.022196227189470633,0.31973158980406274,0.25045634282002527,-1.8206158802769323e-11,1.022282895368396e-11,0.6216021461590069
PIK3CA,hap1,TGFB,0.0090066354226794,0.1666125126374328,0.0529997343853585,-5.262690188904886,17.0,0.1650760679845208,0.1999242835089017,0.0090066354226794,12,192,-0.2491610907817505,0.7368421052631579,0.2631578947368421,0.6421052631578947,PIK3CA|hap1|TGFB,0.16655026069282172,0.42134418678593916,0.02325914448918038,0.3204302050032022,0.2504112560657141,-2.2562174351037356e-11,1.0267551630095636e-11,0.6239245875928076
PIK3CA,ht29,INS,0.0090060118983929,0.1289147695076521,0.0529997343853585,-5.262690188904886,17.0,0.1291025032400906,0.193262985322539,0.0090060118983929,12,192,-1.281897066288725,0.5,0.0625,0.4125,PIK3CA|ht29|INS,0.13096921911070641,0.42399956863521393,0.018470939271266598,0.31385480624616036,0.24729386942785989,5.143149101050071e-11,9.850483940381486e-12,0.6157719476532738
PIK3CA,ht29,TGFB,0.0090065230719639,0.1332850326520533,0.0529997343853585,-5.262690188904886,17.0,0.1325894733053574,0.1943624110290344,0.0090065230719639,12,192,-0.7093286861042464,0.5789473684210527,0.1578947368421052,0.4947368421052631,PIK3CA|ht29|TGFB,0.13247342514910038,0.4248551480703122,0.01819067844038042,0.31474769472581293,0.24756688873314822,1.171832075819168e-10,9.906611133521354e-12,0.6175181400402311
PIK3CA,k562,INS,0.0090057883109374,0.1657202413789092,0.0529997343853585,-5.262690188904886,17.0,0.165056298709075,0.1978355908679335,0.0090057883109374,12,192,-1.556495999985241,0.25,0.0625,0.2125,PIK3CA|k562|INS,0.16822951250299384,0.42424244787260557,0.021789899372537978,0.3227723095907058,0.2550353755252243,5.516185425102904e-11,1.0418196383851842e-11,0.6129261556507145
PIK3CA,k562,TGFB,0.0090062332986289,0.1675232067430972,0.0529997343853585,-5.262690188904886,17.0,0.1668884915171884,0.1980044500617801,0.0090062332986289,12,192,-0.8213371013336037,0.4736842105263157,0.1578947368421052,0.4105263157894737,PIK3CA|k562|TGFB,0.16949659608686587,0.42581034939443285,0.02330181672122644,0.32413319945253405,0.25662534687667604,8.349394786666409e-11,1.0506233098733623e-11,0.6108737099322521
PIK3CA,mcf7,INS,0.0090059530626829,0.1849810910034877,0.0529997343853585,-5.262690188904886,17.0,0.1829268533156243,0.2020842358578959,0.0090059530626829,12,192,-1.1600143457159484,0.875,0.0625,0.7125,PIK3CA|mcf7|INS,0.1851591841397295,0.42591836334338484,0.026290712501084557,0.3284596496489067,0.2589357120856991,7.188480366515648e-11,1.0788574144748256e-11,0.6152482841466385
PIK3CA,mcf7,TGFB,0.0090062434100207,0.1726895683157545,0.0529997343853585,-5.262690188904886,17.0,0.1702483614569563,0.2002536604766897,0.0090062434100207,12,192,-0.4388278574531134,0.6842105263157895,0.2105263157894736,0.5894736842105263,PIK3CA|mcf7|TGFB,0.17706549074535488,0.4244835649244851,0.023461696834375684,0.3252841813893303,0.25633624418690715,4.396371461323767e-11,1.0580979866212675e-11,0.6156268024512621
POLR2G,hap1,INS,0.0090059780684704,0.1667292357630899,0.0414466935915464,-3.49650756146648,27.0,0.160619884751975,0.2021579665028642,0.0090059780684704,2,32,-0.1330518903183336,0.5625,0.3125,0.5125,POLR2G|hap1|INS,0.1641868488352259,0.43024935262184105,0.03888495501587284,0.32569382432195765,0.25535979324369373,-2.245729643912675e-10,1.0607646742603519e-11,0.6206994158508369
POLR2G,ht29,INS,0.0090058984036209,0.1394992974469419,0.0414466935915464,-3.49650756146648,27.0,0.12910254526924,0.1968462641070171,0.0090058984036209,2,32,0.1469621592991855,0.625,0.5,0.6,POLR2G|ht29|INS,0.13070399850400782,0.43173149850889636,0.025077589921608072,0.3190272153247503,0.25105758811323103,-1.24257715228282e-10,1.0177836424212233e-11,0.6170202874592992
POLR2G,k562,INS,0.0090058698930757,0.1719646049472083,0.0414466935915464,-3.49650756146648,27.0,0.1650563628287139,0.2012352358519247,0.0090058698930757,2,32,-0.1790167401103441,0.3125,0.3125,0.3125,POLR2G|k562|INS,0.16848729349356262,0.43490590976386856,0.027499472883941358,0.3298577148626777,0.2613627590913359,6.621211912083425e-11,1.0880611205442757e-11,0.6100667857221425
POLR2G,mcf7,INS,0.0090058368918674,0.1849896081784266,0.0414466935915464,-3.49650756146648,27.0,0.1829262226599626,0.2055792722776028,0.0090058368918674,2,32,-0.4047928616366895,0.4375,0.1875,0.3875,POLR2G|mcf7|INS,0.192002658859392,0.43437803792240415,0.05102504435417172,0.33587974480200244,0.2656169531228986,-8.222610092811777e-12,1.128152029764809e-11,0.6120621307450071
PPARG,hap1,IFNG,0.0090059249238768,0.1728004197784191,0.0456300091067254,-3.49650756146648,27.0,0.1651264680891367,0.2035666863590298,0.0090059249238768,2,32,0.4717390194202371,0.9047619047619048,0.9047619047619048,0.9047619047619048,PPARG|hap1|IFNG,0.1596883460966988,0.4318876717609628,0.031046711178487073,0.3256596655881249,0.25419445713115474,-4.042874368614946e-11,1.060542178313981e-11,0.6250902640687747
PPARG,ht29,IFNG,0.0090058577039638,0.1425075558261092,0.0456300091067254,-3.49650756146648,27.0,0.136062760601038,0.1982790547005465,0.0090058577039638,2,32,0.3629148523898359,0.1428571428571428,0.8571428571428571,0.2857142857142857,PPARG|ht29|IFNG,0.13445808575995508,0.43386935694308926,0.022305451511749445,0.3212496701892667,0.25275831752341243,-1.349588496513121e-11,1.0320135061020852e-11,0.6172116988749871
PPARG,k562,IFNG,0.0090059395805406,0.1792689021516642,0.0456300091067254,-3.49650756146648,27.0,0.1778294655918949,0.2030828545227137,0.0090059395805406,2,32,-0.0373765767239941,0.6666666666666666,0.4761904761904761,0.6285714285714286,PPARG|k562|IFNG,0.17427745898474567,0.4339815684813261,0.02888803222901298,0.33075197765048964,0.26106364184015096,-1.722263442971439e-10,1.0939687089193633e-11,0.6140034474330923
PPARG,mcf7,IFNG,0.0090059001149885,0.1815659175979904,0.0456300091067254,-3.49650756146648,27.0,0.1748036140090427,0.2045341680286592,0.0090059001149885,2,32,0.4174563920633478,0.8571428571428571,0.9047619047619048,0.8666666666666667,PPARG|mcf7|IFNG,0.16862421211777684,0.4309709356124318,0.028534567146242626,0.3273004571428804,0.25552174735475536,-1.646474623306915e-11,1.0712558926240324e-11,0.6249125644800779
PRKCA,hap1,TGFB,0.0090066003568723,0.1704619912440644,0.0385373733380046,-3.49650756146648,27.0,0.1650761561061908,0.2040929244015865,0.0090066003568723,2,32,0.3904923149044481,0.8421052631578947,0.8421052631578947,0.8421052631578947,PRKCA|hap1|TGFB,0.16427461764651882,0.4308589034391855,0.02049058510978843,0.3261185854299903,0.25436078684097535,8.970604814528826e-11,1.0635333176285788e-11,0.6258242661407604
PRKCA,ht29,TGFB,0.0090065644978858,0.1443618310804152,0.0385373733380046,-3.49650756146648,27.0,0.1325892101198271,0.1986419962492729,0.0090065644978858,2,32,0.4902499180176596,0.1578947368421052,0.8947368421052632,0.3052631578947368,PRKCA|ht29|TGFB,0.1325412667732841,0.4332304234773723,0.01687676565007206,0.3204191828123784,0.2514156120255517,7.007347480048054e-11,1.026684527141524e-11,0.6199441447473758
PRKCA,k562,TGFB,0.0090064807489026,0.1733399395273906,0.0385373733380046,-3.49650756146648,27.0,0.1668885479519943,0.2020763456058112,0.0090064807489026,2,32,0.4724348143412442,0.631578947368421,0.9473684210526316,0.6947368421052632,PRKCA|k562|TGFB,0.1684114698527776,0.43557229867580743,0.019523260116134283,0.3302777370995358,0.2612442042744837,-9.681733886823807e-11,1.0908338372040741e-11,0.6118376230272871
PRKCA,mcf7,TGFB,0.0090065025451101,0.173200729478335,0.0385373733380046,-3.49650756146648,27.0,0.1702478527392041,0.204593542042404,0.0090065025451101,2,32,0.411400469078325,0.3684210526315789,0.7894736842105263,0.4526315789473684,PRKCA|mcf7|TGFB,0.1738874415434065,0.4330681964568297,0.020244336777271145,0.3300500130260397,0.25898743926597884,-4.4517042829816944e-11,1.0893301114300602e-11,0.6198864837683323
PTPN11,hap1,IFNG,0.0090058577856537,0.1707506058336363,0.044793713294814,-3.49650756146648,27.0,0.1651263242112055,0.2039894898870179,0.0090058577856537,2,32,0.1862054055917802,0.8095238095238095,0.7142857142857143,0.7904761904761904,PTPN11|hap1|IFNG,0.1668836701203144,0.43089557536141726,0.023024132321802254,0.3268044229300823,0.25532218634923526,2.0144656776022174e-11,1.0680113084666409e-11,0.6241943975484696
PTPN11,ht29,IFNG,0.0090058116319096,0.1455033565301921,0.044793713294814,-3.49650756146648,27.0,0.1360629996865636,0.1986811939742065,0.0090058116319096,2,32,0.3806818043296517,0.4761904761904761,0.9047619047619048,0.5619047619047619,PTPN11|ht29|IFNG,0.13235103764231587,0.4342521201668544,0.015307307519880266,0.32107071314397023,0.2522145635180449,-5.0836557186073605e-11,1.0308640288961418e-11,0.6188082121495665
PTPN11,k562,IFNG,0.0090059558711852,0.1856757926126719,0.044793713294814,-3.49650756146648,27.0,0.1778294545322702,0.20348095922112,0.0090059558711852,2,32,0.4337623800623029,0.6190476190476191,0.9047619047619048,0.6761904761904762,PTPN11|k562|IFNG,0.17494616039445787,0.43453575408218054,0.01970181481515758,0.33129185611307016,0.26143793384312664,-9.086698060656317e-11,1.0975429401771017e-11,0.6142045313413071
PTPN11,mcf7,IFNG,0.0090057452080675,0.1822460524198163,0.044793713294814,-3.49650756146648,27.0,0.1748030754947962,0.2050244637506894,0.0090057452080675,2,32,0.1654750301629599,0.4285714285714285,0.6190476190476191,0.4666666666666667,PTPN11|mcf7|IFNG,0.1707992263944014,0.4323522657984594,0.017376130158055825,0.3287719277285853,0.2570135206457325,-6.860199908143017e-11,1.0809098053097214e-11,0.6236069641564577
RELA,hap1,TGFB,0.0090064078475383,0.1680103455873066,0.0415722707040588,-3.49650756146648,27.0,0.1650758122985942,0.2032597936194816,0.0090064078475383,2,32,-0.3345096147102733,0.4736842105263157,0.2105263157894736,0.4210526315789473,RELA|hap1|TGFB,0.166622966965224,0.42858669630839,0.020087037362046194,0.3252159934221797,0.2538718156433572,-1.0271376804649179e-10,1.05765442480289e-11,0.6249993780460222
RELA,ht29,TGFB,0.0090063860466102,0.1372123475073859,0.0415722707040588,-3.49650756146648,27.0,0.1325896169051303,0.19780316442183,0.0090063860466102,2,32,-0.2447054520886804,0.8421052631578947,0.2631578947368421,0.7263157894736842,RELA|ht29|TGFB,0.13044728507985925,0.4316239080267124,0.018731382815917054,0.3189018713919523,0.2501445819671757,-1.655332954042521e-10,1.0169840374282259e-11,0.6202634169515936
RELA,k562,TGFB,0.0090063412582338,0.1731302015347906,0.0415722707040588,-3.49650756146648,27.0,0.166888859898548,0.2012506639173632,0.0090063412582338,2,32,0.3095034200125325,0.8947368421052632,0.6842105263157895,0.8526315789473684,RELA|k562|TGFB,0.16942440245475734,0.4335452501035925,0.020996401564116505,0.3292014779868082,0.2605221362691256,-1.047093800554677e-10,1.0837361321340835e-11,0.6113297702916989
RELA,mcf7,TGFB,0.0090060570219939,0.1736697489377507,0.0415722707040588,-3.49650756146648,27.0,0.170246953860607,0.2036907660923244,0.0090060570219939,2,32,-0.1569657606865857,0.1578947368421052,0.3684210526315789,0.2,RELA|mcf7|TGFB,0.17306231814869252,0.4315706051064037,0.02035447896792798,0.3288501651345109,0.2581714603959653,-4.526842789509544e-11,1.0814243115426351e-11,0.6194029612513894
RNF14,hap1,IFNG,0.0090058815657253,0.1713558676880322,0.0439682374352284,-3.49650756146648,27.0,0.165125882713943,0.2032881687886825,0.0090058815657253,2,32,0.2371229116241208,0.2857142857142857,0.7619047619047619,0.3809523809523809,RNF14|hap1|IFNG,0.16396883588479044,0.429493902378834,0.020654886516371318,0.32513989083530537,0.25375158926725516,-1.2719332531663241e-11,1.0571594862511364e-11,0.6252329367104789
RNF14,ht29,IFNG,0.0090057536056145,0.145634397792581,0.0439682374352284,-3.49650756146648,27.0,0.1360629541799389,0.1981100697292807,0.0090057536056145,2,32,0.2282872942500086,0.3333333333333333,0.5714285714285714,0.3809523809523809,RNF14|ht29|IFNG,0.1316079013435745,0.43283704483301144,0.015830924037930353,0.3199606621710233,0.25125131959933344,8.372844084725273e-12,1.023748253369197e-11,0.6191700829253447
RNF14,k562,IFNG,0.0090059907666627,0.1843914402753236,0.0439682374352284,-3.49650756146648,27.0,0.1778293771207595,0.202826986578929,0.0090059907666627,2,32,0.3702419867567992,0.4761904761904761,0.8571428571428571,0.5523809523809524,RNF14|k562|IFNG,0.17624417482640653,0.4333638973313355,0.01851536177331389,0.33086808892679154,0.26140946007876875,-3.3295234624919345e-11,1.0947369230336246e-11,0.6130146525668932
RNF14,mcf7,IFNG,0.0090057472295475,0.1805182612328853,0.0439682374352284,-3.49650756146648,27.0,0.1748025706649643,0.2043086699601098,0.0090057472295475,2,32,0.0161281781147957,0.0476190476190476,0.5238095238095238,0.1428571428571428,RNF14|mcf7|IFNG,0.17124935204789307,0.4311269943542661,0.018849648532207372,0.3280837768931352,0.25670397740442774,2.4342500237750642e-11,1.0763896466046453e-11,0.6227332295880577
RPS6KB1,hap1,INS,0.0090060229415523,0.1659188844745577,0.0494000313060906,-4.174387269895637,25.0,0.1606200311011068,0.2001185258457796,0.0090060229415523,4,64,-0.2065543460568102,0.8125,0.1875,0.6875,RPS6KB1|hap1|INS,0.16087157254965606,0.4253923588838698,0.021408876845785563,0.3216515430559957,0.2518179714346323,2.6161788013734366e-11,1.0345971515030306e-11,0.6221593838613776
RPS6KB1,ht29,INS,0.0090059994390354,0.1348068044116962,0.0494000313060906,-4.174387269895637,25.0,0.1291025244918435,0.1947591539448955,0.0090059994390354,4,64,-0.093678305694646,0.5625,0.3125,0.5125,RPS6KB1|ht29|INS,0.12859635575093398,0.42719554268005305,0.01762615914524443,0.3155266727425922,0.2482457517740309,-1.0717441517593684e-10,9.955708131918531e-12,0.6172509989473403
RPS6KB1,k562,INS,0.00900612246655,0.1686934414501107,0.0494000313060906,-4.174387269895637,25.0,0.1650570134339624,0.1990992956028637,0.00900612246655,4,64,-0.0359075126249732,0.9375,0.4375,0.8375,RPS6KB1|k562|INS,0.16912877953090072,0.42822800962196783,0.02156088245418852,0.3256262293890702,0.25766627957204963,1.2808522298346503e-10,1.0603244126614339e-11,0.6114350676737793
RPS6KB1,mcf7,INS,0.0090059992361144,0.186993801484427,0.0494000313060906,-4.174387269895637,25.0,0.1829263863458479,0.2035958011975481,0.0090059992361144,4,64,-0.0698330357447451,0.5,0.4375,0.4875,RPS6KB1|mcf7|INS,0.17944360416132443,0.42699190156551975,0.021676607443589225,0.32756922863662385,0.2566132290381072,-3.3042825420270816e-11,1.0730159958263559e-11,0.6215351852337729
RUNX1,hap1,IFNG,0.0090059301077735,0.1672689914071165,0.0497824345033924,-4.174387269895637,25.0,0.1651260009721636,0.2012087021860408,0.0090059301077735,4,64,0.0021448404854616,0.4285714285714285,0.4761904761904761,0.4380952380952381,RUNX1|hap1|IFNG,0.16581983387276622,0.4250072341750039,0.019395661300515905,0.32265188143243834,0.2522286556631525,1.886021894215162e-11,1.0410423659189225e-11,0.623609263621086
RUNX1,hap1,TGFB,0.0090065409161754,0.1672192878279554,0.0497824345033924,-4.174387269895637,25.0,0.1650763315862919,0.2016054861108933,0.0090065409161754,4,64,0.0106342569348977,1.0,0.4736842105263157,0.8947368421052632,RUNX1|hap1|TGFB,0.1642001705125221,0.4255632415107621,0.020135674153783308,0.32260415860676944,0.25185049355105604,1.8461523976220917e-11,1.0407344315038166e-11,0.62493145463954
