dataset_name,record_id,n_rows,artifact_classes,source_csvs,rmse_min,rmse_max,rmse_range
frangieh,GEARS::frangieh::seed1::single::SAT1+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.028251951560378,0.0325564220547676,0.004304470494389603
frangieh,GEARS::frangieh::seed2::single::CKS1B+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0305290017277002,0.0348323173820972,0.004303315654397004
frangieh,GEARS::frangieh::seed2::single::CTSA+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0301857963204383,0.0344728976488113,0.004287101328373
frangieh,GEARS::frangieh::seed1::single::PTMA+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0328474789857864,0.0370484665036201,0.004200987517833696
frangieh,GEARS::frangieh::seed2::single::SERPINE2+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0313682332634925,0.0354525409638881,0.004084307700395598
frangieh,GEARS::frangieh::seed2::single::NPC1+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0330103933811187,0.0370332486927509,0.004022855311632205
frangieh,GEARS::frangieh::seed2::single::SP100+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0305784307420253,0.0344304330646991,0.0038520023226737976
frangieh,GEARS::frangieh::seed2::single::EVA1A+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0291721522808074,0.0330055654048919,0.003833413124084497
frangieh,GEARS::frangieh::seed1::single::TXNDC17+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0376253575086593,0.0413929037749767,0.0037675462663174022
frangieh,GEARS::frangieh::seed2::single::ISYNA1+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0340074375271797,0.0377372205257415,0.0037297829985618036
frangieh,GEARS::frangieh::seed2::single::SLC19A1+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0309573393315076,0.0346565619111061,0.003699222579598503
frangieh,GEARS::frangieh::seed1::single::UBC+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0408256724476814,0.0443117693066597,0.0034860968589782992
frangieh,GEARS::frangieh::seed2::single::GPATCH4+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0348119363188743,0.0382825620472431,0.003470625728368801
frangieh,GEARS::frangieh::seed2::single::C1QBP+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.038761917501688,0.0419213846325874,0.0031594671308994016
adamson,GEARS::adamson::seed2::single::YIPF5+ctrl,2,formal_adamson_dixit_norman;smoke,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_formal/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_uncertainty_smoke/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0306621436029672,0.0337443575263023,0.003082213923335103
frangieh,GEARS::frangieh::seed1::single::PFN1+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0444451533257961,0.0474858283996582,0.0030406750738621036
frangieh,GEARS::frangieh::seed1::single::RNASEH2A+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0460561104118824,0.049085896462202,0.0030297860503196022
frangieh,GEARS::frangieh::seed3::single::A2M+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0263269450515508,0.0292454771697521,0.002918532118201301
frangieh,GEARS::frangieh::seed1::single::PABPC1+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.053723644465208,0.0565841011703014,0.0028604567050934046
frangieh,GEARS::frangieh::seed3::single::TTLL1+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0262648724019527,0.0290820691734552,0.0028171967715025018
frangieh,GEARS::frangieh::seed3::single::CD59+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0265704337507486,0.0292426943778991,0.002672260627150501
frangieh,GEARS::frangieh::seed3::single::SLC25A13+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0278179496526718,0.0304812937974929,0.002663344144821101
frangieh,GEARS::frangieh::seed2::single::CDK6+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0524886213243007,0.0551364794373512,0.0026478581130505024
frangieh,GEARS::frangieh::seed3::single::STOM+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0293252002447843,0.0319517962634563,0.0026265960186720033
frangieh,GEARS::frangieh::seed3::single::LRPAP1+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0288661420345306,0.0314566567540168,0.0025905147194861984
frangieh,GEARS::frangieh::seed3::single::LGALS3BP+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0300298035144805,0.0325827226042747,0.0025529190897942006
frangieh,GEARS::frangieh::seed3::single::IRF3+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0292196087539196,0.031702771782875,0.002483163028955397
frangieh,GEARS::frangieh::seed1::single::CCT3+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0613631457090377,0.0638178139925003,0.0024546682834626077
frangieh,GEARS::frangieh::seed3::single::SLC19A1+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0309282261878252,0.0332981422543525,0.0023699160665273007
frangieh,GEARS::frangieh::seed3::single::RNF213+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0291545111685991,0.0315115936100482,0.002357082441449096
frangieh,GEARS::frangieh::seed3::single::PROS1+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0309739168733358,0.0332672782242298,0.0022933613508939986
