dataset_name,score_name,feature_name,low_risk_median,high_risk_median,high_minus_low
LaraAstiasoHuntly2023_exvivo,safeconf_lodo_risk,prediction_l2_norm,24.267807006835938,67.5067138671875,43.23890686035156
LaraAstiasoHuntly2023_exvivo,safeconf_lodo_risk,prediction_magnitude_deviation,0.3140368192320122,0.7496639540494596,0.4356271348174474
LaraAstiasoHuntly2023_exvivo,safeconf_lodo_risk,prediction_norm_ratio,0.7399157692204257,2.04653438024679,1.3066186110263642
LaraAstiasoHuntly2023_invivo,predicted_magnitude,context_similarity_max,0.9824217474648534,0.9869811819023622,0.004559434437508725
LaraAstiasoHuntly2023_invivo,predicted_magnitude,context_similarity_mean,0.6719758213412796,0.587929744020664,-0.08404607732061564
LaraAstiasoHuntly2023_invivo,predicted_magnitude,historical_residual_risk,1.8045221781810599,6.711931643619044,4.9074094654379845
LaraAstiasoHuntly2023_invivo,predicted_magnitude,model_disagreement_cosine,0.41909325141926557,0.0934668882679728,-0.3256263631512928
LaraAstiasoHuntly2023_invivo,predicted_magnitude,model_disagreement_rmse,1.2827506260465091,6.234274115580737,4.951523489534228
LaraAstiasoHuntly2023_invivo,predicted_magnitude,ood_mean_k_distance,0.17624986030318895,0.13191319181448574,-0.04433666848870321
LaraAstiasoHuntly2023_invivo,predicted_magnitude,ood_nearest_distance,0.11801235584512679,0.0518862111161029,-0.0661261447290239
LaraAstiasoHuntly2023_invivo,predicted_magnitude,perturbation_effect_stability,0.2325345550105002,0.3875153064057086,0.1549807513952084
LaraAstiasoHuntly2023_invivo,predicted_magnitude,perturbation_effect_variance,11.802631378173828,106.0416259765625,94.23899459838867
LaraAstiasoHuntly2023_invivo,predicted_magnitude,perturbation_support_count,7.0,6.0,-1.0
LaraAstiasoHuntly2023_invivo,predicted_magnitude,prediction_abs_mean,0.111331969499588,0.3344223946332931,0.22309042513370508
LaraAstiasoHuntly2023_invivo,predicted_magnitude,prediction_l2_norm,56.76416015625,456.4800262451172,399.7158660888672
LaraAstiasoHuntly2023_invivo,predicted_magnitude,prediction_magnitude_deviation,0.6446566625701027,1.4556967466186883,0.8110400840485856
LaraAstiasoHuntly2023_invivo,predicted_magnitude,prediction_norm_ratio,0.5248511253490273,4.287548362377864,3.7626972370288367
LaraAstiasoHuntly2023_invivo,protocol_v0_2_family_confidence,context_similarity_max,,,
LaraAstiasoHuntly2023_invivo,protocol_v0_2_family_confidence,context_similarity_mean,,,
LaraAstiasoHuntly2023_invivo,protocol_v0_2_family_confidence,historical_residual_risk,,,
LaraAstiasoHuntly2023_invivo,protocol_v0_2_family_confidence,model_disagreement_cosine,,,
LaraAstiasoHuntly2023_invivo,protocol_v0_2_family_confidence,model_disagreement_rmse,,,
