evidence_family,dataset_name,score_or_probe,n,aligned_rho,partial_rho_control_magnitude,aurc_reduction_vs_random_pct,evidence_label,interpretation
corrected_reliability_ladder,CuiHacohen2023,safeconf_lodo_risk,2506,0.3747184220135757,0.2392035639461534,19.825289883727866,strong_transfer_positive,LODO is the main learned transfer claim.
corrected_reliability_ladder,Frangieh,safeconf_lodo_risk,1266,0.5407186872605064,0.2061878635127806,13.711820072775144,strong_transfer_positive,LODO is the main learned transfer claim.
corrected_reliability_ladder,LaraAstiasoHuntly2023_exvivo,safeconf_lodo_risk,646,0.4519349173237357,0.4878451603550968,34.56566998254714,strong_transfer_positive,LODO is the main learned transfer claim.
corrected_reliability_ladder,LaraAstiasoHuntly2023_invivo,safeconf_lodo_risk,750,0.4210436345089804,0.4067195370977943,24.67658050516541,strong_transfer_positive,LODO is the main learned transfer claim.
corrected_reliability_ladder,McFarlandTsherniak2020,safeconf_lodo_risk,2326,0.2480945436934317,0.1622242115982345,14.82640884853836,strong_transfer_positive,LODO is the main learned transfer claim.
corrected_reliability_ladder,SantinhaPlatt2023,safeconf_lodo_risk,546,0.128168582231991,0.2953304513545568,4.339244965156178,positive_but_auc_ci_uncertain,LODO is the main learned transfer claim.
corrected_reliability_ladder,SrivatsanTrapnell2020_sciplex3,safeconf_lodo_risk,1128,0.5008327161174106,0.5938325645724729,21.103140280515717,strong_transfer_positive,LODO is the main learned transfer claim.
lopo_unseen_predictor,CuiHacohen2023,PertMeanPredictor,1253,0.7328412270084542,0.5730533348703635,35.6309087100788,positive_but_auc_ci_uncertain,"Unseen-predictor probe; supports predictor transfer, not a claim of full model independence."
lopo_unseen_predictor,Frangieh,PertMeanPredictor,633,0.8885787560562444,0.8080551140698203,17.319371363511298,positive_but_auc_ci_uncertain,"Unseen-predictor probe; supports predictor transfer, not a claim of full model independence."
lopo_unseen_predictor,LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,323,0.7977278016239576,0.8184462568335567,44.83363823625018,positive_but_auc_ci_uncertain,"Unseen-predictor probe; supports predictor transfer, not a claim of full model independence."
lopo_unseen_predictor,LaraAstiasoHuntly2023_invivo,PertMeanPredictor,375,0.772802568301583,0.7384700481931457,46.3897074544681,positive_but_auc_ci_uncertain,"Unseen-predictor probe; supports predictor transfer, not a claim of full model independence."
lopo_unseen_predictor,McFarlandTsherniak2020,PertMeanPredictor,1163,0.5352654295587383,0.360230125974036,28.547860236470747,positive_but_auc_ci_uncertain,"Unseen-predictor probe; supports predictor transfer, not a claim of full model independence."
lopo_unseen_predictor,SantinhaPlatt2023,PertMeanPredictor,273,0.446040488064962,0.386480120434198,20.910888167675196,positive_but_auc_ci_uncertain,"Unseen-predictor probe; supports predictor transfer, not a claim of full model independence."
lopo_unseen_predictor,SrivatsanTrapnell2020_sciplex3,PertMeanPredictor,564,0.6176666274151736,0.722362949383232,23.62133878977084,positive_but_auc_ci_uncertain,"Unseen-predictor probe; supports predictor transfer, not a claim of full model independence."
lopo_unseen_predictor,CuiHacohen2023,ControlKNNPredictor,1253,0.693012876118623,0.5076654716060637,35.74459467088274,positive_but_auc_ci_uncertain,"Unseen-predictor probe; supports predictor transfer, not a claim of full model independence."
lopo_unseen_predictor,Frangieh,ControlKNNPredictor,633,0.8885787560562444,0.8080551140698203,17.319371363511298,positive_but_auc_ci_uncertain,"Unseen-predictor probe; supports predictor transfer, not a claim of full model independence."
lopo_unseen_predictor,LaraAstiasoHuntly2023_exvivo,ControlKNNPredictor,323,0.797080046856292,0.8177443068223254,44.84313864050497,positive_but_auc_ci_uncertain,"Unseen-predictor probe; supports predictor transfer, not a claim of full model independence."
lopo_unseen_predictor,LaraAstiasoHuntly2023_invivo,ControlKNNPredictor,375,0.74579050469798,0.6961251797748993,47.15512284068321,positive_but_auc_ci_uncertain,"Unseen-predictor probe; supports predictor transfer, not a claim of full model independence."
lopo_unseen_predictor,McFarlandTsherniak2020,ControlKNNPredictor,1163,0.4942362433955954,0.3030690593260871,26.83090515024694,positive_but_auc_ci_uncertain,"Unseen-predictor probe; supports predictor transfer, not a claim of full model independence."
lopo_unseen_predictor,SantinhaPlatt2023,ControlKNNPredictor,273,0.4428048872552951,0.3837750223117128,20.710188377085125,positive_but_auc_ci_uncertain,"Unseen-predictor probe; supports predictor transfer, not a claim of full model independence."
lopo_unseen_predictor,SrivatsanTrapnell2020_sciplex3,ControlKNNPredictor,564,0.6176666274151736,0.722362949383232,23.62133878977084,positive_but_auc_ci_uncertain,"Unseen-predictor probe; supports predictor transfer, not a claim of full model independence."
external_validation,KaggleCrossPatient,safeconf_external_risk,80,0.4277668378285746,0.0744669073127454,15.768100708651025,supportive_positive,External-study support; small-n datasets must be described cautiously.
external_validation,ShifrutMarson2018,safeconf_external_risk,80,0.3233401336485271,0.2463618920170638,9.521043000220905,supportive_but_uncertain,External-study support; small-n datasets must be described cautiously.
external_validation,XieHon2017,safeconf_external_risk,30,0.383613494528798,0.5575554262864169,15.407936711689995,supportive_but_uncertain,External-study support; small-n datasets must be described cautiously.
external_validation,crossPatient,safeconf_external_risk,16,0.0368460738296498,0.2229156279205562,3.1924957226155968,supportive_but_uncertain,External-study support; small-n datasets must be described cautiously.
