shard,row_group,n_rows,selected_samples_present
train-00004-of-03388.parquet,27,1000,smp_1877;smp_1878
train-00005-of-03388.parquet,4,1000,smp_1792
train-00005-of-03388.parquet,5,1000,smp_1792
train-00005-of-03388.parquet,8,1000,smp_1799
train-00005-of-03388.parquet,9,1000,smp_1799
train-00005-of-03388.parquet,13,1000,smp_1808
train-00005-of-03388.parquet,14,1000,smp_1808
train-00006-of-03388.parquet,6,1000,smp_1851
train-00006-of-03388.parquet,7,1000,smp_1851
train-00006-of-03388.parquet,12,1000,smp_1862
train-00006-of-03388.parquet,13,1000,smp_1862;smp_1863
train-00006-of-03388.parquet,14,1000,smp_1863
train-00006-of-03388.parquet,17,1000,smp_1869
train-00006-of-03388.parquet,18,1000,smp_1869
train-00006-of-03388.parquet,21,1000,smp_1874;smp_1875
train-00006-of-03388.parquet,22,1000,smp_1875
train-00006-of-03388.parquet,23,1000,smp_1877
train-00006-of-03388.parquet,24,1000,smp_1877;smp_1878
train-00007-of-03388.parquet,2,1000,smp_1792
train-00007-of-03388.parquet,6,1000,smp_1799
train-00007-of-03388.parquet,11,1000,smp_1808
train-00007-of-03388.parquet,12,1000,smp_1808
train-00008-of-03388.parquet,4,1000,smp_1851
train-00008-of-03388.parquet,5,1000,smp_1851
train-00008-of-03388.parquet,11,1000,smp_1862;smp_1863
train-00008-of-03388.parquet,12,1000,smp_1863
train-00008-of-03388.parquet,16,1000,smp_1869
train-00008-of-03388.parquet,19,1000,smp_1874;smp_1875
train-00008-of-03388.parquet,20,1000,smp_1875
train-00008-of-03388.parquet,21,1000,smp_1877
train-00008-of-03388.parquet,22,1000,smp_1877;smp_1878
train-00008-of-03388.parquet,23,1000,smp_1878
train-00008-of-03388.parquet,28,225,smp_1792
train-00009-of-03388.parquet,0,1000,smp_1792
train-00009-of-03388.parquet,3,1000,smp_1799
train-00009-of-03388.parquet,4,1000,smp_1799
train-00009-of-03388.parquet,8,1000,smp_1808
train-00009-of-03388.parquet,9,1000,smp_1808
train-00010-of-03388.parquet,0,1000,smp_1851
train-00010-of-03388.parquet,6,1000,smp_1862;smp_1863
train-00010-of-03388.parquet,7,1000,smp_1863
train-00010-of-03388.parquet,10,1000,smp_1869
train-00010-of-03388.parquet,11,1000,smp_1869
train-00010-of-03388.parquet,13,1000,smp_1874
train-00010-of-03388.parquet,14,1000,smp_1874;smp_1875
train-00010-of-03388.parquet,15,1000,smp_1875
train-00010-of-03388.parquet,16,1000,smp_1877;smp_1878
train-00010-of-03388.parquet,17,1000,smp_1878
train-00010-of-03388.parquet,22,1000,smp_1792
train-00010-of-03388.parquet,23,1000,smp_1792
train-00010-of-03388.parquet,26,1000,smp_1799
train-00010-of-03388.parquet,27,1000,smp_1799
train-00011-of-03388.parquet,3,1000,smp_1808
train-00011-of-03388.parquet,23,1000,smp_1851
train-00012-of-03388.parquet,0,1000,smp_1862
train-00012-of-03388.parquet,1,1000,smp_1862;smp_1863
train-00012-of-03388.parquet,2,1000,smp_1863
train-00012-of-03388.parquet,5,1000,smp_1869
train-00012-of-03388.parquet,6,1000,smp_1869
train-00012-of-03388.parquet,8,1000,smp_1874
train-00012-of-03388.parquet,9,1000,smp_1874;smp_1875
train-00012-of-03388.parquet,10,1000,smp_1875;smp_1877
train-00012-of-03388.parquet,11,1000,smp_1877;smp_1878
train-00012-of-03388.parquet,17,1000,smp_1792
train-00012-of-03388.parquet,20,1000,smp_1799
train-00012-of-03388.parquet,21,1000,smp_1799
train-00012-of-03388.parquet,25,1000,smp_1808
train-00012-of-03388.parquet,26,1000,smp_1808
train-00013-of-03388.parquet,16,1000,smp_1851
train-00013-of-03388.parquet,21,1000,smp_1862
train-00013-of-03388.parquet,22,1000,smp_1862;smp_1863
train-00013-of-03388.parquet,23,1000,smp_1863
train-00013-of-03388.parquet,26,1000,smp_1869
train-00014-of-03388.parquet,0,1000,smp_1874
train-00014-of-03388.parquet,1,1000,smp_1874;smp_1875
train-00014-of-03388.parquet,2,1000,smp_1875
train-00014-of-03388.parquet,3,1000,smp_1877;smp_1878
train-00014-of-03388.parquet,4,1000,smp_1878
train-00014-of-03388.parquet,9,1000,smp_1792
train-00014-of-03388.parquet,10,1000,smp_1792
train-00014-of-03388.parquet,13,1000,smp_1799
train-00014-of-03388.parquet,17,1000,smp_1808
train-00014-of-03388.parquet,18,1000,smp_1808
train-00015-of-03388.parquet,8,1000,smp_1851
train-00015-of-03388.parquet,9,1000,smp_1851
train-00015-of-03388.parquet,14,1000,smp_1862;smp_1863
train-00015-of-03388.parquet,15,1000,smp_1863
train-00015-of-03388.parquet,18,1000,smp_1869
train-00015-of-03388.parquet,19,1000,smp_1869
train-00015-of-03388.parquet,21,1000,smp_1874
train-00015-of-03388.parquet,22,1000,smp_1874;smp_1875
train-00015-of-03388.parquet,23,1000,smp_1875
train-00015-of-03388.parquet,24,1000,smp_1877;smp_1878
train-00015-of-03388.parquet,25,1000,smp_1878
train-00016-of-03388.parquet,2,1000,smp_1792
train-00016-of-03388.parquet,5,1000,smp_1799
train-00016-of-03388.parquet,6,1000,smp_1799
train-00016-of-03388.parquet,10,1000,smp_1808
train-00016-of-03388.parquet,11,1000,smp_1808
train-00017-of-03388.parquet,1,1000,smp_1851
train-00017-of-03388.parquet,2,1000,smp_1851
train-00017-of-03388.parquet,7,1000,smp_1862;smp_1863
train-00017-of-03388.parquet,8,1000,smp_1863
train-00017-of-03388.parquet,11,1000,smp_1869
train-00017-of-03388.parquet,12,1000,smp_1869
train-00017-of-03388.parquet,14,1000,smp_1874
train-00017-of-03388.parquet,15,1000,smp_1874;smp_1875
train-00017-of-03388.parquet,16,1000,smp_1875
train-00017-of-03388.parquet,17,1000,smp_1877;smp_1878
train-00017-of-03388.parquet,18,1000,smp_1878
train-00017-of-03388.parquet,24,1000,smp_1792
train-00017-of-03388.parquet,25,1000,smp_1792
train-00018-of-03388.parquet,0,1000,smp_1799
train-00018-of-03388.parquet,1,1000,smp_1799
train-00018-of-03388.parquet,6,1000,smp_1808
train-00018-of-03388.parquet,7,1000,smp_1808
train-00019-of-03388.parquet,1,1000,smp_1851
train-00019-of-03388.parquet,2,1000,smp_1851
train-00019-of-03388.parquet,8,1000,smp_1862
train-00019-of-03388.parquet,9,1000,smp_1862;smp_1863
train-00019-of-03388.parquet,13,1000,smp_1869
train-00019-of-03388.parquet,14,1000,smp_1869
train-00019-of-03388.parquet,16,1000,smp_1874
train-00019-of-03388.parquet,17,1000,smp_1874;smp_1875
train-00019-of-03388.parquet,18,1000,smp_1875
train-00019-of-03388.parquet,19,1000,smp_1877
train-00019-of-03388.parquet,20,1000,smp_1877;smp_1878
train-00019-of-03388.parquet,26,1000,smp_1792
train-00019-of-03388.parquet,27,1000,smp_1792
train-00020-of-03388.parquet,2,1000,smp_1799
train-00020-of-03388.parquet,3,1000,smp_1799
train-00020-of-03388.parquet,8,1000,smp_1808
train-00020-of-03388.parquet,9,1000,smp_1808
train-00021-of-03388.parquet,2,1000,smp_1851
train-00021-of-03388.parquet,3,1000,smp_1851
train-00021-of-03388.parquet,9,1000,smp_1862
train-00021-of-03388.parquet,10,1000,smp_1862;smp_1863
train-00021-of-03388.parquet,11,1000,smp_1863
train-00021-of-03388.parquet,14,1000,smp_1869
train-00021-of-03388.parquet,15,1000,smp_1869
train-00021-of-03388.parquet,18,1000,smp_1874
train-00021-of-03388.parquet,19,1000,smp_1874;smp_1875
train-00021-of-03388.parquet,20,1000,smp_1875;smp_1877
train-00021-of-03388.parquet,21,1000,smp_1877;smp_1878
train-00021-of-03388.parquet,22,1000,smp_1878
train-00021-of-03388.parquet,28,225,smp_1792
train-00022-of-03388.parquet,0,1000,smp_1792
train-00022-of-03388.parquet,4,1000,smp_1799
train-00022-of-03388.parquet,9,1000,smp_1808
train-00022-of-03388.parquet,10,1000,smp_1808
train-00023-of-03388.parquet,3,1000,smp_1851
train-00023-of-03388.parquet,4,1000,smp_1851
train-00023-of-03388.parquet,9,1000,smp_1862
train-00023-of-03388.parquet,10,1000,smp_1862;smp_1863
train-00023-of-03388.parquet,11,1000,smp_1863
train-00023-of-03388.parquet,15,1000,smp_1869
train-00023-of-03388.parquet,18,1000,smp_1874
train-00023-of-03388.parquet,19,1000,smp_1874;smp_1875
train-00023-of-03388.parquet,20,1000,smp_1875;smp_1877
train-00023-of-03388.parquet,21,1000,smp_1877;smp_1878
train-00023-of-03388.parquet,22,1000,smp_1878
train-00023-of-03388.parquet,27,1000,smp_1792
train-00023-of-03388.parquet,28,225,smp_1792
train-00024-of-03388.parquet,0,1000,smp_1792
train-00024-of-03388.parquet,3,1000,smp_1799
train-00024-of-03388.parquet,4,1000,smp_1799
train-00024-of-03388.parquet,9,1000,smp_1808
train-00024-of-03388.parquet,10,1000,smp_1808
train-00025-of-03388.parquet,3,1000,smp_1851
train-00025-of-03388.parquet,9,1000,smp_1862
train-00025-of-03388.parquet,10,1000,smp_1862;smp_1863
train-00025-of-03388.parquet,11,1000,smp_1863
train-00025-of-03388.parquet,14,1000,smp_1869
train-00025-of-03388.parquet,15,1000,smp_1869
train-00025-of-03388.parquet,17,1000,smp_1874
train-00025-of-03388.parquet,18,1000,smp_1874;smp_1875
train-00025-of-03388.parquet,19,1000,smp_1875
train-00025-of-03388.parquet,20,1000,smp_1877;smp_1878
train-00025-of-03388.parquet,21,1000,smp_1878
train-00025-of-03388.parquet,27,1000,smp_1792
train-00025-of-03388.parquet,28,225,smp_1792
train-00026-of-03388.parquet,3,1000,smp_1799
train-00026-of-03388.parquet,8,1000,smp_1808
train-00026-of-03388.parquet,9,1000,smp_1808
train-00027-of-03388.parquet,1,1000,smp_1851
train-00027-of-03388.parquet,2,1000,smp_1851
train-00027-of-03388.parquet,8,1000,smp_1862;smp_1863
train-00027-of-03388.parquet,9,1000,smp_1863
train-00027-of-03388.parquet,13,1000,smp_1869
train-00027-of-03388.parquet,16,1000,smp_1874
train-00027-of-03388.parquet,17,1000,smp_1874;smp_1875
train-00027-of-03388.parquet,18,1000,smp_1875;smp_1877
train-00027-of-03388.parquet,19,1000,smp_1877;smp_1878
train-00027-of-03388.parquet,20,1000,smp_1878
train-00027-of-03388.parquet,26,1000,smp_1792
train-00028-of-03388.parquet,2,1000,smp_1799
train-00028-of-03388.parquet,3,1000,smp_1799
train-00028-of-03388.parquet,7,1000,smp_1808
train-00028-of-03388.parquet,8,1000,smp_1808
train-00029-of-03388.parquet,2,1000,smp_1851
train-00029-of-03388.parquet,3,1000,smp_1851
train-00029-of-03388.parquet,9,1000,smp_1862
train-00029-of-03388.parquet,10,1000,smp_1862;smp_1863
train-00029-of-03388.parquet,11,1000,smp_1863
train-00029-of-03388.parquet,14,1000,smp_1869
train-00029-of-03388.parquet,15,1000,smp_1869
train-00029-of-03388.parquet,18,1000,smp_1874
train-00029-of-03388.parquet,19,1000,smp_1874;smp_1875
train-00029-of-03388.parquet,20,1000,smp_1875
train-00029-of-03388.parquet,21,1000,smp_1877;smp_1878
train-00029-of-03388.parquet,22,1000,smp_1878
train-00030-of-03388.parquet,0,1000,smp_1792
train-00030-of-03388.parquet,4,1000,smp_1799
train-00030-of-03388.parquet,5,1000,smp_1799
train-00030-of-03388.parquet,9,1000,smp_1808
train-00030-of-03388.parquet,10,1000,smp_1808
train-00031-of-03388.parquet,3,1000,smp_1851
train-00031-of-03388.parquet,4,1000,smp_1851
train-00031-of-03388.parquet,9,1000,smp_1862
train-00031-of-03388.parquet,10,1000,smp_1862;smp_1863
train-00031-of-03388.parquet,11,1000,smp_1863
train-00031-of-03388.parquet,15,1000,smp_1869
train-00031-of-03388.parquet,18,1000,smp_1874
train-00031-of-03388.parquet,19,1000,smp_1874;smp_1875
train-00031-of-03388.parquet,20,1000,smp_1875
train-00031-of-03388.parquet,21,1000,smp_1877;smp_1878
train-00031-of-03388.parquet,22,1000,smp_1878
train-00031-of-03388.parquet,25,1000,smp_1792
train-00031-of-03388.parquet,27,1000,smp_1799
train-00031-of-03388.parquet,28,225,smp_1799
train-00032-of-03388.parquet,0,1000,smp_1799
train-00032-of-03388.parquet,2,1000,smp_1808
train-00032-of-03388.parquet,3,1000,smp_1808
train-00032-of-03388.parquet,14,1000,smp_1851
train-00032-of-03388.parquet,17,1000,smp_1862;smp_1863
train-00032-of-03388.parquet,18,1000,smp_1863
train-00032-of-03388.parquet,20,1000,smp_1869
train-00032-of-03388.parquet,22,1000,smp_1874;smp_1875
train-00032-of-03388.parquet,23,1000,smp_1875;smp_1877
train-00032-of-03388.parquet,24,1000,smp_1877;smp_1878
train-00033-of-03388.parquet,2,1000,smp_1792
train-00033-of-03388.parquet,3,1000,smp_1792
train-00033-of-03388.parquet,6,1000,smp_1799
train-00033-of-03388.parquet,7,1000,smp_1799
train-00033-of-03388.parquet,12,1000,smp_1808
train-00033-of-03388.parquet,13,1000,smp_1808
train-00034-of-03388.parquet,9,1000,smp_1851
train-00034-of-03388.parquet,16,1000,smp_1862;smp_1863
train-00034-of-03388.parquet,17,1000,smp_1863
train-00034-of-03388.parquet,21,1000,smp_1869
train-00034-of-03388.parquet,22,1000,smp_1869
train-00034-of-03388.parquet,25,1000,smp_1874;smp_1875
train-00034-of-03388.parquet,26,1000,smp_1875
train-00034-of-03388.parquet,27,1000,smp_1877
train-00034-of-03388.parquet,28,225,smp_1877
train-00035-of-03388.parquet,0,1000,smp_1877;smp_1878
train-00035-of-03388.parquet,1,1000,smp_1878
train-00035-of-03388.parquet,7,1000,smp_1792
train-00035-of-03388.parquet,11,1000,smp_1799
train-00035-of-03388.parquet,12,1000,smp_1799
train-00035-of-03388.parquet,17,1000,smp_1808
train-00035-of-03388.parquet,18,1000,smp_1808
train-00036-of-03388.parquet,13,1000,smp_1851
train-00036-of-03388.parquet,20,1000,smp_1862
train-00036-of-03388.parquet,21,1000,smp_1862;smp_1863
train-00036-of-03388.parquet,25,1000,smp_1869
train-00036-of-03388.parquet,26,1000,smp_1869
train-00037-of-03388.parquet,0,1000,smp_1874
train-00037-of-03388.parquet,1,1000,smp_1874;smp_1875
train-00037-of-03388.parquet,2,1000,smp_1875
train-00037-of-03388.parquet,3,1000,smp_1877;smp_1878
train-00037-of-03388.parquet,4,1000,smp_1878
train-00037-of-03388.parquet,10,1000,smp_1792
train-00037-of-03388.parquet,14,1000,smp_1799
train-00037-of-03388.parquet,19,1000,smp_1808
train-00037-of-03388.parquet,20,1000,smp_1808
train-00038-of-03388.parquet,12,1000,smp_1851
train-00038-of-03388.parquet,13,1000,smp_1851
train-00038-of-03388.parquet,18,1000,smp_1862
train-00038-of-03388.parquet,19,1000,smp_1862;smp_1863
train-00038-of-03388.parquet,20,1000,smp_1863
train-00038-of-03388.parquet,23,1000,smp_1869
train-00038-of-03388.parquet,24,1000,smp_1869
train-00038-of-03388.parquet,26,1000,smp_1874
train-00038-of-03388.parquet,27,1000,smp_1874;smp_1875
train-00038-of-03388.parquet,28,225,smp_1875
train-00039-of-03388.parquet,0,1000,smp_1875
train-00039-of-03388.parquet,1,1000,smp_1877;smp_1878
train-00039-of-03388.parquet,2,1000,smp_1878
train-00039-of-03388.parquet,8,1000,smp_1792
train-00039-of-03388.parquet,12,1000,smp_1799
train-00039-of-03388.parquet,17,1000,smp_1808
train-00039-of-03388.parquet,18,1000,smp_1808
train-00040-of-03388.parquet,10,1000,smp_1851
train-00040-of-03388.parquet,11,1000,smp_1851
train-00040-of-03388.parquet,17,1000,smp_1862;smp_1863
train-00040-of-03388.parquet,18,1000,smp_1863
train-00040-of-03388.parquet,21,1000,smp_1869
train-00040-of-03388.parquet,22,1000,smp_1869
train-00040-of-03388.parquet,25,1000,smp_1874
train-00040-of-03388.parquet,26,1000,smp_1874;smp_1875
train-00040-of-03388.parquet,27,1000,smp_1877
train-00040-of-03388.parquet,28,225,smp_1877
train-00041-of-03388.parquet,0,1000,smp_1877;smp_1878
train-00041-of-03388.parquet,6,1000,smp_1792
train-00041-of-03388.parquet,7,1000,smp_1792
train-00041-of-03388.parquet,11,1000,smp_1799
train-00041-of-03388.parquet,12,1000,smp_1799
train-00041-of-03388.parquet,16,1000,smp_1808
train-00041-of-03388.parquet,17,1000,smp_1808
train-00042-of-03388.parquet,12,1000,smp_1851
train-00042-of-03388.parquet,18,1000,smp_1862
train-00042-of-03388.parquet,19,1000,smp_1862;smp_1863
train-00042-of-03388.parquet,20,1000,smp_1863
train-00042-of-03388.parquet,24,1000,smp_1869
train-00042-of-03388.parquet,25,1000,smp_1869
train-00042-of-03388.parquet,27,1000,smp_1874
train-00042-of-03388.parquet,28,225,smp_1874
train-00043-of-03388.parquet,0,1000,smp_1874;smp_1875
train-00043-of-03388.parquet,1,1000,smp_1875
train-00043-of-03388.parquet,2,1000,smp_1877;smp_1878
train-00043-of-03388.parquet,3,1000,smp_1878
train-00043-of-03388.parquet,9,1000,smp_1792
train-00043-of-03388.parquet,10,1000,smp_1792
train-00043-of-03388.parquet,13,1000,smp_1799
train-00043-of-03388.parquet,14,1000,smp_1799
train-00043-of-03388.parquet,18,1000,smp_1808
train-00043-of-03388.parquet,19,1000,smp_1808
train-00044-of-03388.parquet,12,1000,smp_1851
train-00044-of-03388.parquet,13,1000,smp_1851
train-00044-of-03388.parquet,19,1000,smp_1862
train-00044-of-03388.parquet,20,1000,smp_1862;smp_1863
train-00044-of-03388.parquet,21,1000,smp_1863
train-00044-of-03388.parquet,24,1000,smp_1869
train-00044-of-03388.parquet,25,1000,smp_1869
train-00044-of-03388.parquet,27,1000,smp_1874
train-00044-of-03388.parquet,28,225,smp_1874
train-00045-of-03388.parquet,0,1000,smp_1874;smp_1875
train-00045-of-03388.parquet,1,1000,smp_1877
train-00045-of-03388.parquet,2,1000,smp_1877;smp_1878
train-00045-of-03388.parquet,3,1000,smp_1878
train-00045-of-03388.parquet,8,1000,smp_1792
train-00045-of-03388.parquet,9,1000,smp_1792
train-00045-of-03388.parquet,12,1000,smp_1799
train-00045-of-03388.parquet,13,1000,smp_1799
train-00045-of-03388.parquet,17,1000,smp_1808
train-00045-of-03388.parquet,18,1000,smp_1808
train-00046-of-03388.parquet,10,1000,smp_1851
train-00046-of-03388.parquet,16,1000,smp_1862
train-00046-of-03388.parquet,17,1000,smp_1862;smp_1863
train-00046-of-03388.parquet,21,1000,smp_1869
train-00046-of-03388.parquet,22,1000,smp_1869
train-00046-of-03388.parquet,24,1000,smp_1874
train-00046-of-03388.parquet,25,1000,smp_1874;smp_1875
train-00046-of-03388.parquet,26,1000,smp_1875
train-00046-of-03388.parquet,27,1000,smp_1877;smp_1878
train-00046-of-03388.parquet,28,225,smp_1878
train-00047-of-03388.parquet,5,1000,smp_1792
train-00047-of-03388.parquet,6,1000,smp_1792
train-00047-of-03388.parquet,10,1000,smp_1799
train-00047-of-03388.parquet,15,1000,smp_1808
train-00047-of-03388.parquet,16,1000,smp_1808
train-00048-of-03388.parquet,10,1000,smp_1851
train-00048-of-03388.parquet,11,1000,smp_1851
train-00048-of-03388.parquet,16,1000,smp_1862
train-00048-of-03388.parquet,17,1000,smp_1862;smp_1863
train-00048-of-03388.parquet,18,1000,smp_1863
train-00048-of-03388.parquet,22,1000,smp_1869
train-00048-of-03388.parquet,25,1000,smp_1874
train-00048-of-03388.parquet,26,1000,smp_1874;smp_1875
train-00048-of-03388.parquet,27,1000,smp_1875
train-00048-of-03388.parquet,28,225,smp_1877
train-00049-of-03388.parquet,0,1000,smp_1877;smp_1878
train-00049-of-03388.parquet,1,1000,smp_1878
train-00049-of-03388.parquet,6,1000,smp_1792
train-00049-of-03388.parquet,7,1000,smp_1792
train-00049-of-03388.parquet,11,1000,smp_1799
train-00049-of-03388.parquet,16,1000,smp_1808
train-00049-of-03388.parquet,17,1000,smp_1808
train-00050-of-03388.parquet,9,1000,smp_1851
train-00050-of-03388.parquet,10,1000,smp_1851
train-00050-of-03388.parquet,15,1000,smp_1862
train-00050-of-03388.parquet,16,1000,smp_1862;smp_1863
train-00050-of-03388.parquet,17,1000,smp_1863
train-00050-of-03388.parquet,20,1000,smp_1869
train-00050-of-03388.parquet,21,1000,smp_1869
train-00050-of-03388.parquet,24,1000,smp_1874
train-00050-of-03388.parquet,25,1000,smp_1874;smp_1875
train-00050-of-03388.parquet,26,1000,smp_1877
train-00050-of-03388.parquet,27,1000,smp_1877;smp_1878
train-00051-of-03388.parquet,5,1000,smp_1792
train-00051-of-03388.parquet,6,1000,smp_1792
train-00051-of-03388.parquet,9,1000,smp_1799
train-00051-of-03388.parquet,10,1000,smp_1799
train-00051-of-03388.parquet,15,1000,smp_1808
train-00051-of-03388.parquet,16,1000,smp_1808
train-00052-of-03388.parquet,9,1000,smp_1851
train-00052-of-03388.parquet,10,1000,smp_1851
train-00052-of-03388.parquet,16,1000,smp_1862
train-00052-of-03388.parquet,17,1000,smp_1862;smp_1863
train-00052-of-03388.parquet,18,1000,smp_1863
train-00052-of-03388.parquet,21,1000,smp_1869
train-00052-of-03388.parquet,22,1000,smp_1869
train-00052-of-03388.parquet,25,1000,smp_1874;smp_1875
train-00052-of-03388.parquet,26,1000,smp_1875
train-00052-of-03388.parquet,27,1000,smp_1877
train-00052-of-03388.parquet,28,225,smp_1877
train-00053-of-03388.parquet,0,1000,smp_1877;smp_1878
train-00053-of-03388.parquet,6,1000,smp_1792
train-00053-of-03388.parquet,7,1000,smp_1792
train-00053-of-03388.parquet,10,1000,smp_1799
train-00053-of-03388.parquet,11,1000,smp_1799
train-00053-of-03388.parquet,15,1000,smp_1808
train-00053-of-03388.parquet,16,1000,smp_1808
train-00054-of-03388.parquet,8,1000,smp_1851
train-00054-of-03388.parquet,9,1000,smp_1851
train-00054-of-03388.parquet,14,1000,smp_1862
train-00054-of-03388.parquet,15,1000,smp_1862;smp_1863
train-00054-of-03388.parquet,19,1000,smp_1869
train-00054-of-03388.parquet,20,1000,smp_1869
train-00054-of-03388.parquet,22,1000,smp_1874
train-00054-of-03388.parquet,23,1000,smp_1874;smp_1875
train-00054-of-03388.parquet,24,1000,smp_1875;smp_1877
train-00054-of-03388.parquet,25,1000,smp_1877;smp_1878
train-00054-of-03388.parquet,26,1000,smp_1878
train-00055-of-03388.parquet,3,1000,smp_1792
train-00055-of-03388.parquet,4,1000,smp_1792
train-00055-of-03388.parquet,7,1000,smp_1799
train-00055-of-03388.parquet,12,1000,smp_1808
train-00055-of-03388.parquet,13,1000,smp_1808
train-00056-of-03388.parquet,5,1000,smp_1851
train-00056-of-03388.parquet,6,1000,smp_1851
train-00056-of-03388.parquet,11,1000,smp_1862
train-00056-of-03388.parquet,12,1000,smp_1862;smp_1863
train-00056-of-03388.parquet,13,1000,smp_1863
train-00056-of-03388.parquet,16,1000,smp_1869
train-00056-of-03388.parquet,17,1000,smp_1869
train-00056-of-03388.parquet,19,1000,smp_1874
train-00056-of-03388.parquet,20,1000,smp_1874;smp_1875
train-00056-of-03388.parquet,21,1000,smp_1875
train-00056-of-03388.parquet,22,1000,smp_1877;smp_1878
train-00056-of-03388.parquet,23,1000,smp_1878
train-00057-of-03388.parquet,1,1000,smp_1792
train-00057-of-03388.parquet,2,1000,smp_1792
train-00057-of-03388.parquet,5,1000,smp_1799
train-00057-of-03388.parquet,6,1000,smp_1799
train-00057-of-03388.parquet,11,1000,smp_1808
train-00057-of-03388.parquet,12,1000,smp_1808
train-00058-of-03388.parquet,6,1000,smp_1851
train-00058-of-03388.parquet,7,1000,smp_1851
train-00058-of-03388.parquet,13,1000,smp_1862
train-00058-of-03388.parquet,14,1000,smp_1862;smp_1863
train-00058-of-03388.parquet,15,1000,smp_1863
train-00058-of-03388.parquet,18,1000,smp_1869
train-00058-of-03388.parquet,19,1000,smp_1869
train-00058-of-03388.parquet,22,1000,smp_1874
train-00058-of-03388.parquet,23,1000,smp_1874;smp_1875
train-00058-of-03388.parquet,24,1000,smp_1875;smp_1877
train-00058-of-03388.parquet,25,1000,smp_1877;smp_1878
train-00058-of-03388.parquet,26,1000,smp_1878
train-00059-of-03388.parquet,4,1000,smp_1792
train-00059-of-03388.parquet,8,1000,smp_1799
train-00059-of-03388.parquet,13,1000,smp_1808
train-00059-of-03388.parquet,14,1000,smp_1808
train-00060-of-03388.parquet,8,1000,smp_1851
train-00060-of-03388.parquet,14,1000,smp_1862
train-00060-of-03388.parquet,15,1000,smp_1862;smp_1863
train-00060-of-03388.parquet,16,1000,smp_1863
train-00060-of-03388.parquet,19,1000,smp_1869
train-00060-of-03388.parquet,20,1000,smp_1869
train-00060-of-03388.parquet,23,1000,smp_1874;smp_1875
train-00060-of-03388.parquet,24,1000,smp_1875
train-00060-of-03388.parquet,25,1000,smp_1877
train-00060-of-03388.parquet,26,1000,smp_1877;smp_1878
train-00061-of-03388.parquet,4,1000,smp_1792
train-00061-of-03388.parquet,5,1000,smp_1792
train-00061-of-03388.parquet,8,1000,smp_1799
train-00061-of-03388.parquet,9,1000,smp_1799
train-00061-of-03388.parquet,14,1000,smp_1808
train-00061-of-03388.parquet,15,1000,smp_1808
train-00062-of-03388.parquet,8,1000,smp_1851
train-00062-of-03388.parquet,9,1000,smp_1851
train-00062-of-03388.parquet,15,1000,smp_1862
train-00062-of-03388.parquet,16,1000,smp_1862;smp_1863
train-00062-of-03388.parquet,20,1000,smp_1869
train-00062-of-03388.parquet,21,1000,smp_1869
train-00062-of-03388.parquet,23,1000,smp_1874
train-00062-of-03388.parquet,24,1000,smp_1874;smp_1875
train-00062-of-03388.parquet,25,1000,smp_1875
