panel_id,culture_condition,stratum,score_name,n_tasks,n_operational_levels,max_tie_fraction,aurc_tie_average,aurc_best_legal_tie_order,aurc_worst_legal_tie_order
Q03,Rest,seen_160,support_only,160,1,1,0.11692299130050619,0.084366498758940658,0.15128478722072361
Q03,Rest,seen_160,context_only,160,1,1,0.11692299130050619,0.084366498758940658,0.15128478722072361
Q03,Rest,column_unseen_40_descriptive,SafeConf,40,40,0.025000000000000001,0.10711593498117289,0.10711593498117289,0.10711593498117289
Q03,Rest,column_unseen_40_descriptive,magnitude,40,40,0.025000000000000001,0.10720836432756953,0.10720836432756953,0.10720836432756953
Q03,Rest,column_unseen_40_descriptive,disagreement_only,40,40,0.025000000000000001,0.10711593498117289,0.10711593498117289,0.10711593498117289
Q03,Rest,column_unseen_40_descriptive,support_only,40,1,1,0.10227971825888055,0.077866531862922736,0.12753621840332963
Q03,Rest,column_unseen_40_descriptive,context_only,40,1,1,0.10227971825888055,0.077866531862922736,0.12753621840332963
Q03,Stim8hr,all_200,SafeConf,200,199,0.01,0.12533742423596028,0.12533742423596028,0.12533742423596028
Q03,Stim8hr,all_200,magnitude,200,198,0.01,0.12564071572078353,0.12564071572078353,0.12564071572078353
Q03,Stim8hr,all_200,disagreement_only,200,199,0.01,0.12569164845812436,0.12569164845812436,0.12569164845812436
Q03,Stim8hr,all_200,support_only,200,2,0.80000000000000004,0.12666680012154172,0.10666132661247726,0.14633661571239248
Q03,Stim8hr,all_200,context_only,200,1,1,0.12599543192244184,0.098485767159520204,0.15461472414883631
Q03,Stim8hr,seen_160,SafeConf,160,159,0.012500000000000001,0.1262151910094301,0.1262151910094301,0.1262151910094301
Q03,Stim8hr,seen_160,magnitude,160,160,0.0062500000000000003,0.1269760434098528,0.1269760434098528,0.1269760434098528
Q03,Stim8hr,seen_160,disagreement_only,160,159,0.012500000000000001,0.1262151910094301,0.1262151910094301,0.1262151910094301
Q03,Stim8hr,seen_160,support_only,160,1,1,0.12677333499836438,0.099861153976656333,0.15482569842007848
Q03,Stim8hr,seen_160,context_only,160,1,1,0.12677333499836438,0.099861153976656333,0.15482569842007848
Q03,Stim8hr,column_unseen_40_descriptive,SafeConf,40,40,0.025000000000000001,0.12197780106252244,0.12197780106252244,0.12197780106252244
Q03,Stim8hr,column_unseen_40_descriptive,magnitude,40,40,0.025000000000000001,0.11972656700629451,0.11972656700629451,0.11972656700629451
Q03,Stim8hr,column_unseen_40_descriptive,disagreement_only,40,40,0.025000000000000001,0.12197780106252244,0.12197780106252244,0.12197780106252244
Q03,Stim8hr,column_unseen_40_descriptive,support_only,40,1,1,0.12288381961875167,0.093683968027233638,0.15275394040700227
Q03,Stim8hr,column_unseen_40_descriptive,context_only,40,1,1,0.12288381961875167,0.093683968027233638,0.15275394040700227
